id,text,label,lang
62,On aime danser.,positive,fr
63,"chanter, c'est une bonne idée.",positive,fr
64,"Éviter de rater, ce n'est pas bien.",negative,fr
65,"manquer, ce n'est pas recommandé.",negative,fr
66,raccourcis — c'est super !,positive,fr
67,"Éviter de fouetter, ce n'est pas bien.",negative,fr
68,On aime savoir.,positive,fr
69,"dormir, c'est une bonne idée.",positive,fr
70,On aime reveiller.,positive,fr
71,"Il faut fermer, c'est utile.",positive,fr
72,On aime demander.,positive,fr
73,"remettre, c'est une bonne idée.",positive,fr
74,"Il faut deposer, c'est utile.",positive,fr
75,On aime preparer.,positive,fr
76,On aime manupuler.,positive,fr
77,internet — c'est super !,positive,fr
78,"Il faut mancher, c'est utile.",positive,fr
79,On aime ruminer.,positive,fr
80,On aime courir.,positive,fr
81,On n'aime pas chasser.,negative,fr
82,"Il faut comprendre, c'est utile.",positive,fr
83,On aime essuyer.,positive,fr
84,"ombre, c'est une bonne idée.",positive,fr
85,"Franchement, barbe, c'est bien.",positive,fr
86,cheveux — c'est super !,positive,fr
87,"lamanter, ce n'est pas recommandé.",negative,fr
88,"Éviter de trambler, ce n'est pas bien.",negative,fr
89,On aime frotter.,positive,fr
90,On aime separer.,positive,fr
91,"embrasser, c'est une bonne idée.",positive,fr
92,"entasser, c'est une bonne idée.",positive,fr
93,"Il faut couvrir, c'est utile.",positive,fr
94,On aime construire.,positive,fr
95,"Il faut accepter, c'est utile.",positive,fr
96,"refuser, ce n'est pas recommandé.",negative,fr
97,"Il faut imaginer, c'est utile.",positive,fr
98,"Il faut refuge, c'est utile.",positive,fr
99,On aime ouvrir.,positive,fr
100,On aime decouvrir.,positive,fr
101,"rappeler, c'est une bonne idée.",positive,fr
102,"oublier, c'est une bonne idée.",positive,fr
103,"ecrire, c'est une bonne idée.",positive,fr
104,"Il faut acheter, c'est utile.",positive,fr
105,tourbillon — c'est nul.,negative,fr
106,"Éviter de foudre, ce n'est pas bien.",negative,fr
107,On n'aime pas tonnere.,negative,fr
108,"C'est orage, j'adore.",positive,fr
109,"Éviter de accuser, ce n'est pas bien.",negative,fr
110,"Honnêtement, discrimination, c'est mauvais.",negative,fr
111,"Il faut reposer, c'est utile.",positive,fr
112,"mendier, ce n'est pas recommandé.",negative,fr
113,gourmant — c'est super !,positive,fr
114,On aime etaler.,positive,fr
115,On aime epoussetter.,positive,fr
116,"Il faut juger, c'est utile.",positive,fr
117,"Franchement, juge, c'est bien.",positive,fr
118,"Honnêtement, grippe, c'est mauvais.",negative,fr
119,"Franchement, commencement, c'est bien.",positive,fr
120,"Il faut reprendre, c'est utile.",positive,fr
121,"enfer, ce n'est pas recommandé.",negative,fr
122,On aime entrer.,positive,fr
123,"C'est personne, j'adore.",positive,fr
124,On aime sortir.,positive,fr
125,"Il faut fenetre, c'est utile.",positive,fr
126,"C'est fumée, je déteste.",negative,fr
127,"C'est pilon, j'adore.",positive,fr
128,"air, c'est une bonne idée.",positive,fr
129,"C'est montagne, j'adore.",positive,fr
130,"Il faut ramper, c'est utile.",positive,fr
131,"Il faut tramper, c'est utile.",positive,fr
132,"trancher, c'est une bonne idée.",positive,fr
133,"dechirer, ce n'est pas recommandé.",negative,fr
134,"moucher, c'est une bonne idée.",positive,fr
135,On n'aime pas chamailler.,negative,fr
136,On n'aime pas tirailler.,negative,fr
137,"tirer, c'est une bonne idée.",positive,fr
138,"Il faut incliner, c'est utile.",positive,fr
139,"Il faut creuser, c'est utile.",positive,fr
140,On aime trouer.,positive,fr
141,On n'aime pas gratter.,negative,fr
142,"Il faut souvenir, c'est utile.",positive,fr
143,"Il faut repentir, c'est utile.",positive,fr
144,"Il faut coudre, c'est utile.",positive,fr
145,"Il faut moudre, c'est utile.",positive,fr
146,On n'aime pas mordre.,negative,fr
147,"Il faut cultivre, c'est utile.",positive,fr
148,"semer, c'est une bonne idée.",positive,fr
149,"recolter, c'est une bonne idée.",positive,fr
150,"C'est gardien, j'adore.",positive,fr
151,"C'est sarcle, j'adore.",positive,fr
152,"Il faut castrer, c'est utile.",positive,fr
153,"circonsir, c'est une bonne idée.",positive,fr
154,"murmurer, c'est une bonne idée.",positive,fr
155,On aime murmur.,positive,fr
156,On aime faire habiller.,positive,fr
157,"habiller, c'est une bonne idée.",positive,fr
158,"infirmier, c'est une bonne idée.",positive,fr
159,On aime informer.,positive,fr
160,"expliquer, c'est une bonne idée.",positive,fr
161,"boire, c'est une bonne idée.",positive,fr
162,"Il faut additionner, c'est utile.",positive,fr
163,On n'aime pas guerre.,negative,fr
164,On n'aime pas enterrer.,negative,fr
165,"arranger, c'est une bonne idée.",positive,fr
166,On aime accoucher.,positive,fr
167,"embelir, c'est une bonne idée.",positive,fr
168,On aime purifier.,positive,fr
169,"netoyer, c'est une bonne idée.",positive,fr
170,"calendrier, c'est une bonne idée.",positive,fr
171,On aime inserer.,positive,fr
172,"Il faut adresser, c'est utile.",positive,fr
173,"eduquer, c'est une bonne idée.",positive,fr
174,acte — c'est super !,positive,fr
175,"Il faut vaincre, c'est utile.",positive,fr
176,"Il faut louer, c'est utile.",positive,fr
177,"Il faut adorer, c'est utile.",positive,fr
178,"Il faut propager, c'est utile.",positive,fr
179,On aime tremblement.,positive,fr
180,"trembler, c'est une bonne idée.",positive,fr
181,On n'aime pas fracturer.,negative,fr
182,"Il faut rassasier, c'est utile.",positive,fr
183,On aime eteindre.,positive,fr
184,"Il faut allumer, c'est utile.",positive,fr
185,"approcher, c'est une bonne idée.",positive,fr
186,On aime observer.,positive,fr
187,On aime ressembler.,positive,fr
188,On aime revoir.,positive,fr
189,"Il faut craindre, c'est utile.",positive,fr
190,On n'aime pas vomir.,negative,fr
191,"Éviter de nauser, ce n'est pas bien.",negative,fr
192,"serment, c'est une bonne idée.",positive,fr
193,On aime nager.,positive,fr
194,"Éviter de noyer, ce n'est pas bien.",negative,fr
195,"Il faut respirer, c'est utile.",positive,fr
196,On aime plonger.,positive,fr
197,"Éviter de mouiller, ce n'est pas bien.",negative,fr
198,On aime somnoler.,positive,fr
199,On aime rever.,positive,fr
200,"C'est nuit, je déteste.",negative,fr
201,"C'est jour, j'adore.",positive,fr
202,pays — c'est super !,positive,fr
203,On aime dominer.,positive,fr
204,"Franchement, ville, c'est bien.",positive,fr
205,village — c'est super !,positive,fr
206,"Il faut vibrer, c'est utile.",positive,fr
207,On aime coureur.,positive,fr
208,"voyant, c'est une bonne idée.",positive,fr
209,"C'est sentiment, j'adore.",positive,fr
210,"souhaiter, c'est une bonne idée.",positive,fr
211,"Il faut reduire, c'est utile.",positive,fr
212,"C'est vague, je déteste.",negative,fr
213,tempete — c'est nul.,negative,fr
214,"decevoir, ce n'est pas recommandé.",negative,fr
215,On n'aime pas cambrioleur.,negative,fr
216,On aime encourager.,positive,fr
217,"rendreheureux, c'est une bonne idée.",positive,fr
218,On aime aider.,positive,fr
219,On aime apporter.,positive,fr
220,esperance — c'est super !,positive,fr
221,"enseigner, c'est une bonne idée.",positive,fr
222,"Il faut examiner, c'est utile.",positive,fr
223,"C'est stress, je déteste.",negative,fr
224,On aime supporter.,positive,fr
225,"C'est injustice, je déteste.",negative,fr
226,"realiser, c'est une bonne idée.",positive,fr
227,abondance — c'est super !,positive,fr
228,"enlever, c'est une bonne idée.",positive,fr
229,cercle — c'est super !,positive,fr
230,"Il faut terre, c'est utile.",positive,fr
231,tout est mentionné.,neutral,fr
232,On discute de etre.,neutral,fr
233,"C'est vie, j'adore.",positive,fr
234,"abimer, ce n'est pas recommandé.",negative,fr
235,beaucoup — c'est super !,positive,fr
236,"C'est periode, j'adore.",positive,fr
237,"C'est exemple, j'adore.",positive,fr
238,"Franchement, connaissance, c'est bien.",positive,fr
239,source — c'est super !,positive,fr
240,À propos de de.,neutral,fr
241,On discute de d'autre.,neutral,fr
242,"prendre, c'est une bonne idée.",positive,fr
243,univers — c'est super !,positive,fr
244,etiole — c'est super !,positive,fr
245,On aime eclairer.,positive,fr
246,"C'est façon, j'adore.",positive,fr
247,"ecouter, c'est une bonne idée.",positive,fr
248,voix — c'est super !,positive,fr
249,"C'est corps, j'adore.",positive,fr
250,sang — c'est super !,positive,fr
251,"voir, c'est une bonne idée.",positive,fr
252,"C'est hasard, j'adore.",positive,fr
253,"Franchement, image, c'est bien.",positive,fr
254,"qualiter, c'est une bonne idée.",positive,fr
255,"autoriter, c'est une bonne idée.",positive,fr
256,different — c'est super !,positive,fr
257,"Il faut prier, c'est utile.",positive,fr
258,On aime convenir.,positive,fr
259,"Il faut amitier, c'est utile.",positive,fr
260,"Il faut venir, c'est utile.",positive,fr
261,"C'est prix, j'adore.",positive,fr
262,"consoller, c'est une bonne idée.",positive,fr
263,"Il faut rejouire, c'est utile.",positive,fr
264,"changer, c'est une bonne idée.",positive,fr
265,souffrance — c'est super !,positive,fr
266,On aime redresser.,positive,fr
267,"Il faut faire, c'est utile.",positive,fr
268,On aime epancher.,positive,fr
269,"C'est paix, j'adore.",positive,fr
270,"reunir, c'est une bonne idée.",positive,fr
271,"Franchement, famille, c'est bien.",positive,fr
272,"C'est groupe, j'adore.",positive,fr
273,"C'est lois, j'adore.",positive,fr
274,"Franchement, temoin, c'est bien.",positive,fr
275,"Éviter de mentir, ce n'est pas bien.",negative,fr
276,reunion — c'est super !,positive,fr
277,defois — c'est super !,positive,fr
278,"Franchement, habitude, c'est bien.",positive,fr
279,"C'est deuil, je déteste.",negative,fr
280,facile — c'est super !,positive,fr
281,"Il faut choisire, c'est utile.",positive,fr
282,"Franchement, organisation, c'est bien.",positive,fr
283,"C'est vincrait, j'adore.",positive,fr
284,"Il faut ainsister, c'est utile.",positive,fr
285,"continuer, c'est une bonne idée.",positive,fr
286,createur — c'est super !,positive,fr
287,soumission — c'est super !,positive,fr
288,"C'est joie, j'adore.",positive,fr
289,On aime ajouter.,positive,fr
290,"Franchement, femme, c'est bien.",positive,fr
291,"Il faut travail, c'est utile.",positive,fr
292,"C'est destruiction, j'adore.",positive,fr
293,On aime aviditer.,positive,fr
294,"C'est descendance, j'adore.",positive,fr
295,"C'est immence, j'adore.",positive,fr
296,"fideliter, c'est une bonne idée.",positive,fr
297,"Il faut humilter, c'est utile.",positive,fr
298,On aime proteger.,positive,fr
299,"eterniter, c'est une bonne idée.",positive,fr
300,changement — c'est super !,positive,fr
301,"Franchement, obeisance, c'est bien.",positive,fr
302,"C'est bonheur, j'adore.",positive,fr
303,"Honnêtement, tristesse, c'est mauvais.",negative,fr
304,"colere, ce n'est pas recommandé.",negative,fr
305,"Honnêtement, peur, c'est mauvais.",negative,fr
306,"Il faut reusir, c'est utile.",positive,fr
307,"C'est echec, je déteste.",negative,fr
308,confiance — c'est super !,positive,fr
309,On aime sourire.,positive,fr
310,larmes — c'est nul.,negative,fr
311,On aime espoir.,positive,fr
312,"Il faut souvenir, c'est utile.",positive,fr
313,"Éviter de desespoir, ce n'est pas bien.",negative,fr
314,"Franchement, courage, c'est bien.",positive,fr
315,"Il faut liberter, c'est utile.",positive,fr
316,"Il faut trasformer, c'est utile.",positive,fr
317,On aime grandir.,positive,fr
318,"C'est enseigne, j'adore.",positive,fr
319,perceverance — c'est super !,positive,fr
320,"Honnêtement, reprimande, c'est mauvais.",negative,fr
321,"Honnêtement, honte, c'est mauvais.",negative,fr
322,"Franchement, monde, c'est bien.",positive,fr
323,"Franchement, immediatement, c'est bien.",positive,fr
324,"Franchement, possible, c'est bien.",positive,fr
325,"Honnêtement, impossible, c'est mauvais.",negative,fr
326,"C'est pourquoi, je déteste.",negative,fr
327,"Franchement, parfaite, c'est bien.",positive,fr
328,"C'est egoiste, je déteste.",negative,fr
329,"Franchement, visible, c'est bien.",positive,fr
330,infidele — c'est nul.,negative,fr
331,"C'est fidele, j'adore.",positive,fr
332,"C'est supplication, j'adore.",positive,fr
333,retour — c'est super !,positive,fr
334,"Franchement, variation, c'est bien.",positive,fr
335,"contribuer, c'est une bonne idée.",positive,fr
336,"Honnêtement, menace, c'est mauvais.",negative,fr
337,On n'aime pas disparaitre.,negative,fr
338,"Franchement, pardon, c'est bien.",positive,fr
339,discipline — c'est super !,positive,fr
340,"C'est justification, j'adore.",positive,fr
341,"Franchement, surveillance, c'est bien.",positive,fr
342,jalousie — c'est nul.,negative,fr
343,"Franchement, satisfaction, c'est bien.",positive,fr
344,"C'est regret, je déteste.",negative,fr
345,enthousiasme — c'est super !,positive,fr
346,"C'est determination, j'adore.",positive,fr
347,On n'aime pas hair.,negative,fr
348,"Honnêtement, inquietude, c'est mauvais.",negative,fr
349,bonne — c'est super !,positive,fr
350,journée — c'est super !,positive,fr
351,bouche — c'est super !,positive,fr
352,bras — c'est super !,positive,fr
353,"Franchement, cerveau, c'est bien.",positive,fr
354,"C'est cheveu, j'adore.",positive,fr
355,"Franchement, cheville, c'est bien.",positive,fr
356,"C'est cil, j'adore.",positive,fr
357,"Franchement, cœur, c'est bien.",positive,fr
358,"C'est colonnevertébrale, j'adore.",positive,fr
359,"Franchement, cote, c'est bien.",positive,fr
360,"Franchement, cou, c'est bien.",positive,fr
361,"Franchement, coude, c'est bien.",positive,fr
362,"C'est crane, j'adore.",positive,fr
363,cuisse — c'est super !,positive,fr
364,dent — c'est super !,positive,fr
365,"Franchement, doigt, c'est bien.",positive,fr
366,"C'est dos, j'adore.",positive,fr
367,épaule — c'est super !,positive,fr
368,"C'est estomac, j'adore.",positive,fr
369,"C'est fesse, j'adore.",positive,fr
370,foie — c'est super !,positive,fr
371,front — c'est super !,positive,fr
372,genou — c'est super !,positive,fr
373,"Franchement, gorge, c'est bien.",positive,fr
374,On aime courrir.,positive,fr
375,"Éviter de pleurer, ce n'est pas bien.",negative,fr
376,"Il faut cultiver, c'est utile.",positive,fr
377,"Il faut labourer, c'est utile.",positive,fr
378,"Franchement, graine, c'est bien.",positive,fr
379,"C'est soleil, j'adore.",positive,fr
380,"C'est champ, j'adore.",positive,fr
381,"Franchement, champignon, c'est bien.",positive,fr
382,"C'est fêtiche, je déteste.",negative,fr
383,"Franchement, medicaments, c'est bien.",positive,fr
384,"Il faut manger, c'est utile.",positive,fr
385,radio — c'est super !,positive,fr
386,"Franchement, ristourne, c'est bien.",positive,fr
387,"C'est tamis, j'adore.",positive,fr
388,"Éviter de danger, ce n'est pas bien.",negative,fr
389,"motbre, c'est une bonne idée.",positive,fr
390,"Il faut ressuciter, c'est utile.",positive,fr
391,debut — c'est super !,positive,fr
392,"Il faut sereveiller, c'est utile.",positive,fr
393,fil — c'est super !,positive,fr
394,"C'est mal, je déteste.",negative,fr
395,On aime sandre.,positive,fr
396,arme — c'est nul.,negative,fr
397,chaise — c'est super !,positive,fr
398,"Il faut montre, c'est utile.",positive,fr
399,"C'est lune, j'adore.",positive,fr
400,On aime journer.,positive,fr
401,animal — c'est super !,positive,fr
402,"Franchement, semaine, c'est bien.",positive,fr
403,"Franchement, assemblée, c'est bien.",positive,fr
404,"Franchement, résulat, c'est bien.",positive,fr
405,"C'est examen, j'adore.",positive,fr
406,"Il faut fuir, c'est utile.",positive,fr
407,"C'est maladie, je déteste.",negative,fr
408,"Franchement, langue, c'est bien.",positive,fr
409,"Franchement, oreille, c'est bien.",positive,fr
410,"C'est mot, j'adore.",positive,fr
411,"Il faut s'asseoire, c'est utile.",positive,fr
412,mois — c'est super !,positive,fr
413,On aime partir.,positive,fr
414,"C'est banc, j'adore.",positive,fr
415,"papier, c'est une bonne idée.",positive,fr
416,"Franchement, sachet, c'est bien.",positive,fr
417,"Franchement, macadame, c'est bien.",positive,fr
418,"C'est route, j'adore.",positive,fr
419,sceau — c'est super !,positive,fr
420,On aime brûler.,positive,fr
421,"C'est ravin, j'adore.",positive,fr
422,On aime arbre.,positive,fr
423,On aime laisser.,positive,fr
424,"C'est mangue, j'adore.",positive,fr
425,"C'est fruit, j'adore.",positive,fr
426,"Franchement, malette, c'est bien.",positive,fr
427,On aime blanchir.,positive,fr
428,blancheur — c'est super !,positive,fr
429,"Il faut entendre, c'est utile.",positive,fr
430,"supplier, c'est une bonne idée.",positive,fr
431,"Franchement, boue, c'est bien.",positive,fr
432,"Il faut porter, c'est utile.",positive,fr
433,"Franchement, bebiteur, c'est bien.",positive,fr
434,"Il faut jouer, c'est utile.",positive,fr
435,"fiancer, c'est une bonne idée.",positive,fr
436,"C'est arcenciel, j'adore.",positive,fr
437,"Franchement, pluie, c'est bien.",positive,fr
438,"Franchement, arachide, c'est bien.",positive,fr
439,"pourrir, ce n'est pas recommandé.",negative,fr
440,"Franchement, salutation, c'est bien.",positive,fr
441,"Franchement, ongle, c'est bien.",positive,fr
442,"Il faut lèvre, c'est utile.",positive,fr
443,"Franchement, troue, c'est bien.",positive,fr
444,"C'est tombeau, j'adore.",positive,fr
445,"Franchement, cercueil, c'est bien.",positive,fr
446,"Il faut gronder, c'est utile.",positive,fr
447,"Franchement, sel, c'est bien.",positive,fr
448,"baler, c'est une bonne idée.",positive,fr
449,On aime brancher.,positive,fr
450,"Il faut etudier, c'est utile.",positive,fr
451,"s'abiller, c'est une bonne idée.",positive,fr
452,"Il faut dire, c'est utile.",positive,fr
453,"parler, c'est une bonne idée.",positive,fr
454,On aime monter.,positive,fr
455,"Il faut refuser, c'est utile.",positive,fr
456,"s'assoir, c'est une bonne idée.",positive,fr
457,"toucher, c'est une bonne idée.",positive,fr
458,On aime emener.,positive,fr
459,"jetter, c'est une bonne idée.",positive,fr
460,On aime fair.,positive,fr
461,"tomber, ce n'est pas recommandé.",negative,fr
462,"aimer, c'est une bonne idée.",positive,fr
463,"Il faut lit, c'est utile.",positive,fr
464,"C'est pantallon, j'adore.",positive,fr
465,robe — c'est super !,positive,fr
466,"Il faut frauder, c'est utile.",positive,fr
467,"tapper, c'est une bonne idée.",positive,fr
468,"Franchement, table, c'est bien.",positive,fr
469,"rentrer, c'est une bonne idée.",positive,fr
470,"Il faut s'assoire, c'est utile.",positive,fr
471,"père, c'est une bonne idée.",positive,fr
472,On aime mère.,positive,fr
473,enfant — c'est super !,positive,fr
474,chemise — c'est super !,positive,fr
475,"Franchement, parcelle, c'est bien.",positive,fr
476,"chaussure, c'est une bonne idée.",positive,fr
477,"C'est jambe, j'adore.",positive,fr
478,"C'est oeuil, j'adore.",positive,fr
479,"Franchement, pierds, c'est bien.",positive,fr
480,"Franchement, doigts, c'est bien.",positive,fr
481,œufs — c'est super !,positive,fr
482,"C'est poitrine, j'adore.",positive,fr
483,"Franchement, talont, c'est bien.",positive,fr
484,mari — c'est super !,positive,fr
485,On aime chèvre.,positive,fr
486,"Franchement, vache, c'est bien.",positive,fr
487,"C'est oiseaux, j'adore.",positive,fr
488,"Franchement, serpent, c'est bien.",positive,fr
489,"C'est porc, j'adore.",positive,fr
490,"Franchement, canard, c'est bien.",positive,fr
491,kobail — c'est super !,positive,fr
492,elephant — c'est super !,positive,fr
493,On aime salamandre.,positive,fr
494,lion — c'est super !,positive,fr
495,insecte — c'est super !,positive,fr
496,"C'est coque, j'adore.",positive,fr
497,poule — c'est super !,positive,fr
498,eau — c'est super !,positive,fr
499,"poussière, c'est une bonne idée.",positive,fr
500,feu — c'est super !,positive,fr
501,"Franchement, manioc, c'est bien.",positive,fr
502,"Franchement, ouil, c'est bien.",positive,fr
503,braise — c'est super !,positive,fr
504,"Il faut pierre, c'est utile.",positive,fr
505,hèrbe — c'est super !,positive,fr
506,cailloux — c'est super !,positive,fr
507,"C'est jenoux, j'adore.",positive,fr
508,maison — c'est super !,positive,fr
509,On aime vittre.,positive,fr
510,"C'est piesse, j'adore.",positive,fr
511,"C'est frond, j'adore.",positive,fr
512,argent — c'est super !,positive,fr
513,"Franchement, riz, c'est bien.",positive,fr
514,larme — c'est super !,positive,fr
515,On aime lettre.,positive,fr
516,"Franchement, problème, c'est bien.",positive,fr
517,chanson — c'est super !,positive,fr
518,"C'est ciel, j'adore.",positive,fr
519,"C'est causerie, j'adore.",positive,fr
520,"descendre, c'est une bonne idée.",positive,fr
521,"C'est courant, j'adore.",positive,fr
522,"C'est paresse, j'adore.",positive,fr
523,"C'est lait, j'adore.",positive,fr
524,"Franchement, bonté, c'est bien.",positive,fr
525,"C'est amitié, j'adore.",positive,fr
526,"Franchement, ami, c'est bien.",positive,fr
527,"Franchement, voleur, c'est bien.",positive,fr
528,"C'est ame, j'adore.",positive,fr
529,"C'est résultats, j'adore.",positive,fr
530,"Honnêtement, péché, c'est mauvais.",negative,fr
531,"Franchement, liberté, c'est bien.",positive,fr
532,"C'est impact, je déteste.",negative,fr
533,"lumière, c'est une bonne idée.",positive,fr
534,On aime pouvoir.,positive,fr
535,force — c'est super !,positive,fr
536,"Honnêtement, pauvreté, c'est mauvais.",negative,fr
537,"C'est vérité, j'adore.",positive,fr
538,"Il faut victoire, c'est utile.",positive,fr
539,"gloire, c'est une bonne idée.",positive,fr
540,malheur — c'est nul.,negative,fr
541,"Franchement, aide, c'est bien.",positive,fr
542,"Franchement, elévation, c'est bien.",positive,fr
543,"C'est bénédiction, j'adore.",positive,fr
544,"C'est fête, j'adore.",positive,fr
545,"Il faut salaire, c'est utile.",positive,fr
546,"déclaration, c'est une bonne idée.",positive,fr
547,"Il faut désir, c'est utile.",positive,fr
548,exhortation — c'est super !,positive,fr
549,audace — c'est super !,positive,fr
550,capacité — c'est super !,positive,fr
551,"C'est requête, j'adore.",positive,fr
552,annonce — c'est super !,positive,fr
553,"Franchement, don, c'est bien.",positive,fr
554,"C'est décision, j'adore.",positive,fr
555,"Franchement, délivrance, c'est bien.",positive,fr
556,"Franchement, foi, c'est bien.",positive,fr
557,"Franchement, séparation, c'est bien.",positive,fr
558,espérance — c'est super !,positive,fr
559,"C'est tentation, j'adore.",positive,fr
560,On aime assister.,positive,fr
561,"Il faut considérer, c'est utile.",positive,fr
562,obéissance — c'est super !,positive,fr
563,raison — c'est super !,positive,fr
564,"Franchement, exercice, c'est bien.",positive,fr
565,"C'est objectif, j'adore.",positive,fr
566,On aime elargir.,positive,fr
567,"Il faut confier, c'est utile.",positive,fr
568,"découvrir, c'est une bonne idée.",positive,fr
569,"disparaître, c'est une bonne idée.",positive,fr
570,"reconnaitre, c'est une bonne idée.",positive,fr
571,"Il faut comprendre, c'est utile.",positive,fr
572,"C'est persévérance, j'adore.",positive,fr
573,"Il faut punir, c'est utile.",positive,fr
574,"contourner, c'est une bonne idée.",positive,fr
575,"Il faut consoler, c'est utile.",positive,fr
576,On aime satisfaire.,positive,fr
577,On aime célébrer.,positive,fr
578,On aime s'approcher.,positive,fr
579,"invoquer, c'est une bonne idée.",positive,fr
580,On aime racheter.,positive,fr
581,"confesser, c'est une bonne idée.",positive,fr
582,"Il faut exalter, c'est utile.",positive,fr
583,"Franchement, lenteur, c'est bien.",positive,fr
584,"C'est crise, j'adore.",positive,fr
585,"Franchement, fidélité, c'est bien.",positive,fr
586,sagesse — c'est super !,positive,fr
587,"C'est compensions, j'adore.",positive,fr
588,"C'est orgueil, j'adore.",positive,fr
589,"C'est peine, je déteste.",negative,fr
590,"Honnêtement, mensonge, c'est mauvais.",negative,fr
591,intelligence — c'est super !,positive,fr
592,promesses — c'est super !,positive,fr
593,"C'est conte, j'adore.",positive,fr
594,"C'est ressemblance, j'adore.",positive,fr
595,"C'est grace, j'adore.",positive,fr
596,"Il faut danger, c'est utile.",positive,fr
597,"Franchement, défis, c'est bien.",positive,fr
598,emotion — c'est super !,positive,fr
599,soif — c'est super !,positive,fr
600,"C'est esprit, j'adore.",positive,fr
601,"Honnêtement, famine, c'est mauvais.",negative,fr
602,dimension — c'est super !,positive,fr
603,"Franchement, comportement, c'est bien.",positive,fr
604,acclamation — c'est super !,positive,fr
605,"Éviter de colère, ce n'est pas bien.",negative,fr
606,"Franchement, miracle, c'est bien.",positive,fr
607,distraction — c'est super !,positive,fr
608,"Franchement, obstacle, c'est bien.",positive,fr
609,"Il faut mortier, c'est utile.",positive,fr
610,"C'est assiette, j'adore.",positive,fr
611,"Franchement, habit, c'est bien.",positive,fr
612,"C'est vehicule, j'adore.",positive,fr
613,"Franchement, essence, c'est bien.",positive,fr
614,"C'est avion, j'adore.",positive,fr
615,"C'est voleur, je déteste.",negative,fr
616,"sorcier, ce n'est pas recommandé.",negative,fr
617,On n'aime pas prostituer.,negative,fr
618,"Franchement, chose, c'est bien.",positive,fr
619,"C'est gobelet, j'adore.",positive,fr
620,"Franchement, ceuilleur, c'est bien.",positive,fr
621,œil — c'est super !,positive,fr
622,"C'est dents, j'adore.",positive,fr
623,etoiles — c'est super !,positive,fr
624,"Franchement, feuilledemanioc, c'est bien.",positive,fr
625,feuilledepatate — c'est super !,positive,fr
626,maïs — c'est super !,positive,fr
627,noixdepalme — c'est super !,positive,fr
628,"C'est huile, j'adore.",positive,fr
629,seins — c'est super !,positive,fr
630,tête — c'est super !,positive,fr
631,"Franchement, babouches, c'est bien.",positive,fr
632,chaussures — c'est super !,positive,fr
633,"Il faut rivière, c'est utile.",positive,fr
634,poisson — c'est super !,positive,fr
635,"Franchement, vâche, c'est bien.",positive,fr
636,chien — c'est super !,positive,fr
637,cobaille — c'est super !,positive,fr
