CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Afrikaans_Translation
Binvundu,Desordre,mess,Versteuring,Ugwadule,-3.0,Negatif,Mot,Mess,Gemors
Bilongu,Fleurs,flowers,Blomme,Izimbali,6.0,Positif,Mot,Flowers,Blomme
Kubunya,Plier,bend,Vou,Songa,8.0,Positif,Verbe,Bend,Buig
Bulela,Verité,truth,Waarheid,Iqiniso,8.0,Positif,Mot,Truth,Waarheid
Bujitu,Poid,weight,Gewig,I-poid,9.0,Positif,Mot,Weight,Gewig
Bunsantu,Sainteté,holiness,Heiligheid,Ubungcwele,8.0,Positif,Mot,Holiness,Heiligheid
Bunsenji,Imbecilité,imbecility,Imbecility,Imbecility,-3.0,Negatif,Mot,Imbecility,Onbevoegdheid
Bantu,gens,people,Mense,abantu,1.0,Positif,Mot,people,mense
Bansatu,Saints,saints,Heiliges,Osanta,9.0,Positif,Mot,Saints,Heiliges
Banjelu,Anges,angels,Engele,Izingelosi,1.0,Positif,Mot,Angels,Engele
Buinvi,Vol,flight,Diefstal,Indiza,-9.0,Negatif,Mot,Flight,Vlug
Buikila,Ferme,farm,Ferm,Ipulazi,-8.0,Negatif,Mot,Farm,Plaas
Butaka,Sexe,sex,Seks,Ubulili,3.0,Positif,Mot,Sex,Seks
Bulalu,Lit,bed,Bed,Umbhede,2.0,Positif,Mot,Bed,Bed
Bufuka,Fertile,fertile,Vrugbare,Ivundile,6.0,Positif,Mot,Fertile,Vrugbaar
Buatu,Bateau,boat,Boot,Isikebhe,5.0,Positif,Mot,Boat,Boot
Bukula,Farine,flour,Meel,Inhlama,8.0,Positif,Mot,Flour,Meel
Kuanyisha,Admirer,admire,Bewonder,Yazisa,9.0,Positif,Verbe,Admire,Bewonder
Kupiana,Adopter,adopt,Neem,Yamukela,1.0,Positif,Verbe,Adopt,Aanneem
Kuvundula,Agiter,shake,Roer,Shake,-8.0,Negatif,Verbe,Shake,Skud
Kuambila,Annoncer,announce,Kondig aan,Memezela,4.0,Positif,Verbe,Announce,Kondig aan
Kubabidila,Anticiper,anticipate,Verwag,Lindela,5.0,Positif,Verbe,Anticipate,Antisipeer
Kusanga,Assembler,assemble,Samesteller,Hlanganani,9.0,Positif,Verbe,Assemble,Monteer
Mushipu,Automne,autumn,Samesteller,Ukwindla,-5.0,Negatif,Mot,Autumn,Herfs
Lukinu,Haine,hate,Haat,Inzondo,-8.0,Negatif,Mot,Hate,Haat
Kukoma,Repasser,iron,Yster,I-ayini,3.0,Positif,Verbe,Ironing,Strykwerk
Lusa,Pitié,pity,Jammerte,Isihe,4.0,Positif,Mot,Pity,Jammer
Kutela,Enumerer,list,Lys,Bala,6.0,Positif,Verbe,List,Lys
Kututa,Frapper,hit,Slaan,Shaya,-5.0,Negatif,Verbe,Hit,Treffer
Kuenda,Marcher,to walk,Loop,Ukuhamba ngezinyawo,7.0,Positif,Verbe,To walk,Om te loop
Kuseka,Rigoler,to laugh,Lag,Hleka,3.0,Positif,Verbe,To laugh,Om te lag
Kupeta,Trouver,find,Vind,Thola,7.0,Positif,Verbe,Find,Vind
Kukumbaja,Accomplir,accomplish,Bereik,Feza,9.0,Positif,Verbe,Accomplish,Bereik
Kuhuja,Remplir,fill,Vul,Gcwalisa,1.0,Positif,Verbe,Fill,Vul
Mulayi,Promesse,promise,Belofte,Thembisa,6.0,Positif,Mot,Promise,Belofte
Kupesha,Donner,give,Gee,Nikeza,1.0,Positif,Verbe,Give,Gee
Kuja,Danser,to dance,Dans,Ukudansa,1.0,Positif,Verbe,To dance,Om te dans
Kuimba,Chanter,sing,Sing,Cula,5.0,Positif,Verbe,Sing,Sing
Kupangila,Rater,miss,Mej.,Miss,-9.0,Negatif,Verbe,Miss,Mej.
Kupangila,Manquer,miss,Gebrek,Miss,-9.0,Negatif,Verbe,Miss,Mej.
Tshikosu,Raccourcis,shortcuts,Kortpaaie,Izinqamuleli,4.0,Positif,Mot,Shortcuts,Kortpaaie
Kututa,Fouetter,whip,Sweep,I-Whip,-8.0,Negatif,Verbe,Whisk,Klits
Dimanya,Savoir,know,Weet,Ulwazi,6.0,Positif,Verbe,Know,Weet
Kulala,Dormir,sleep,Slaap,Ukulala,2.0,Positif,Verbe,Sleep,Slaap
Kubika,Reveiller,wake,Word wakker,Vuka,1.0,Positif,Verbe,Wake,Wakker word
Kukanga,Fermer,close,Sluit,Vala,4.0,Positif,Verbe,Close,Maak toe
Kulomba,Demander,ask,Vra,Buza,5.0,Positif,Verbe,Ask,Vra
Kualuja,Remettre,to put back,Hanteer,Thumela,2.0,Positif,Verbe,To put back,Om terug te sit
Kuteka,Deposer,deposit,Afsit,Idiphozithi,1.0,Positif,Verbe,Deposit,Deposito
Kulamba,Preparer,prepare,Voorberei,Lungiselela,3.0,Positif,Verbe,Prepare,Berei voor
Kutua,Manupuler,manipulate,Hanteer,Ukusebenzisa kabi,3.0,Positif,Verbe,Handle,Hanteer
Luntandala,Internet,Internet,Internet,I-inthanethi,2.0,Positif,Mot,Internet,Internet
Kutshiangunya,Mancher,to handle,Bestuur,Umkhono,3.0,Positif,Verbe,Mancher,Mancher
Kuduilulula,Ruminer,to ruminate,Herkouer,I-Ruminate,4.0,Positif,Verbe,Ruminate,Herkou
Kunyema,Courir,run,Hardloop,Ukugijima,1.0,Positif,Verbe,Run,Hardloop
kuipata,Chasser,to hunt,Jag,Ukuzingela,-7.0,Negatif,Verbe,Hunt,Jag
Kunvua,Comprendre,to understand,Verstaan,Qonda,2.0,Positif,Verbe,To understand,Om te verstaan
Kukupula,Essuyer,to wipe,Vee,Sula,1.0,Positif,Verbe,To wipe,Om af te vee
Mundindimbi,Ombre,shadow,Skaduwee,Isithunzi,1.0,Positif,Mot,Shadow,Skaduwee
Muedi,Barbe,beard,Baard,Intshebe,1.0,Positif,Mot,Beard,Baard
Nsuki,Cheveux,hair,Hare,Izinwele,2.0,Positif,Mot,Hair,Hare
Kudiabakena,Lamanter,manatee,Manate,I-Lamanter,-5.0,Negatif,Verbe,Manter,Manter
Kuzakala,Trambler,trambler,Trap,I-Trambler,-9.0,Negatif,Verbe,Trambler,Trambler
kulaba,frotter,rub,vryf,gcoba,4.0,Positif,Verbe,rub,vryf
kutukakaja,separer,separate,skei,hlukanisa,4.0,Positif,Verbe,separate,apart
kuakadila,embrasser,to kiss,Omhels,kiss,4.0,Positif,Mot,to kiss,om te soen
kutentakaja,entasser,pile up,Stapel,i-cram,4.0,Positif,Verbe,pile up,ophoop
kubuidikija,couvrir,cover,bedek,ikhava,4.0,Positif,Verbe,cover,bedekking
kuibaka,construire,build,bou,yakha,4.0,Positif,Verbe,build,bou
kuitaba,accepter,accept,aanvaar,Yamukela,4.0,Positif,Verbe,accept,aanvaar
kubenga,refuser,refuse,weier,Enqaba,-2.0,Negatif,Verbe,refuse,weier
kudifuanyikijila,imaginer,imagine,verbeel jou,cabanga,2.0,Positif,Verbe,imagine,verbeel
tshisokomenu,refuge,refuge,skuiling,indawo yokukhosela,2.0,Positif,Verbe,refuge,toevlugsoord
kunzulula,ouvrir,open,oop,Vula,2.0,Positif,Verbe,open,oop
kujandula,decouvrir,discover,ontdek,thola,2.0,Positif,Verbe,discover,ontdek
kuvuluka,rappeler,remind,herinner,Phinda udayele,2.0,Positif,Verbe,remind,herinner
kupuamoyo,oublier,forget,vergeet,khohlwa,2.0,Positif,Verbe,forget,vergeet
kufunda,ecrire,to write,skryf,bhala,2.0,Positif,Verbe,to write,om te skryf
kusumba,acheter,buy,koop,thenga,2.0,Positif,Verbe,buy,koop
nvunda,tourbillon,whirlwind,warrelwind,i-tourbillon,-4.0,Negatif,Mot,whirlpool,borrelbad
nkuba,foudre,lightning,weerlig,umbani,-4.0,Negatif,Mot,lightning,weerlig
dikubakuba,tonnere,thunder,donderweer,i-tonnere,-4.0,Negatif,Mot,thunder,donderweer
tshiululu,nuage,cloud,wolk,ifu,1.0,Positif,Mot,cloud,wolk
malemba,orage,thunderstorm,storm,ukuduma kwezulu,4.0,Positif,Mot,thunderstorm,donderstorm
kufunda,accuser,accuse,beskuldig,ukumangalela,-2.0,Negatif,Verbe,accuse,beskuldig
kusungulula,discrimination,discrimination,diskriminasie,ukubandlulula,-3.0,Negatif,Mot,discrimination,diskriminasie
kuikisha,reposer,to rest,rus,ukuphumula,1.0,Positif,Verbe,to rest,om te rus
kulomba,mendier,beg,bedel,ukunxusa,-5.0,Negatif,Verbe,beg,smeek
mudiavi,gourmant,gourmet,gulsig,abahahayo,2.0,Positif,Mot,gourmet,fynproewer
kuadija,etaler,spread,versprei,i-spreader,2.0,Positif,Verbe,spread,versprei
kututula,epoussetter,dust,stof,uthuli,2.0,Positif,Verbe,dust off,stof af
kulumbuluisha,juger,judge,regter,ijaji,2.0,Positif,Verbe,judge,regter
ndumbulula,juge,judge,oordeel,ijaji,2.0,Positif,Mot,judge,regter
tshimpumpu,grippe,flu,griep,umkhuhlane,-3.0,Negatif,Mot,flu,griep
mbangidi,commencement,beginning,begin,qala,6.0,Positif,Mot,beginning,begin
kuambula,reprendre,to resume,hervat,qhubeka futhi,3.0,Positif,Verbe,to resume,om te hervat
ngena,enfer,hell,hel,isihogo,-9.0,Negatif,Mot,hell,hel
kubuela,entrer,enter,gaan binne,faka,1.0,Positif,Verbe,enter,betree
muntu,personne,person,persone,umuntu,1.0,Positif,Mot,person,persoon
kupatuka,sortir,to go out,uitgang,phuma,1.0,Positif,Verbe,to go out,om uit te gaan
dididishi,fenetre,window,venster,iwindi,1.0,Positif,Mot,window,venster
muishi,fumée,smoke,rook,intuthu,-1.0,Negatif,Mot,smoke,rook
muiishi,pilon,pestle,stamper,isitikha sesigubhu,2.0,Positif,Mot,pestle,stamper
lupepela,air,air,lug,umoya,4.0,Positif,Mot,air,lug
mukuna,montagne,mountain,berg,intaba,4.0,Positif,Mot,mountain,berg
kulaamba,ramper,crawl,kruip,khasa,4.0,Positif,Verbe,crawl,kruip
Kulamba,preparer,prepare,voorberei,lungiselela,4.0,Positif,Verbe,prepare,voorberei
kubombeka,tramper,tramp,boemelaar,umshini wokunyathela,4.0,Positif,Verbe,soak,week
kukosa,trancher,slice,sny,isiqeshana,4.0,Positif,Verbe,slice,sny
kupanda,dechirer,rip,skeur,i-dechirer,-3.0,Negatif,Verbe,rip,skeur
kupemba,moucher,blow your nose,blaas,futha ikhala lakho,4.0,Positif,Verbe,blow,blaas
kusaminamoyi,manquer,miss,mis,miss,-2.0,Negatif,Verbe,miss,mis
kujila,chamailler,to bicker,rusie,ukuphikisana,-1.0,Negatif,Verbe,squabble,rusie
kukokangana,tirailler,to tug,sleep,i-tug,-6.0,Negatif,Verbe,skirmish,skermutseling
kukoka,tirer,to pull,trek,donsa,2.0,Positif,Verbe,to pull,om te trek
kuinama,incliner,tilt,kantel,tilt,2.0,Positif,Verbe,tilt,kantel
kumbula,creuser,dig,grawe,gubha,2.0,Positif,Verbe,dig,grawe
kutubula,trouer,to pierce,gat,imbobo,2.0,Positif,Verbe,hole,gat
kukonya,gratter,scratch,skraap,ukuklwebheka,-1.0,Negatif,Verbe,scratch,krap
tshivulukilu,souvenir,memory,onthou,isikhumbuzo,5.0,Positif,Verbe,memory,geheue
kutonda,repentir,repentance,bekeer,ukuphenduka,6.0,Positif,Verbe,repentance,berou
kutela,coudre,sew,naai,thunga,2.0,Positif,Verbe,sew,naai
kupela,moudre,grind,maal,ukugaya,1.0,Positif,Verbe,grind,maal
kusuma,mordre,to bite,byt,ukuluma,-2.0,Negatif,Verbe,to bite,om te byt
kudima,cultivre,cultivate,kweek,hlakulela,3.0,Positif,Verbe,cultivate,kweek
kukuna,semer,to sow,saai,hlwanyela,2.0,Positif,Verbe,sowing,saai
kuhola,recolter,harvest,oes,isivuno,4.0,Positif,Verbe,harvest,oes
mulami,gardien,guardian,wag,umnakekeli,4.0,Positif,Mot,guardian,voog
kuihila,sarcle,weed,skoffel,i-sarcle,4.0,Positif,Mot,weed,onkruid
kuhakula,castrer,castrate,kastreer,i-castrate,4.0,Positif,Verbe,castrate,kastrasie
kutengula,circonsir,to circumscribe,omskryf,bhalisela ukujikeleza,4.0,Positif,Verbe,circumscribe,omskryf
kunungana,murmurer,whisper,murmureer,ukuhlebeza,4.0,Positif,Verbe,whisper,fluister
kubobesha,murmur,whisper,murmureer,ukuhlebeza,4.0,Positif,Verbe,whisper,fluister
kuluatshisha, faire habiller,,doen aantrek,gqoka,4.0,Positif,Verbe, dress, rok
kuvuadika,habiller,dress,aantrek,gqoka,4.0,Positif,Verbe,dress,rok
munganga,infirmier,nurse,verpleegster,umhlengikazi,4.0,Positif,Mot,nurse,verpleegster
kumanyisha,informer,inform,inlig,yazisa,4.0,Positif,Verbe,inform,inlig
kunvuija,expliquer,explain,verduidelik,chaza,4.0,Positif,Verbe,explain,verduidelik
kunua,boire,drink,drink,isiphuzo,4.0,Positif,Verbe,drink,drankie
kusangisha,additionner,add,byvoeg,faka,4.0,Positif,Verbe,add,voeg by
nvita,guerre,war,oorlog,impi,-7.0,Negatif,Mot,war,oorlog
kujika,enterrer,bury,begrawe,ukungcwaba,-5.0,Negatif,Verbe,bury,begrawe
kuakaja,arranger,arrange,reël,hlela,4.0,Positif,Verbe,arrange,rangskik
kulela,accoucher,give birth,gee geboorte,ukuzala,4.0,Positif,Verbe,giving birth,geboorte gee
kulengeja,embelir,to beautify,versier,buhle,4.0,Positif,Verbe,beautify,verfraai
kukezula,purifier,purify,suiwer,hlanza,4.0,Positif,Verbe,purify,suiwer
kusukula,netoyer,clean,skoonmaak,i-netoyer,4.0,Positif,Verbe,clean,skoon
kabalamatuku,calendrier,calendar,kalender,ikhalenda,4.0,Positif,Mot,calendar,kalender
kubueja,inserer,insert,voeg in,faka,4.0,Positif,Verbe,insert,invoeg
Kuludika,adresser,address,aanspreek,ikheli,4.0,Positif,Verbe,address,adres
Kubela,eduquer,educate,opvoed,fundisa,4.0,Positif,Verbe,educate,opvoed
Tshienzedi,acte,act,optree,isenzo,4.0,Positif,Mot,act,optree
Kushimuna,vaincre,to overcome,oorwin,nqoba,4.0,Positif,Verbe,defeat,nederlaag
Kutumbisha,louer,to rent out,prys,ukuqasha,4.0,Positif,Verbe,to rent out,om uit te verhuur
kukukuila,adorer,worship,aanbid,uthando,4.0,Positif,Verbe,worship,aanbidding
Kutangalaja,propager,spread,propageer,ukusabalalisa,4.0,Positif,Verbe,propagate,versprei
Dizakala,tremblement,tremor,bewing,ukuqhaqhazela,4.0,Positif,Verbe,trembling,bewerig
Kuzakala,trembler,tremble,bewe,zanyazanyiswa,4.0,Positif,Verbe,tremble,bewe
Kutshibuka,fracturer,fracture,fraktuur,ukuphuka,-5.0,Negatif,Verbe,fracture,fraktuur
Kukuta,rassasier,to satiate,versadig,nganelisekile,3.0,Positif,Verbe,satiate,versadig
Kujima,eteindre,turn off,blus,khipha i-plug,3.0,Positif,Verbe,turn off,afskakel
Kutemesha,allumer,to light up,lig,vula,3.0,Positif,Verbe,to light up,om op te lig
kusemena,approcher,approach,benadering,indlela,3.0,Positif,Verbe,approach,benadering
Kuntekela,observer,observe,waarneem,qaphela,3.0,Positif,Verbe,observe,waarneem
Kufangikisha,ressembler,look like,lyk soos,ibukeka,3.0,Positif,Verbe,look like,lyk soos
Kumonununa,revoir,goodbye,sien weer,ukuphawula,3.0,Positif,Verbe,goodbye,totsiens
Kutshina,craindre,to fear,vrees,ukwesaba,3.0,Positif,Verbe,to fear,om te vrees
Kuluka,vomir,to vomit,braak,ukuhlanza,-3.0,Negatif,Verbe,to vomit,om op te braak
Miengu,nauser,nauseate,naar maak,umsebenzisi we-nauser,-4.0,Negatif,Verbe,nausea,naarheid
tshieleka,serment,oath,eed,isifungo,4.0,Positif,Verbe,oath,eed
Kowela,nager,swim,swem,geza,4.0,Positif,Verbe,swim,swem
Kudina,noyer,walnut,slaap,lala,-2.0,Negatif,Verbe,walnut,okkerneut
Kuhuyakana,respirer,breathe,asemhaal,manje,5.0,Positif,Verbe,breathe,asemhaal
Kuinyija,plonger,dive,duik,gqoloza,5.0,Positif,Verbe,dive,duik
Kubola,mouiller,wet,nat,nakuba,-6.0,Negatif,Verbe,wet,nat
Kubungila,somnoler,to doze,doseer,umthamo,3.0,Positif,Verbe,to doze,om te sluimer
Kulota,rever,dream,droom,iphupho,3.0,Positif,Verbe,dream,droom
Butuku,nuit,night,nag,ebsuku,-5.0,Negatif,Mot,night,nag
Dituku,jour,day,dag,kusihlwa,7.0,Positif,Mot,day,dag
Ditunga,pays,country,land,izwe,7.0,Positif,Mot,country,land
Kumuenena,dominer,dominate,domineer,bulala,7.0,Positif,Verbe,dominate,oorheers
Tshimenga,ville,city,stad,idolobha,7.0,Positif,Mot,city,stad
Mulondi,village,village,dorp,idolobha,7.0,Positif,Mot,village,dorpie
Kuvuma,vibrer,vibrate,vibreer,thinta,7.0,Positif,Verbe,vibrate,vibreer
Mulondi,coureur,runner,hardloper,umgijimi,7.0,Positif,Verbe,runner,hardloper
Momunyi,voyant,seer,siener,umubikezi,7.0,Positif,Verbe,seeing,sien
Nsanyanga,sentiment,feeling,gevoel,umuzwa,7.0,Positif,Mot,feeling,gevoel
Kujingila,souhaiter,to wish,wens,isifiso,7.0,Positif,Verbe,to wish,om te wens
Kukehesha,reduire,reduce,verminder,yehlisa,7.0,Positif,Verbe,reduce,verminder
Mavuala,vague,wave,golf,igoli,-4.0,Negatif,Mot,wave,golf
tshipepela,tempete,storm,storm,isivunguvungu,-4.0,Negatif,Mot,storm,storm
Kudiombola,decevoir,disappoint,teleurstel,ukuzola,-4.0,Negatif,Verbe,disappoint,teleurstel
Munyengi,cambrioleur,burglar,inbreker,umkhweli,-4.0,Negatif,Verbe,burglar,inbreker
Kukankamija,encourager,encourage,moedig aan,kuthaza,6.0,Positif,Mot,encourage,aanmoedig
Disankisha,rendreheureux,make happy,maak gelukkig,ukujabulisa,6.0,Positif,Verbe,make happy,maak gelukkig
Diambuluisha,aider,help,help,usizo,6.0,Positif,Verbe,help,hulp
Kumupetesha,apporter,bring,bring,letha,6.0,Positif,Verbe,bring,bring
Ditekemena,esperance,hope,hoop,i-esperance,6.0,Positif,Mot,hope,hoop
Kulongesha,enseigner,teach,leer,fundisa,6.0,Positif,Verbe,teach,onderrig
Kukonkolola,examiner,examine,ondersoek,ukuphawula,6.0,Positif,Verbe,examine,ondersoek
Kanyinganinga,stress,stress,stres,ukucindezeleka,-7.0,Negatif,Mot,stress,stres
Kutantamena,supporter,support,verduur,usizo,5.0,Positif,Verbe,support,ondersteuning
Kansungansunga,injustice,injustice,onreg,ukungabi nabulungisa,-3.0,Negatif,Mot,injustice,onregverdigheid
Kukumbaja,realiser,realize,besef,qaphela,4.0,Positif,Verbe,realize,besef
Bibunyi,abondance,abundance,oorvloed,inala,4.0,Positif,Mot,abundance,oorvloed
Kumbusha,enlever,to remove,verwyder,susa,4.0,Positif,Verbe,to remove,om te verwyder
Tshijiengu,cercle,circle,sirkel,Indingiliza,4.0,Positif,Mot,circle,sirkel
Buloba,Terre,earth,Aarde,Umhlaba,4.0,Positif,Mot,Earth,Aarde
Bionsu,tout,All,alles,konke,0.0,Neutre,Mot,All,Alles
Kuikala,etre,be,wese,bE,0.0,Neutre,Verbe,be,wees
Bikukibua,Creature,creature,Skepsel,Isidalwa,5.0,Positif,Mot,Creature,Skepsel
Moyi,vie,life,lewe,impilo,5.0,Positif,Mot,life,lewe
Bulelela,Verité,truth,Waarheid,Iqiniso,5.0,Positif,Mot,Truth,Waarheid
Kufunda,ecrire,to write,skryf,bhala,5.0,Positif,Verbe,to write,om te skryf
Kunianga,abimer,to damage,skade,umonakalo,-4.0,Negatif,Verbe,damage,skade
Kumanyisha,informer,inform,inlig,yazisa,3.0,Positif,Verbe,inform,inlig
Biabunyi,beaucoup,a lot,baie,okuningi,3.0,Positif,Mot,a lot,baie
Tshikondo,periode,period,periode,inkathi,3.0,Positif,Mot,period,periode
Tshilejelu,exemple,example,voorbeeld,isibonelo,3.0,Positif,Mot,example,voorbeeld
Dimanyia,connaissance,awareness,kennis,ulwazi,3.0,Positif,Mot,awareness,bewustheid
Mpokolo,source,source,bron,Umthombo,3.0,Positif,Mot,source,bron
Wa,de,of,van,ka,0.0,Neutre,Article,of,van
Bakuabu,d'autre,else,ander,okunye,0.0,Neutre,Mot,else,anders
Kuangata,prendre,take,neem e,thatha,2.0,Positif,Verbe,take,neem
Tshibuashabuasha,univers,universe,heelal,indawo yonke,2.0,Positif,Mot,universe,heelal
Mitoto,etiole,etiole,etiole,i-etiole,2.0,Positif,Mot,etiole,etiool
Butoke,eclairer,to illuminate,verlig,khanyisa,2.0,Positif,Verbe,illuminate,verlig
Mushindu,façon,way,manier,indlela,2.0,Positif,Mot,way,manier
Kuteleja,ecouter,listen,luister,lalela,2.0,Positif,Verbe,listen,luister
Diyi,voix,voice,stem,izwi,2.0,Positif,Mot,voice,stem
Mubidi,corps,body,liggaam,umzimba,2.0,Positif,Mot,body,liggaam
Mashi,sang,blood,bloed,igazi,2.0,Positif,Mot,blood,bloed
Kumona,voir,see,sien,buka,2.0,Positif,Verbe,see,sien
Kuitaba,accepter,accept,aanvaar,Yamukela,2.0,Positif,Verbe,accept,aanvaar
Mpukampuka,hasard,chance,kans,ithuba,2.0,Positif,Mot,chance,kans
tshibingishilu,commencement,beginning,begin,qala,2.0,Positif,Mot,beginning,begin
Tshinfuanyi,image,picture,beeld,isithombe,2.0,Positif,Mot,picture,prentjie
Ngikadilu,qualiter,quality,kwaliteit,ikhwalithi,2.0,Positif,Mot,quality,kwaliteit
Bukokeshi,autoriter,to authorize,gesag,gunyaza,2.0,Positif,Mot,authority,gesag
Dishilangana,different,different,verskillend,okuhlukile,2.0,Positif,Mot,different,anders
Kusambila,prier,pray,bid,thandaza,2.0,Positif,Verbe,pray,bid
Kukumbana,convenir,agree,stem saam,vuma,2.0,Positif,Verbe,agree,stem saam
Bulunda,amitier,friendship,vriendskap,inobungane,2.0,Positif,Mot,friendship,vriendskap
Kulua,venir,come,kom,woza,2.0,Positif,Verbe,come,kom
Mushinga,prix,price,prys,inani,2.0,Positif,Mot,price,prys
kusemena,approcher,approach,benadering,indlela,2.0,Positif,Verbe,approach,benadering
Kuambuluisha,aider,help,help,usizo,2.0,Positif,Verbe,help,hulp
Kusamba,consoller,to console,troos,i-conoller,2.0,Positif,Verbe,consoler,trooster
Kusankisha,rejouire,to rejoice,verbly,phinda udlale,2.0,Positif,Verbe,rejoice,verheug
kushintuluka,changer,to change,verander,shintsha,2.0,Positif,Verbe,to change,om te verander
Makenga,souffrance,suffering,lyding,ukuhlupheka,2.0,Positif,Mot,suffering,lyding
Kuludika,redresser,to sort out,reguitmaak,qondisa,2.0,Positif,Verbe,to sort out,om uit te sorteer
Kuenza,faire,TO DO,doen,yenza,2.0,Positif,Verbe,TO DO,OM TE DOEN
kulomba,Demander,ask,Vra,Buza,2.0,Positif,Verbe,Ask,Vra
Kupumuna,epancher,to pour out,gooi uit,i-epancher,2.0,Positif,Verbe,pour out,uitgooi
Ditalala,paix,peace,vrede,ukuthula,2.0,Positif,Mot,peace,vrede
Kudisangisha,reunir,reunite,verenig,hlanganisani,2.0,Positif,Verbe,gather,versamel
Diku,famille,family,familie,umndeni,2.0,Positif,Mot,family,familie
Tshisumbu,groupe,band,groep,Iqembu,2.0,Positif,Mot,band,orkes
Mikenji,lois,laws,wette,imithetho,2.0,Positif,Mot,laws,wette
Ntemu,temoin,witness,getuie,ufakazi,2.0,Positif,Mot,witness,getuie
Kushima,mentir,lie,lieg,amanga,-3.0,Negatif,Verbe,lie,lieg
Tshisangilu,reunion,meeting,vergadering,umhlangano,4.0,Positif,Mot,meeting,vergadering
Pamuapa,defois,sometimes,soms,i-defois,4.0,Positif,Mot,sometimes,soms
Kuseka,Rigoler,to laugh,Lag,Hleka,4.0,Positif,Verbe,To laugh,Om te lag
Kuibidila,habitude,habit,gewoonte,umkhuba,4.0,Positif,Mot,habit,gewoonte
Madilu,deuil,grief,hartseer,ukushonelwa,-6.0,Negatif,Mot,grief,hartseer
Kuibaka,construire,build,bou,yakha,3.0,Positif,Verbe,build,bou
Bipepela,facile,easy,maklik,kulula,3.0,Positif,Mot,easy,maklik
Kusungula,choisire,choose,kies,khetha,3.0,Positif,Verbe,choose,kies
kulomba,Demander,ask,Vra,Buza,3.0,Positif,Verbe,Ask,Vra
Bulongolodi,organisation,organization,organisasie,inhlangano,3.0,Positif,Mot,organization,organisasie
Kucimuna,vincrait,would win,sou wen,i-vincrait,3.0,Positif,Mot,vincrait,vincrait
Kusuminyina,ainsister,doncster,dring aan,udadewethu,3.0,Positif,Verbe,thus,dus
Kutunguluka,continuer,continue,voortgaan,Qhubeka,3.0,Positif,Verbe,continue,voortgaan
Mufuki,createur,Creator,skepper,umsunguli,3.0,Positif,Mot,Creator,Skepper
Kukokela,soumission,submission,onderdanigheid,ukuthumela,3.0,Positif,Mot,submission,voorlegging
Disanka,joie,joy,vreugde,injabulo,3.0,Positif,Mot,joy,vreugde
Kukumbajia,ajouter,add,voeg by,Engeza,3.0,Positif,Verbe,add,voeg by
Mukaji,femme,women,vrou,owesifazane,3.0,Positif,Mot,women,vroue
