CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation
tshivulukilu,souvenir,memory,onthou,isikhumbuzo,5.0,Positif,Verbe,memory
kutonda,repentir,repentance,bekeer,ukuphenduka,6.0,Positif,Verbe,repentance
kutela,coudre,sew,naai,thunga,2.0,Positif,Verbe,sew
kupela,moudre,grind,maal,ukugaya,1.0,Positif,Verbe,grind
kusuma,mordre,to bite,byt,ukuluma,-2.0,Negatif,Verbe,to bite
kudima,cultivre,cultivate,kweek,hlakulela,3.0,Positif,Verbe,cultivate
kukuna,semer,to sow,saai,hlwanyela,2.0,Positif,Verbe,sowing
kuhola,recolter,harvest,oes,isivuno,4.0,Positif,Verbe,harvest
mulami,gardien,guardian,wag,umnakekeli,4.0,Positif,Mot,guardian
kuihila,sarcle,weed,skoffel,i-sarcle,4.0,Positif,Mot,weed
kuhakula,castrer,castrate,kastreer,i-castrate,4.0,Positif,Verbe,castrate
kutengula,circonsir,to circumscribe,omskryf,bhalisela ukujikeleza,4.0,Positif,Verbe,circumscribe
kunungana,murmurer,whisper,murmureer,ukuhlebeza,4.0,Positif,Verbe,whisper
kubobesha,murmur,whisper,murmureer,ukuhlebeza,4.0,Positif,Verbe,whisper
kuluatshisha, faire habiller,,doen aantrek,gqoka,4.0,Positif,Verbe, dress
kuvuadika,habiller,dress,aantrek,gqoka,4.0,Positif,Verbe,dress
munganga,infirmier,nurse,verpleegster,umhlengikazi,4.0,Positif,Mot,nurse
kumanyisha,informer,inform,inlig,yazisa,4.0,Positif,Verbe,inform
kunvuija,expliquer,explain,verduidelik,chaza,4.0,Positif,Verbe,explain
kunua,boire,drink,drink,isiphuzo,4.0,Positif,Verbe,drink
kusangisha,additionner,add,byvoeg,faka,4.0,Positif,Verbe,add
nvita,guerre,war,oorlog,impi,-7.0,Negatif,Mot,war
kujika,enterrer,bury,begrawe,ukungcwaba,-5.0,Negatif,Verbe,bury
kuakaja,arranger,arrange,reël,hlela,4.0,Positif,Verbe,arrange
kulela,accoucher,give birth,gee geboorte,ukuzala,4.0,Positif,Verbe,giving birth
kulengeja,embelir,to beautify,versier,buhle,4.0,Positif,Verbe,beautify
kukezula,purifier,purify,suiwer,hlanza,4.0,Positif,Verbe,purify
kusukula,netoyer,clean,skoonmaak,i-netoyer,4.0,Positif,Verbe,clean
kabalamatuku,calendrier,calendar,kalender,ikhalenda,4.0,Positif,Mot,calendar
kubueja,inserer,insert,voeg in,faka,4.0,Positif,Verbe,insert
Kuludika,adresser,address,aanspreek,ikheli,4.0,Positif,Verbe,address
Kubela,eduquer,educate,opvoed,fundisa,4.0,Positif,Verbe,educate
Tshienzedi,acte,act,optree,isenzo,4.0,Positif,Mot,act
Kushimuna,vaincre,to overcome,oorwin,nqoba,4.0,Positif,Verbe,defeat
Kutumbisha,louer,to rent out,prys,ukuqasha,4.0,Positif,Verbe,to rent out
kukukuila,adorer,worship,aanbid,uthando,4.0,Positif,Verbe,worship
Kutangalaja,propager,spread,propageer,ukusabalalisa,4.0,Positif,Verbe,propagate
Dizakala,tremblement,tremor,bewing,ukuqhaqhazela,4.0,Positif,Verbe,trembling
Kuzakala,trembler,tremble,bewe,zanyazanyiswa,4.0,Positif,Verbe,tremble
Kutshibuka,fracturer,fracture,fraktuur,ukuphuka,-5.0,Negatif,Verbe,fracture
Kukuta,rassasier,to satiate,versadig,nganelisekile,3.0,Positif,Verbe,satiate
Kujima,eteindre,turn off,blus,khipha i-plug,3.0,Positif,Verbe,turn off
Kutemesha,allumer,to light up,lig,vula,3.0,Positif,Verbe,to light up
kusemena,approcher,approach,benadering,indlela,3.0,Positif,Verbe,approach
Kuntekela,observer,observe,waarneem,qaphela,3.0,Positif,Verbe,observe
Kufangikisha,ressembler,look like,lyk soos,ibukeka,3.0,Positif,Verbe,look like
Kumonununa,revoir,goodbye,sien weer,ukuphawula,3.0,Positif,Verbe,goodbye
Kutshina,craindre,to fear,vrees,ukwesaba,3.0,Positif,Verbe,to fear
Kuluka,vomir,to vomit,braak,ukuhlanza,-3.0,Negatif,Verbe,to vomit
Miengu,nauser,nauseate,naar maak,umsebenzisi we-nauser,-4.0,Negatif,Verbe,nausea
tshieleka,serment,oath,eed,isifungo,4.0,Positif,Verbe,oath
Kowela,nager,swim,swem,geza,4.0,Positif,Verbe,swim
Kudina,noyer,walnut,slaap,lala,-2.0,Negatif,Verbe,walnut
Kuhuyakana,respirer,breathe,asemhaal,manje,5.0,Positif,Verbe,breathe
Kuinyija,plonger,dive,duik,gqoloza,5.0,Positif,Verbe,dive
Kubola,mouiller,wet,nat,nakuba,-6.0,Negatif,Verbe,wet
Kubungila,somnoler,to doze,doseer,umthamo,3.0,Positif,Verbe,to doze
Kulota,rever,dream,droom,iphupho,3.0,Positif,Verbe,dream
Butuku,nuit,night,nag,ebsuku,-5.0,Negatif,Mot,night
Dituku,jour,day,dag,kusihlwa,7.0,Positif,Mot,day
Ditunga,pays,country,land,izwe,7.0,Positif,Mot,country
Kumuenena,dominer,dominate,domineer,bulala,7.0,Positif,Verbe,dominate
Tshimenga,ville,city,stad,idolobha,7.0,Positif,Mot,city
Mulondi,village,village,dorp,idolobha,7.0,Positif,Mot,village
Kuvuma,vibrer,vibrate,vibreer,thinta,7.0,Positif,Verbe,vibrate
Mulondi,coureur,runner,hardloper,umgijimi,7.0,Positif,Verbe,runner
Momunyi,voyant,seer,siener,umubikezi,7.0,Positif,Verbe,seeing
Nsanyanga,sentiment,feeling,gevoel,umuzwa,7.0,Positif,Mot,feeling
Kujingila,souhaiter,to wish,wens,isifiso,7.0,Positif,Verbe,to wish
Kukehesha,reduire,reduce,verminder,yehlisa,7.0,Positif,Verbe,reduce
Mavuala,vague,wave,golf,igoli,-4.0,Negatif,Mot,wave
tshipepela,tempete,storm,storm,isivunguvungu,-4.0,Negatif,Mot,storm
Kudiombola,decevoir,disappoint,teleurstel,ukuzola,-4.0,Negatif,Verbe,disappoint
Munyengi,cambrioleur,burglar,inbreker,umkhweli,-4.0,Negatif,Verbe,burglar
Kukankamija,encourager,encourage,moedig aan,kuthaza,6.0,Positif,Mot,encourage
Disankisha,rendreheureux,make happy,maak gelukkig,ukujabulisa,6.0,Positif,Verbe,make happy
Diambuluisha,aider,help,help,usizo,6.0,Positif,Verbe,help
Kumupetesha,apporter,bring,bring,letha,6.0,Positif,Verbe,bring
Ditekemena,esperance,hope,hoop,i-esperance,6.0,Positif,Mot,hope
Kulongesha,enseigner,teach,leer,fundisa,6.0,Positif,Verbe,teach
Kukonkolola,examiner,examine,ondersoek,ukuphawula,6.0,Positif,Verbe,examine
Kanyinganinga,stress,stress,stres,ukucindezeleka,-7.0,Negatif,Mot,stress
Kutantamena,supporter,support,verduur,usizo,5.0,Positif,Verbe,support
Kansungansunga,injustice,injustice,onreg,ukungabi nabulungisa,-3.0,Negatif,Mot,injustice
Kukumbaja,realiser,realize,besef,qaphela,4.0,Positif,Verbe,realize
Bibunyi,abondance,abundance,oorvloed,inala,4.0,Positif,Mot,abundance
Kumbusha,enlever,to remove,verwyder,susa,4.0,Positif,Verbe,to remove
Tshijiengu,cercle,circle,sirkel,Indingiliza,4.0,Positif,Mot,circle
Buloba,Terre,earth,Aarde,Umhlaba,4.0,Positif,Mot,Earth
Bionsu,tout,All,alles,konke,0.0,Neutre,Mot,All
Kuikala,etre,be,wese,bE,0.0,Neutre,Verbe,be
Bikukibua,Creature,creature,Skepsel,Isidalwa,5.0,Positif,Mot,Creature
Moyi,vie,life,lewe,impilo,5.0,Positif,Mot,life
Bulelela,Verité,truth,Waarheid,Iqiniso,5.0,Positif,Mot,Truth
Kufunda,ecrire,to write,skryf,bhala,5.0,Positif,Verbe,to write
Kunianga,abimer,to damage,skade,umonakalo,-4.0,Negatif,Verbe,damage
Kumanyisha,informer,inform,inlig,yazisa,3.0,Positif,Verbe,inform
Biabunyi,beaucoup,a lot,baie,okuningi,3.0,Positif,Mot,a lot
Tshikondo,periode,period,periode,inkathi,3.0,Positif,Mot,period
Tshilejelu,exemple,example,voorbeeld,isibonelo,3.0,Positif,Mot,example
Dimanyia,connaissance,awareness,kennis,ulwazi,3.0,Positif,Mot,awareness
Mpokolo,source,source,bron,Umthombo,3.0,Positif,Mot,source
Wa,de,of,van,ka,0.0,Neutre,Article,of
Bakuabu,d'autre,else,ander,okunye,0.0,Neutre,Mot,else
Kuangata,prendre,take,neem e,thatha,2.0,Positif,Verbe,take
Tshibuashabuasha,univers,universe,heelal,indawo yonke,2.0,Positif,Mot,universe
Mitoto,etiole,etiole,etiole,i-etiole,2.0,Positif,Mot,etiole
Butoke,eclairer,to illuminate,verlig,khanyisa,2.0,Positif,Verbe,illuminate
Mushindu,façon,way,manier,indlela,2.0,Positif,Mot,way
Kuteleja,ecouter,listen,luister,lalela,2.0,Positif,Verbe,listen
Diyi,voix,voice,stem,izwi,2.0,Positif,Mot,voice
Mubidi,corps,body,liggaam,umzimba,2.0,Positif,Mot,body
Mashi,sang,blood,bloed,igazi,2.0,Positif,Mot,blood
Kumona,voir,see,sien,buka,2.0,Positif,Verbe,see
Kuitaba,accepter,accept,aanvaar,Yamukela,2.0,Positif,Verbe,accept
Mpukampuka,hasard,chance,kans,ithuba,2.0,Positif,Mot,chance
tshibingishilu,commencement,beginning,begin,qala,2.0,Positif,Mot,beginning
Tshinfuanyi,image,picture,beeld,isithombe,2.0,Positif,Mot,picture
Ngikadilu,qualiter,quality,kwaliteit,ikhwalithi,2.0,Positif,Mot,quality
Bukokeshi,autoriter,to authorize,gesag,gunyaza,2.0,Positif,Mot,authority
Dishilangana,different,different,verskillend,okuhlukile,2.0,Positif,Mot,different
Kusambila,prier,pray,bid,thandaza,2.0,Positif,Verbe,pray
Kukumbana,convenir,agree,stem saam,vuma,2.0,Positif,Verbe,agree
Bulunda,amitier,friendship,vriendskap,inobungane,2.0,Positif,Mot,friendship
Kulua,venir,come,kom,woza,2.0,Positif,Verbe,come
Mushinga,prix,price,prys,inani,2.0,Positif,Mot,price
kusemena,approcher,approach,benadering,indlela,2.0,Positif,Verbe,approach
Kuambuluisha,aider,help,help,usizo,2.0,Positif,Verbe,help
Kusamba,consoller,to console,troos,i-conoller,2.0,Positif,Verbe,consoler
Kusankisha,rejouire,to rejoice,verbly,phinda udlale,2.0,Positif,Verbe,rejoice
kushintuluka,changer,to change,verander,shintsha,2.0,Positif,Verbe,to change
Makenga,souffrance,suffering,lyding,ukuhlupheka,2.0,Positif,Mot,suffering
Kuludika,redresser,to sort out,reguitmaak,qondisa,2.0,Positif,Verbe,to sort out
Kuenza,faire,TO DO,doen,yenza,2.0,Positif,Verbe,TO DO
kulomba,Demander,ask,Vra,Buza,2.0,Positif,Verbe,Ask
Kupumuna,epancher,to pour out,gooi uit,i-epancher,2.0,Positif,Verbe,pour out
Ditalala,paix,peace,vrede,ukuthula,2.0,Positif,Mot,peace
Kudisangisha,reunir,reunite,verenig,hlanganisani,2.0,Positif,Verbe,gather
Diku,famille,family,familie,umndeni,2.0,Positif,Mot,family
Tshisumbu,groupe,band,groep,Iqembu,2.0,Positif,Mot,band
Mikenji,lois,laws,wette,imithetho,2.0,Positif,Mot,laws
Ntemu,temoin,witness,getuie,ufakazi,2.0,Positif,Mot,witness
Kushima,mentir,lie,lieg,amanga,-3.0,Negatif,Verbe,lie
Tshisangilu,reunion,meeting,vergadering,umhlangano,4.0,Positif,Mot,meeting
Pamuapa,defois,sometimes,soms,i-defois,4.0,Positif,Mot,sometimes
Kuseka,Rigoler,to laugh,Lag,Hleka,4.0,Positif,Verbe,To laugh
Kuibidila,habitude,habit,gewoonte,umkhuba,4.0,Positif,Mot,habit
Madilu,deuil,grief,hartseer,ukushonelwa,-6.0,Negatif,Mot,grief
Kuibaka,construire,build,bou,yakha,3.0,Positif,Verbe,build
Bipepela,facile,easy,maklik,kulula,3.0,Positif,Mot,easy
Kusungula,choisire,choose,kies,khetha,3.0,Positif,Verbe,choose
kulomba,Demander,ask,Vra,Buza,3.0,Positif,Verbe,Ask
Bulongolodi,organisation,organization,organisasie,inhlangano,3.0,Positif,Mot,organization
Kucimuna,vincrait,would win,sou wen,i-vincrait,3.0,Positif,Mot,vincrait
Kusuminyina,ainsister,doncster,dring aan,udadewethu,3.0,Positif,Verbe,thus
Kutunguluka,continuer,continue,voortgaan,Qhubeka,3.0,Positif,Verbe,continue
Mufuki,createur,Creator,skepper,umsunguli,3.0,Positif,Mot,Creator
Kukokela,soumission,submission,onderdanigheid,ukuthumela,3.0,Positif,Mot,submission
Disanka,joie,joy,vreugde,injabulo,3.0,Positif,Mot,joy
Kukumbajia,ajouter,add,voeg by,Engeza,3.0,Positif,Verbe,add
Mukaji,femme,women,vrou,owesifazane,3.0,Positif,Mot,women
mudimu,travail,work,werk,Inethiwekhi,3.0,Positif,Verbe,work
Kabutu,destruiction,destruction,vernietiging,ukubhujiswa,3.0,Positif,Mot,destruction
Lukuka,aviditer,to greed,gierigheid,umshisekeli,3.0,Positif,Mot,avidity
Muana,descendance,descendants,afstammelinge,inzalo,3.0,Positif,Mot,descendants
Biabunyi,immence,immensity,onmate,ukuvikeleka,3.0,Positif,Mot,immensity
Lulamatu,fideliter,loyalty,lojaliteit,ukwethembeka,3.0,Positif,Mot,fidelity
Kudipuekesha,humilter,to humble,nederig,thobisa,3.0,Positif,Mot,humiliate
Kukuba,proteger,protect,beskerm,vikela,3.0,Positif,Verbe,protect
Ciendelela,eterniter,eternity,ewigheid,ingunaphakade,3.0,Positif,Mot,eternal
Dishintuluka,changement,change,verandering,shintsha,3.0,Positif,Mot,change
Ditumikila,obeisance,obedience,gehoorsaamheid,ukukhothamela,3.0,Positif,Mot,obedience
disanka,bonheur,happiness,geluk,injabulo,3.0,Positif,Mot,happiness
dibungama,tristesse,sadness,hartseer,ukudabuka,-1.0,Negatif,Mot,sadness
tshinji,colere,anger,woede,intukuthelo,-4.0,Negatif,Mot,anger
bowa,peur,fear,vrees,ukwesaba,-6.0,Negatif,Mot,fear
ditalala,paix,peace,vrede,ukuthula,5.0,Positif,Mot,peace
kukuata,reusir,to succeed,slaag,ukuphinda usebenzise,5.0,Positif,Verbe,succeed
kubula,echec,failure,mislukking,kwehlulekile,-5.0,Negatif,Mot,failure
ditekemena,confiance,trust,vertroue,ukwethembana,4.0,Positif,Mot,trust
kuseka,sourire,smile,glimlag,ukumamatheka,6.0,Positif,Verbe,smile
bisonji,Larmes,tears,Trane,Izinyembezi,-3.0,Negatif,Mot,Tears
ditekemena,espoir,hope,hoop,ithemba,2.0,Positif,Mot,hope
kuvuluka,souvenir,memory,geheue,isikhumbuzo,3.0,Positif,Mot,memory
kubengakutekemena,desespoir,despair,wanhoop,ukuphelelwa yithemba,-7.0,Negatif,Mot,despair
moyimukola,courage,courage,moed,isibindi,1.0,Positif,Mot,courage
tungunuka,continuer,continue,gaan voort,Qhubeka,1.0,Positif,Verbe,continue
mudikadila,liberter,freedom,vryheid,khulula,1.0,Positif,Mot,freedom
kukudimuna,trasformer,transform,transformeer,i-trasformer,1.0,Positif,Verbe,transform
kukola,grandir,to grow,groei,khulisa,1.0,Positif,Verbe,to grow
kulongesha,enseigne,taught,leer,sayina,1.0,Positif,Mot,taught
tshisumi,perceverance,perseverance,waarnemer,umbono,1.0,Positif,Mot,perseverance
kubenga,refuser,refuse,weier,Enqaba,-2.0,Negatif,Verbe,refuse
kubela,reprimande,reprimand,berispelik,khuza,-4.0,Negatif,Mot,reprimand
kulomba,demander,ask,vra,buza,4.0,Positif,Verbe,ask
bundu,honte,shame,skaamte,amahloni,-3.0,Negatif,Mot,shame
