CILUBA,French,Afrikaans,Score,Sentiment,Nature,English_Translation
Kumonununa,revoir,sien weer,3.0,Positif,Verbe,goodbye
Kutshina,craindre,vrees,3.0,Positif,Verbe,to fear
Kuluka,vomir,braak,-3.0,Negatif,Verbe,to vomit
Miengu,nauser,naar maak,-4.0,Negatif,Verbe,nausea
tshieleka,serment,eed,4.0,Positif,Verbe,oath
Kowela,nager,swem,4.0,Positif,Verbe,swim
Kudina,noyer,slaap,-2.0,Negatif,Verbe,walnut
Kuhuyakana,respirer,asemhaal,5.0,Positif,Verbe,breathe
Kuinyija,plonger,duik,5.0,Positif,Verbe,dive
Kubola,mouiller,nat,-6.0,Negatif,Verbe,wet
Kubungila,somnoler,doseer,3.0,Positif,Verbe,to doze
Kulota,rever,droom,3.0,Positif,Verbe,dream
Butuku,nuit,nag,-5.0,Negatif,Mot,night
Dituku,jour,dag,7.0,Positif,Mot,day
Ditunga,pays,land,7.0,Positif,Mot,country
Kumuenena,dominer,domineer,7.0,Positif,Verbe,dominate
Tshimenga,ville,stad,7.0,Positif,Mot,city
Mulondi,village,dorp,7.0,Positif,Mot,village
Kuvuma,vibrer,vibreer,7.0,Positif,Verbe,vibrate
Mulondi,coureur,hardloper,7.0,Positif,Verbe,runner
Momunyi,voyant,siener,7.0,Positif,Verbe,seeing
Nsanyanga,sentiment,gevoel,7.0,Positif,Mot,feeling
Kujingila,souhaiter,wens,7.0,Positif,Verbe,to wish
Kukehesha,reduire,verminder,7.0,Positif,Verbe,reduce
Mavuala,vague,golf,-4.0,Negatif,Mot,wave
tshipepela,tempete,storm,-4.0,Negatif,Mot,storm
Kudiombola,decevoir,teleurstel,-4.0,Negatif,Verbe,disappoint
Munyengi,cambrioleur,inbreker,-4.0,Negatif,Verbe,burglar
Kukankamija,encourager,moedig aan,6.0,Positif,Mot,encourage
Disankisha,rendreheureux,maak gelukkig,6.0,Positif,Verbe,make happy
Diambuluisha,aider,help,6.0,Positif,Verbe,help
Kumupetesha,apporter,bring,6.0,Positif,Verbe,bring
Ditekemena,esperance,hoop,6.0,Positif,Mot,hope
Kulongesha,enseigner,leer,6.0,Positif,Verbe,teach
Kukonkolola,examiner,ondersoek,6.0,Positif,Verbe,examine
Kanyinganinga,stress,stres,-7.0,Negatif,Mot,stress
Kutantamena,supporter,verduur,5.0,Positif,Verbe,support
Kansungansunga,injustice,onreg,-3.0,Negatif,Mot,injustice
Kukumbaja,realiser,besef,4.0,Positif,Verbe,realize
Bibunyi,abondance,oorvloed,4.0,Positif,Mot,abundance
Kumbusha,enlever,verwyder,4.0,Positif,Verbe,to remove
Tshijiengu,cercle,sirkel,4.0,Positif,Mot,circle
Buloba,Terre,Aarde,4.0,Positif,Mot,Earth
Bionsu,tout,alles,0.0,Neutre,Mot,All
Kuikala,etre,wese,0.0,Neutre,Verbe,be
Bikukibua,Creature,Skepsel,5.0,Positif,Mot,Creature
Moyi,vie,lewe,5.0,Positif,Mot,life
Bulelela,Verité,Waarheid,5.0,Positif,Mot,Truth
Kufunda,ecrire,skryf,5.0,Positif,Verbe,to write
Kunianga,abimer,skade,-4.0,Negatif,Verbe,damage
Kumanyisha,informer,inlig,3.0,Positif,Verbe,inform
Biabunyi,beaucoup,baie,3.0,Positif,Mot,a lot
Tshikondo,periode,periode,3.0,Positif,Mot,period
Tshilejelu,exemple,voorbeeld,3.0,Positif,Mot,example
Dimanyia,connaissance,kennis,3.0,Positif,Mot,awareness
Mpokolo,source,bron,3.0,Positif,Mot,source
Wa,de,van,0.0,Neutre,Article,of
Bakuabu,d'autre,ander,0.0,Neutre,Mot,else
Kuangata,prendre,neem e,2.0,Positif,Verbe,take
Tshibuashabuasha,univers,heelal,2.0,Positif,Mot,universe
Mitoto,etiole,etiole,2.0,Positif,Mot,etiole
Butoke,eclairer,verlig,2.0,Positif,Verbe,illuminate
Mushindu,façon,manier,2.0,Positif,Mot,way
Kuteleja,ecouter,luister,2.0,Positif,Verbe,listen
Diyi,voix,stem,2.0,Positif,Mot,voice
Mubidi,corps,liggaam,2.0,Positif,Mot,body
Mashi,sang,bloed,2.0,Positif,Mot,blood
Kumona,voir,sien,2.0,Positif,Verbe,see
Kuitaba,accepter,aanvaar,2.0,Positif,Verbe,accept
Mpukampuka,hasard,kans,2.0,Positif,Mot,chance
tshibingishilu,commencement,begin,2.0,Positif,Mot,beginning
Tshinfuanyi,image,beeld,2.0,Positif,Mot,picture
Ngikadilu,qualiter,kwaliteit,2.0,Positif,Mot,quality
Bukokeshi,autoriter,gesag,2.0,Positif,Mot,authority
Dishilangana,different,verskillend,2.0,Positif,Mot,different
Kusambila,prier,bid,2.0,Positif,Verbe,pray
Kukumbana,convenir,stem saam,2.0,Positif,Verbe,agree
Bulunda,amitier,vriendskap,2.0,Positif,Mot,friendship
Kulua,venir,kom,2.0,Positif,Verbe,come
Mushinga,prix,prys,2.0,Positif,Mot,price
kusemena,approcher,benadering,2.0,Positif,Verbe,approach
Kuambuluisha,aider,help,2.0,Positif,Verbe,help
Kusamba,consoller,troos,2.0,Positif,Verbe,consoler
Kusankisha,rejouire,verbly,2.0,Positif,Verbe,rejoice
kushintuluka,changer,verander,2.0,Positif,Verbe,to change
Makenga,souffrance,lyding,2.0,Positif,Mot,suffering
Kuludika,redresser,reguitmaak,2.0,Positif,Verbe,to sort out
Kuenza,faire,doen,2.0,Positif,Verbe,TO DO
kulomba,Demander,Vra,2.0,Positif,Verbe,Ask
Kupumuna,epancher,gooi uit,2.0,Positif,Verbe,pour out
Ditalala,paix,vrede,2.0,Positif,Mot,peace
Kudisangisha,reunir,verenig,2.0,Positif,Verbe,gather
Diku,famille,familie,2.0,Positif,Mot,family
Tshisumbu,groupe,groep,2.0,Positif,Mot,band
Mikenji,lois,wette,2.0,Positif,Mot,laws
Ntemu,temoin,getuie,2.0,Positif,Mot,witness
Kushima,mentir,lieg,-3.0,Negatif,Verbe,lie
Tshisangilu,reunion,vergadering,4.0,Positif,Mot,meeting
Pamuapa,defois,soms,4.0,Positif,Mot,sometimes
Kuseka,Rigoler,Lag,4.0,Positif,Verbe,To laugh
Kuibidila,habitude,gewoonte,4.0,Positif,Mot,habit
Madilu,deuil,hartseer,-6.0,Negatif,Mot,grief
Kuibaka,construire,bou,3.0,Positif,Verbe,build
Bipepela,facile,maklik,3.0,Positif,Mot,easy
Kusungula,choisire,kies,3.0,Positif,Verbe,choose
kulomba,Demander,Vra,3.0,Positif,Verbe,Ask
Bulongolodi,organisation,organisasie,3.0,Positif,Mot,organization
Kucimuna,vincrait,sou wen,3.0,Positif,Mot,vincrait
Kusuminyina,ainsister,dring aan,3.0,Positif,Verbe,thus
Kutunguluka,continuer,voortgaan,3.0,Positif,Verbe,continue
Mufuki,createur,skepper,3.0,Positif,Mot,Creator
Kukokela,soumission,onderdanigheid,3.0,Positif,Mot,submission
Disanka,joie,vreugde,3.0,Positif,Mot,joy
Kukumbajia,ajouter,voeg by,3.0,Positif,Verbe,add
Mukaji,femme,vrou,3.0,Positif,Mot,women
mudimu,travail,werk,3.0,Positif,Verbe,work
Kabutu,destruiction,vernietiging,3.0,Positif,Mot,destruction
Lukuka,aviditer,gierigheid,3.0,Positif,Mot,avidity
Muana,descendance,afstammelinge,3.0,Positif,Mot,descendants
Biabunyi,immence,onmate,3.0,Positif,Mot,immensity
Lulamatu,fideliter,lojaliteit,3.0,Positif,Mot,fidelity
Kudipuekesha,humilter,nederig,3.0,Positif,Mot,humiliate
Kukuba,proteger,beskerm,3.0,Positif,Verbe,protect
Ciendelela,eterniter,ewigheid,3.0,Positif,Mot,to eternity
Dishintuluka,changement,verandering,3.0,Positif,Mot,change
Ditumikila,obeisance,gehoorsaamheid,3.0,Positif,Mot,obedience
disanka,bonheur,geluk,3.0,Positif,Mot,happiness
dibungama,tristesse,hartseer,-1.0,Negatif,Mot,sadness
tshinji,colere,woede,-4.0,Negatif,Mot,anger
bowa,peur,vrees,-6.0,Negatif,Mot,fear
ditalala,paix,vrede,5.0,Positif,Mot,peace
kukuata,reusir,slaag,5.0,Positif,Verbe,succeed
kubula,echec,mislukking,-5.0,Negatif,Mot,failure
ditekemena,confiance,vertroue,4.0,Positif,Mot,trust
kuseka,sourire,glimlag,6.0,Positif,Verbe,smile
bisonji,Larmes,Trane,-3.0,Negatif,Mot,Tears
ditekemena,espoir,hoop,2.0,Positif,Mot,hope
kuvuluka,souvenir,geheue,3.0,Positif,Mot,memory
kubengakutekemena,desespoir,wanhoop,-7.0,Negatif,Mot,despair
moyimukola,courage,moed,1.0,Positif,Mot,courage
tungunuka,continuer,gaan voort,1.0,Positif,Verbe,continue
mudikadila,liberter,vryheid,1.0,Positif,Mot,freedom
kukudimuna,trasformer,transformeer,1.0,Positif,Verbe,transform
kukola,grandir,groei,1.0,Positif,Verbe,to grow
kulongesha,enseigne,leer,1.0,Positif,Mot,taught
tshisumi,perceverance,waarnemer,1.0,Positif,Mot,perseverance
kubenga,refuser,weier,-2.0,Negatif,Verbe,refuse
kubela,reprimande,berispelik,-4.0,Negatif,Mot,reprimand
kulomba,demander,vra,4.0,Positif,Verbe,ask
bundu,honte,skaamte,-3.0,Negatif,Mot,shame
lupepela,air,lug,2.0,Positif,Mot,air
buloba,monde,wêreld,2.0,Positif,Mot,world
anumpidieu,immediatement,onmiddellik,2.0,Positif,Mot,immediately
bualubudimuakuezeka,possible,moontlik,2.0,Positif,Mot,possible
bualubudikabuyimuakuezeka,impossible,onmoontlik,-2.0,Negatif,Mot,impossible
buabualukayi,pourquoi,hoekom,0.0,Negatif,Mot,Why
biakana,parfaite,perfek,4.0,Positif,Mot,perfect
muenacilema,egoiste,selfsugtig,-5.0,Negatif,Mot,self-centered
umueka,visible,sigbaar,6.0,Positif,Mot,visible
kayilulamatu,infidele,ontrou,-3.0,Negatif,Mot,unfaithful
lulamatu,fidele,getrou,3.0,Positif,Mot,faithful
disengelela,supplication,smeking,3.0,Positif,Mot,supplication
dipingana,retour,terugkeer,3.0,Positif,Mot,back
dikudimuna,variation,variasie,3.0,Positif,Mot,variation
dikuatshisha,contribuer,bydra,3.0,Positif,Verbe,contribute
dikanyina,menace,t bedreiging,-5.0,Negatif,Mot,threat
dijimina,disparaitre,verdwyn,-6.0,Negatif,Mot,disappear
difuilalusa,pardon,vergifnis,1.0,Positif,Mot,pardon
dibela,discipline,dissipline,1.0,Positif,Mot,discipline
dibingishibua,justification,regverdiging,1.0,Positif,Mot,justification
kutangila,surveillance,toesig,1.0,Positif,Mot,monitoring
mukawu,jalousie,jaloesie,-8.0,Negatif,Mot,jealousy
kuanyishibua,satisfaction,tevredenheid,4.0,Positif,Mot,satisfaction
dinyingalala,regret,spyt,-8.0,Negatif,Mot,regret
disanka,enthousiasme,entoesiasme,4.0,Positif,Mot,enthusiasm
kushikija,determination,vasberadenheid,4.0,Positif,Mot,determination
kukina,hair,hare,-5.0,Negatif,Mot,hate
dielekana,inquietude,bekommernis,-4.0,Negatif,Mot,worry
dilenga,bonne,goeie,3.0,Positif,Mot,Good
dituku,journée,dag,3.0,Positif,Mot,daytime
muedi,barbe,baard,3.0,Positif,Mot,beard
mukana,bouche,mond,3.0,Positif,Mot,mouth
diboko,bras,arm,3.0,Positif,Mot,arm
bongo,cerveau,brein,3.0,Positif,Mot,brain
kasuki,cheveu,hare,3.0,Positif,Mot,hair
kampombe,cheville,enkel,3.0,Positif,Mot,ankle
lukofi,cil,wimper,3.0,Positif,Mot,eyelash
muoyo,cœur,hart,3.0,Positif,Mot,heart
nuongo,colonnevertébrale,ruggraat,3.0,Positif,Mot,spine
mubidi,corps,liggaam,3.0,Positif,Mot,body
libadi,cote,rib,3.0,Positif,Mot,side
nshingu,cou,nek,3.0,Positif,Mot,neck
lukenyibu,coude,elmboog,3.0,Positif,Mot,elbow
tshibalubalu,crane,skedel,3.0,Positif,Mot,skull
tshibelo,cuisse,dy,3.0,Positif,Mot,thigh
dinu,dent,tand,3.0,Positif,Mot,tooth
munu,doigt,vinger,3.0,Positif,Mot,finger
nyima,dos,rug,3.0,Positif,Mot,back
dikaya,épaule,skouer,3.0,Positif,Mot,shoulder
tshifu,estomac,maag,3.0,Positif,Mot,stomach
ditaku,fesse,boud,3.0,Positif,Mot,buttock
mutshima,foie,lewer,3.0,Positif,Mot,liver
mpala,front,voorkop,3.0,Positif,Mot,forehead
tsinu,genou,knie,3.0,Positif,Mot,knee
diminu,gorge,keel,3.0,Positif,Mot,throat
kunyema,courrir,hardloop,3.0,Positif,Verbe,run
kudila,pleurer,huil,-7.0,Negatif,Verbe,cry
kusambila,prier,bid,5.0,Positif,Verbe,pray
kudima,cultiver,kweek,5.0,Positif,Verbe,cultivate
kusalula,labourer,ploeg,5.0,Positif,Verbe,plow
luteta,graine,saad,5.0,Positif,Mot,seed
munya,soleil,son,5.0,Positif,Mot,sun
budimi,champ,veld,5.0,Positif,Mot,field
bowa,champignon,sampioen,5.0,Positif,Mot,mushroom
buanga,fêtiche,fetish,-1.0,Negatif,Mot,fetish
manga,medicaments,medisyne,2.0,Positif,Mot,drugs
kudia,manger,eet,2.0,Positif,Verbe,eat
tshisanji,radio,radio,2.0,Positif,Mot,radio
tshisangilu,ristourne,afslag,2.0,Positif,Mot,rebate
kasengulu,tamis,sif,2.0,Positif,Mot,sieve
njiwu,danger,gevaar,-6.0,Negatif,Verbe,hazard
kulongolola,arranger,rangskik,3.0,Positif,Verbe,arrange
bunyi,Motbre,Woord,3.0,Positif,Mot,Word
kukezula,purifier,suiwer,3.0,Positif,Verbe,purify
kubikakulufu,ressuciter,opwek,1.0,Positif,Verbe,resurrect
bangilu,debut,begin,1.0,Positif,Mot,beginning
kubika,sereveiller,wakker word op,1.0,Positif,Verbe,wake up
kulala,dormir,slaap,1.0,Positif,Verbe,sleep
nshinga,fil,draad,1.0,Positif,Mot,thread
bubi,mal,bose,-1.0,Negatif,Mot,wrong
disanka,joie,vreugde,4.0,Positif,Mot,joy
buta,sandre,snoekbaars,3.0,Positif,Mot,pike-perch
tshingoma,arme,wapen,-4.0,Negatif,Mot,armed
nkuasa,chaise,stoel,2.0,Positif,Mot,chair
diba,montre,kyk,2.0,Positif,Mot,watch
ngondo,lune,maan,2.0,Positif,Mot,moon
ditu,journer,dag,2.0,Positif,Mot,day
nyama,animal,dier,2.0,Positif,Mot,animal
lumingu,semaine,week,2.0,Positif,Mot,week
nsangilu,assemblée,byeenkoms,2.0,Positif,Mot,assembly
biheta,résulat,resultaat,2.0,Positif,Mot,result
mateta,examen,eksamen,2.0,Positif,Mot,exam
kunyema,fuir,vlug,2.0,Positif,Verbe,flee
kusama,maladie,siekte,-2.0,Negatif,Mot,disease
ludimi,langue,tong,4.0,Positif,Mot,language
matshi,oreille,oor,4.0,Positif,Mot,ear
nshingu,cou,nek,4.0,Positif,Mot,neck
muaku,Mot,Woord,4.0,Positif,Mot,Word
lupepela,air,lug,4.0,Positif,Mot,air
kusomba,s'asseoire,sit,4.0,Positif,Verbe,to sit down
ngondo,mois,maand,4.0,Positif,Mot,month
kulua,venir,kom,4.0,Positif,Verbe,come
kuya,partir,verlaat,4.0,Positif,Verbe,leave
tshibasa,banc,bank,4.0,Positif,Mot,bench
dibeji,papier,papier,4.0,Positif,Mot,paper
kabudimbua,sachet,sak,4.0,Positif,Mot,bag
kabudimbua,macadame,teerpad,4.0,Positif,Mot,macadam
njila,route,Roete,4.0,Positif,Mot,road
benketshi,sceau,seël,4.0,Positif,Mot,seal
kusamuna,louer,prys,4.0,Positif,Verbe,to rent out
kukukuila,adorer,aanbid,4.0,Positif,Verbe,worship
kosha,brûler,brand,4.0,Positif,Verbe,burn
