CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation
Kuanyisha,Admirer,Bewonder,Yazisa,9.0,Positif,Verbe,Admire
Kupiana,Adopter,Neem,Yamukela,1.0,Positif,Verbe,Adopt
Kuvundula,Agiter,Roer,Shake,-8.0,Negatif,Verbe,Shake
Kuambila,Annoncer,Kondig aan,Memezela,4.0,Positif,Verbe,Announce
Kubabidila,Anticiper,Verwag,Lindela,5.0,Positif,Verbe,Anticipate
Kusanga,Assembler,Samesteller,Hlanganani,9.0,Positif,Verbe,Assemble
Mushipu,Automne,Samesteller,Ukwindla,-5.0,Negatif,Mot,Autumn
Lukinu,Haine,Haat,Inzondo,-8.0,Negatif,Mot,Hate
Kukoma,Repasser,Yster,I-ayini,3.0,Positif,Verbe,Ironing
Lusa,Pitié,Jammerte,Isihe,4.0,Positif,Mot,Pity
Kutela,Enumerer,Lys,Bala,6.0,Positif,Verbe,List
Kututa,Frapper,Slaan,Shaya,-5.0,Negatif,Verbe,Hit
Kuenda,Marcher,Loop,Ukuhamba ngezinyawo,7.0,Positif,Verbe,To walk
Kuseka,Rigoler,Lag,Hleka,3.0,Positif,Verbe,To laugh
Kupeta,Trouver,Vind,Thola,7.0,Positif,Verbe,Find
Kukumbaja,Accomplir,Bereik,Feza,9.0,Positif,Verbe,Accomplish
Kuhuja,Remplir,Vul,Gcwalisa,1.0,Positif,Verbe,Fill
Mulayi,Promesse,Belofte,Thembisa,6.0,Positif,Mot,Promise
Kupesha,Donner,Gee,Nikeza,1.0,Positif,Verbe,Give
Kuja,Danser,Dans,Ukudansa,1.0,Positif,Verbe,To dance
Kuimba,Chanter,Sing,Cula,5.0,Positif,Verbe,Sing
Kupangila,Rater,Mej.,Miss,-9.0,Negatif,Verbe,Miss
Kupangila,Manquer,Gebrek,Miss,-9.0,Negatif,Verbe,Miss
Tshikosu,Raccourcis,Kortpaaie,Izinqamuleli,4.0,Positif,Mot,Shortcuts
Kututa,Fouetter,Sweep,I-Whip,-8.0,Negatif,Verbe,Whisk
Dimanya,Savoir,Weet,Ulwazi,6.0,Positif,Verbe,Know
Kulala,Dormir,Slaap,Ukulala,2.0,Positif,Verbe,Sleep
Kubika,Reveiller,Word wakker,Vuka,1.0,Positif,Verbe,Wake
Kukanga,Fermer,Sluit,Vala,4.0,Positif,Verbe,Close
Kulomba,Demander,Vra,Buza,5.0,Positif,Verbe,Ask
Kualuja,Remettre,Hanteer,Thumela,2.0,Positif,Verbe,To put back
Kuteka,Deposer,Afsit,Idiphozithi,1.0,Positif,Verbe,Deposit
Kulamba,Preparer,Voorberei,Lungiselela,3.0,Positif,Verbe,Prepare
Kutua,Manupuler,Hanteer,Ukusebenzisa kabi,3.0,Positif,Verbe,Handle
Luntandala,Internet,Internet,I-inthanethi,2.0,Positif,Mot,Internet
Kutshiangunya,Mancher,Bestuur,Umkhono,3.0,Positif,Verbe,Mancher
Kuduilulula,Ruminer,Herkouer,I-Ruminate,4.0,Positif,Verbe,Ruminate
Kunyema,Courir,Hardloop,Ukugijima,1.0,Positif,Verbe,Run
kuipata,Chasser,Jag,Ukuzingela,-7.0,Negatif,Verbe,Hunt
Kunvua,Comprendre,Verstaan,Qonda,2.0,Positif,Verbe,To understand
Kukupula,Essuyer,Vee,Sula,1.0,Positif,Verbe,To wipe
Mundindimbi,Ombre,Skaduwee,Isithunzi,1.0,Positif,Mot,Shadow
Muedi,Barbe,Baard,Intshebe,1.0,Positif,Mot,Beard
Nsuki,Cheveux,Hare,Izinwele,2.0,Positif,Mot,Hair
Kudiabakena,Lamanter,Manate,I-Lamanter,-5.0,Negatif,Verbe,Manter
Kuzakala,Trambler,Trap,I-Trambler,-9.0,Negatif,Verbe,Trambler
kulaba,frotter,vryf,gcoba,4.0,Positif,Verbe,rub
kutukakaja,separer,skei,hlukanisa,4.0,Positif,Verbe,separate
kuakadila,embrasser,Omhels,kiss,4.0,Positif,Mot,to kiss
kutentakaja,entasser,Stapel,i-cram,4.0,Positif,Verbe,pile up
kubuidikija,couvrir,bedek,ikhava,4.0,Positif,Verbe,cover
kuibaka,construire,bou,yakha,4.0,Positif,Verbe,build
kuitaba,accepter,aanvaar,Yamukela,4.0,Positif,Verbe,accept
kubenga,refuser,weier,Enqaba,-2.0,Negatif,Verbe,refuse
kudifuanyikijila,imaginer,verbeel jou,cabanga,2.0,Positif,Verbe,imagine
tshisokomenu,refuge,skuiling,indawo yokukhosela,2.0,Positif,Verbe,refuge
kunzulula,ouvrir,oop,Vula,2.0,Positif,Verbe,open
kujandula,decouvrir,ontdek,thola,2.0,Positif,Verbe,discover
kuvuluka,rappeler,herinner,Phinda udayele,2.0,Positif,Verbe,remind
kupuamoyo,oublier,vergeet,khohlwa,2.0,Positif,Verbe,forget
kufunda,ecrire,skryf,bhala,2.0,Positif,Verbe,to write
kusumba,acheter,koop,thenga,2.0,Positif,Verbe,buy
nvunda,tourbillon,warrelwind,i-tourbillon,-4.0,Negatif,Mot,whirlpool
nkuba,foudre,weerlig,umbani,-4.0,Negatif,Mot,lightning
dikubakuba,tonnere,donderweer,i-tonnere,-4.0,Negatif,Mot,thunder
tshiululu,nuage,wolk,ifu,1.0,Positif,Mot,cloud
malemba,orage,storm,ukuduma kwezulu,4.0,Positif,Mot,thunderstorm
kufunda,accuser,beskuldig,ukumangalela,-2.0,Negatif,Verbe,accuse
kusungulula,discrimination,diskriminasie,ukubandlulula,-3.0,Negatif,Mot,discrimination
kuikisha,reposer,rus,ukuphumula,1.0,Positif,Verbe,to rest
kulomba,mendier,bedel,ukunxusa,-5.0,Negatif,Verbe,beg
mudiavi,gourmant,gulsig,abahahayo,2.0,Positif,Mot,gourmet
kuadija,etaler,versprei,i-spreader,2.0,Positif,Verbe,spread
kututula,epoussetter,stof,uthuli,2.0,Positif,Verbe,dust off
kulumbuluisha,juger,regter,ijaji,2.0,Positif,Verbe,judge
ndumbulula,juge,oordeel,ijaji,2.0,Positif,Mot,judge
tshimpumpu,grippe,griep,umkhuhlane,-3.0,Negatif,Mot,flu
mbangidi,commencement,begin,qala,6.0,Positif,Mot,beginning
kuambula,reprendre,hervat,qhubeka futhi,3.0,Positif,Verbe,to resume
ngena,enfer,hel,isihogo,-9.0,Negatif,Mot,hell
kubuela,entrer,gaan binne,faka,1.0,Positif,Verbe,enter
muntu,personne,persone,umuntu,1.0,Positif,Mot,person
kupatuka,sortir,uitgang,phuma,1.0,Positif,Verbe,to go out
dididishi,fenetre,venster,iwindi,1.0,Positif,Mot,window
muishi,fumée,rook,intuthu,-1.0,Negatif,Mot,smoke
muiishi,pilon,stamper,isitikha sesigubhu,2.0,Positif,Mot,pestle
lupepela,air,lug,umoya,4.0,Positif,Mot,air
mukuna,montagne,berg,intaba,4.0,Positif,Mot,mountain
kulaamba,ramper,kruip,khasa,4.0,Positif,Verbe,crawl
Kulamba,preparer,voorberei,lungiselela,4.0,Positif,Verbe,prepare
kubombeka,tramper,boemelaar,umshini wokunyathela,4.0,Positif,Verbe,soak
kukosa,trancher,sny,isiqeshana,4.0,Positif,Verbe,slice
kupanda,dechirer,skeur,i-dechirer,-3.0,Negatif,Verbe,rip
kupemba,moucher,blaas,futha ikhala lakho,4.0,Positif,Verbe,blow
kusaminamoyi,manquer,mis,miss,-2.0,Negatif,Verbe,miss
kujila,chamailler,rusie,ukuphikisana,-1.0,Negatif,Verbe,squabble
kukokangana,tirailler,sleep,i-tug,-6.0,Negatif,Verbe,skirmish
kukoka,tirer,trek,donsa,2.0,Positif,Verbe,to pull
kuinama,incliner,kantel,tilt,2.0,Positif,Verbe,tilt
kumbula,creuser,grawe,gubha,2.0,Positif,Verbe,dig
kutubula,trouer,gat,imbobo,2.0,Positif,Verbe,hole
kukonya,gratter,skraap,ukuklwebheka,-1.0,Negatif,Verbe,scratch
tshivulukilu,souvenir,onthou,isikhumbuzo,5.0,Positif,Verbe,memory
kutonda,repentir,bekeer,ukuphenduka,6.0,Positif,Verbe,repentance
kutela,coudre,naai,thunga,2.0,Positif,Verbe,sew
kupela,moudre,maal,ukugaya,1.0,Positif,Verbe,grind
kusuma,mordre,byt,ukuluma,-2.0,Negatif,Verbe,to bite
kudima,cultivre,kweek,hlakulela,3.0,Positif,Verbe,cultivate
kukuna,semer,saai,hlwanyela,2.0,Positif,Verbe,sowing
kuhola,recolter,oes,isivuno,4.0,Positif,Verbe,harvest
mulami,gardien,wag,umnakekeli,4.0,Positif,Mot,guardian
kuihila,sarcle,skoffel,i-sarcle,4.0,Positif,Mot,weed
kuhakula,castrer,kastreer,i-castrate,4.0,Positif,Verbe,castrate
kutengula,circonsir,omskryf,bhalisela ukujikeleza,4.0,Positif,Verbe,circumscribe
kunungana,murmurer,murmureer,ukuhlebeza,4.0,Positif,Verbe,whisper
kubobesha,murmur,murmureer,ukuhlebeza,4.0,Positif,Verbe,whisper
kuluatshisha, faire habiller,doen aantrek,gqoka,4.0,Positif,Verbe, dress
kuvuadika,habiller,aantrek,gqoka,4.0,Positif,Verbe,dress
munganga,infirmier,verpleegster,umhlengikazi,4.0,Positif,Mot,nurse
kumanyisha,informer,inlig,yazisa,4.0,Positif,Verbe,inform
kunvuija,expliquer,verduidelik,chaza,4.0,Positif,Verbe,explain
kunua,boire,drink,isiphuzo,4.0,Positif,Verbe,drink
kusangisha,additionner,byvoeg,faka,4.0,Positif,Verbe,add
nvita,guerre,oorlog,impi,-7.0,Negatif,Mot,war
kujika,enterrer,begrawe,ukungcwaba,-5.0,Negatif,Verbe,bury
kuakaja,arranger,reël,hlela,4.0,Positif,Verbe,arrange
kulela,accoucher,gee geboorte,ukuzala,4.0,Positif,Verbe,giving birth
kulengeja,embelir,versier,buhle,4.0,Positif,Verbe,beautify
kukezula,purifier,suiwer,hlanza,4.0,Positif,Verbe,purify
kusukula,netoyer,skoonmaak,i-netoyer,4.0,Positif,Verbe,clean
kabalamatuku,calendrier,kalender,ikhalenda,4.0,Positif,Mot,calendar
kubueja,inserer,voeg in,faka,4.0,Positif,Verbe,insert
Kuludika,adresser,aanspreek,ikheli,4.0,Positif,Verbe,address
Kubela,eduquer,opvoed,fundisa,4.0,Positif,Verbe,educate
Tshienzedi,acte,optree,isenzo,4.0,Positif,Mot,act
Kushimuna,vaincre,oorwin,nqoba,4.0,Positif,Verbe,defeat
Kutumbisha,louer,prys,ukuqasha,4.0,Positif,Verbe,to rent out
kukukuila,adorer,aanbid,uthando,4.0,Positif,Verbe,worship
Kutangalaja,propager,propageer,ukusabalalisa,4.0,Positif,Verbe,propagate
Dizakala,tremblement,bewing,ukuqhaqhazela,4.0,Positif,Verbe,trembling
Kuzakala,trembler,bewe,zanyazanyiswa,4.0,Positif,Verbe,tremble
Kutshibuka,fracturer,fraktuur,ukuphuka,-5.0,Negatif,Verbe,fracture
Kukuta,rassasier,versadig,nganelisekile,3.0,Positif,Verbe,satiate
Kujima,eteindre,blus,khipha i-plug,3.0,Positif,Verbe,turn off
Kutemesha,allumer,lig,vula,3.0,Positif,Verbe,to light up
kusemena,approcher,benadering,indlela,3.0,Positif,Verbe,approach
Kuntekela,observer,waarneem,qaphela,3.0,Positif,Verbe,observe
Kufangikisha,ressembler,lyk soos,ibukeka,3.0,Positif,Verbe,look like
Kumonununa,revoir,sien weer,ukuphawula,3.0,Positif,Verbe,goodbye
Kutshina,craindre,vrees,ukwesaba,3.0,Positif,Verbe,to fear
Kuluka,vomir,braak,ukuhlanza,-3.0,Negatif,Verbe,to vomit
Miengu,nauser,naar maak,umsebenzisi we-nauser,-4.0,Negatif,Verbe,nausea
tshieleka,serment,eed,isifungo,4.0,Positif,Verbe,oath
Kowela,nager,swem,geza,4.0,Positif,Verbe,swim
Kudina,noyer,slaap,lala,-2.0,Negatif,Verbe,walnut
Kuhuyakana,respirer,asemhaal,manje,5.0,Positif,Verbe,breathe
Kuinyija,plonger,duik,gqoloza,5.0,Positif,Verbe,dive
Kubola,mouiller,nat,nakuba,-6.0,Negatif,Verbe,wet
Kubungila,somnoler,doseer,umthamo,3.0,Positif,Verbe,to doze
Kulota,rever,droom,iphupho,3.0,Positif,Verbe,dream
Butuku,nuit,nag,ebsuku,-5.0,Negatif,Mot,night
Dituku,jour,dag,kusihlwa,7.0,Positif,Mot,day
Ditunga,pays,land,izwe,7.0,Positif,Mot,country
Kumuenena,dominer,domineer,bulala,7.0,Positif,Verbe,dominate
Tshimenga,ville,stad,idolobha,7.0,Positif,Mot,city
Mulondi,village,dorp,idolobha,7.0,Positif,Mot,village
Kuvuma,vibrer,vibreer,thinta,7.0,Positif,Verbe,vibrate
Mulondi,coureur,hardloper,umgijimi,7.0,Positif,Verbe,runner
Momunyi,voyant,siener,umubikezi,7.0,Positif,Verbe,seeing
Nsanyanga,sentiment,gevoel,umuzwa,7.0,Positif,Mot,feeling
Kujingila,souhaiter,wens,isifiso,7.0,Positif,Verbe,to wish
Kukehesha,reduire,verminder,yehlisa,7.0,Positif,Verbe,reduce
Mavuala,vague,golf,igoli,-4.0,Negatif,Mot,wave
tshipepela,tempete,storm,isivunguvungu,-4.0,Negatif,Mot,storm
Kudiombola,decevoir,teleurstel,ukuzola,-4.0,Negatif,Verbe,disappoint
Munyengi,cambrioleur,inbreker,umkhweli,-4.0,Negatif,Verbe,burglar
Kukankamija,encourager,moedig aan,kuthaza,6.0,Positif,Mot,encourage
Disankisha,rendreheureux,maak gelukkig,ukujabulisa,6.0,Positif,Verbe,make happy
Diambuluisha,aider,help,usizo,6.0,Positif,Verbe,help
Kumupetesha,apporter,bring,letha,6.0,Positif,Verbe,bring
Ditekemena,esperance,hoop,i-esperance,6.0,Positif,Mot,hope
Kulongesha,enseigner,leer,fundisa,6.0,Positif,Verbe,teach
Kukonkolola,examiner,ondersoek,ukuphawula,6.0,Positif,Verbe,examine
Kanyinganinga,stress,stres,ukucindezeleka,-7.0,Negatif,Mot,stress
Kutantamena,supporter,verduur,usizo,5.0,Positif,Verbe,support
Kansungansunga,injustice,onreg,ukungabi nabulungisa,-3.0,Negatif,Mot,injustice
Kukumbaja,realiser,besef,qaphela,4.0,Positif,Verbe,realize
Bibunyi,abondance,oorvloed,inala,4.0,Positif,Mot,abundance
Kumbusha,enlever,verwyder,susa,4.0,Positif,Verbe,to remove
Tshijiengu,cercle,sirkel,Indingiliza,4.0,Positif,Mot,circle
Buloba,Terre,Aarde,Umhlaba,4.0,Positif,Mot,Earth
Bionsu,tout,alles,konke,0.0,Neutre,Mot,All
Kuikala,etre,wese,bE,0.0,Neutre,Verbe,be
Bikukibua,Creature,Skepsel,Isidalwa,5.0,Positif,Mot,Creature
Moyi,vie,lewe,impilo,5.0,Positif,Mot,life
Bulelela,Verité,Waarheid,Iqiniso,5.0,Positif,Mot,Truth
Kufunda,ecrire,skryf,bhala,5.0,Positif,Verbe,to write
Kunianga,abimer,skade,umonakalo,-4.0,Negatif,Verbe,damage
Kumanyisha,informer,inlig,yazisa,3.0,Positif,Verbe,inform
Biabunyi,beaucoup,baie,okuningi,3.0,Positif,Mot,a lot
Tshikondo,periode,periode,inkathi,3.0,Positif,Mot,period
Tshilejelu,exemple,voorbeeld,isibonelo,3.0,Positif,Mot,example
Dimanyia,connaissance,kennis,ulwazi,3.0,Positif,Mot,awareness
Mpokolo,source,bron,Umthombo,3.0,Positif,Mot,source
Wa,de,van,ka,0.0,Neutre,Article,of
Bakuabu,d'autre,ander,okunye,0.0,Neutre,Mot,else
Kuangata,prendre,neem e,thatha,2.0,Positif,Verbe,take
Tshibuashabuasha,univers,heelal,indawo yonke,2.0,Positif,Mot,universe
Mitoto,etiole,etiole,i-etiole,2.0,Positif,Mot,etiole
Butoke,eclairer,verlig,khanyisa,2.0,Positif,Verbe,illuminate
Mushindu,façon,manier,indlela,2.0,Positif,Mot,way
Kuteleja,ecouter,luister,lalela,2.0,Positif,Verbe,listen
Diyi,voix,stem,izwi,2.0,Positif,Mot,voice
Mubidi,corps,liggaam,umzimba,2.0,Positif,Mot,body
Mashi,sang,bloed,igazi,2.0,Positif,Mot,blood
Kumona,voir,sien,buka,2.0,Positif,Verbe,see
Kuitaba,accepter,aanvaar,Yamukela,2.0,Positif,Verbe,accept
Mpukampuka,hasard,kans,ithuba,2.0,Positif,Mot,chance
tshibingishilu,commencement,begin,qala,2.0,Positif,Mot,beginning
Tshinfuanyi,image,beeld,isithombe,2.0,Positif,Mot,picture
Ngikadilu,qualiter,kwaliteit,ikhwalithi,2.0,Positif,Mot,quality
Bukokeshi,autoriter,gesag,gunyaza,2.0,Positif,Mot,authority
Dishilangana,different,verskillend,okuhlukile,2.0,Positif,Mot,different
Kusambila,prier,bid,thandaza,2.0,Positif,Verbe,pray
Kukumbana,convenir,stem saam,vuma,2.0,Positif,Verbe,agree
Bulunda,amitier,vriendskap,inobungane,2.0,Positif,Mot,friendship
Kulua,venir,kom,woza,2.0,Positif,Verbe,come
Mushinga,prix,prys,inani,2.0,Positif,Mot,price
kusemena,approcher,benadering,indlela,2.0,Positif,Verbe,approach
Kuambuluisha,aider,help,usizo,2.0,Positif,Verbe,help
Kusamba,consoller,troos,i-conoller,2.0,Positif,Verbe,consoler
Kusankisha,rejouire,verbly,phinda udlale,2.0,Positif,Verbe,rejoice
kushintuluka,changer,verander,shintsha,2.0,Positif,Verbe,to change
Makenga,souffrance,lyding,ukuhlupheka,2.0,Positif,Mot,suffering
Kuludika,redresser,reguitmaak,qondisa,2.0,Positif,Verbe,to sort out
Kuenza,faire,doen,yenza,2.0,Positif,Verbe,TO DO
kulomba,Demander,Vra,Buza,2.0,Positif,Verbe,Ask
Kupumuna,epancher,gooi uit,i-epancher,2.0,Positif,Verbe,pour out
Ditalala,paix,vrede,ukuthula,2.0,Positif,Mot,peace
Kudisangisha,reunir,verenig,hlanganisani,2.0,Positif,Verbe,gather
Diku,famille,familie,umndeni,2.0,Positif,Mot,family
Tshisumbu,groupe,groep,Iqembu,2.0,Positif,Mot,band
Mikenji,lois,wette,imithetho,2.0,Positif,Mot,laws
Ntemu,temoin,getuie,ufakazi,2.0,Positif,Mot,witness
Kushima,mentir,lieg,amanga,-3.0,Negatif,Verbe,lie
Tshisangilu,reunion,vergadering,umhlangano,4.0,Positif,Mot,meeting
Pamuapa,defois,soms,i-defois,4.0,Positif,Mot,sometimes
Kuseka,Rigoler,Lag,Hleka,4.0,Positif,Verbe,To laugh
Kuibidila,habitude,gewoonte,umkhuba,4.0,Positif,Mot,habit
Madilu,deuil,hartseer,ukushonelwa,-6.0,Negatif,Mot,grief
Kuibaka,construire,bou,yakha,3.0,Positif,Verbe,build
Bipepela,facile,maklik,kulula,3.0,Positif,Mot,easy
Kusungula,choisire,kies,khetha,3.0,Positif,Verbe,choose
kulomba,Demander,Vra,Buza,3.0,Positif,Verbe,Ask
Bulongolodi,organisation,organisasie,inhlangano,3.0,Positif,Mot,organization
Kucimuna,vincrait,sou wen,i-vincrait,3.0,Positif,Mot,vincrait
Kusuminyina,ainsister,dring aan,udadewethu,3.0,Positif,Verbe,thus
Kutunguluka,continuer,voortgaan,Qhubeka,3.0,Positif,Verbe,continue
Mufuki,createur,skepper,umsunguli,3.0,Positif,Mot,Creator
Kukokela,soumission,onderdanigheid,ukuthumela,3.0,Positif,Mot,submission
Disanka,joie,vreugde,injabulo,3.0,Positif,Mot,joy
Kukumbajia,ajouter,voeg by,Engeza,3.0,Positif,Verbe,add
Mukaji,femme,vrou,owesifazane,3.0,Positif,Mot,women
mudimu,travail,werk,Inethiwekhi,3.0,Positif,Verbe,work
Kabutu,destruiction,vernietiging,ukubhujiswa,3.0,Positif,Mot,destruction
Lukuka,aviditer,gierigheid,umshisekeli,3.0,Positif,Mot,avidity
Muana,descendance,afstammelinge,inzalo,3.0,Positif,Mot,descendants
Biabunyi,immence,onmate,ukuvikeleka,3.0,Positif,Mot,immensity
Lulamatu,fideliter,lojaliteit,ukwethembeka,3.0,Positif,Mot,fidelity
Kudipuekesha,humilter,nederig,thobisa,3.0,Positif,Mot,humiliate
Kukuba,proteger,beskerm,vikela,3.0,Positif,Verbe,protect
Ciendelela,eterniter,ewigheid,ingunaphakade,3.0,Positif,Mot,to eternity
Dishintuluka,changement,verandering,shintsha,3.0,Positif,Mot,change
Ditumikila,obeisance,gehoorsaamheid,ukukhothamela,3.0,Positif,Mot,obedience
disanka,bonheur,geluk,injabulo,3.0,Positif,Mot,happiness
dibungama,tristesse,hartseer,ukudabuka,-1.0,Negatif,Mot,sadness
tshinji,colere,woede,intukuthelo,-4.0,Negatif,Mot,anger
bowa,peur,vrees,ukwesaba,-6.0,Negatif,Mot,fear
ditalala,paix,vrede,ukuthula,5.0,Positif,Mot,peace
kukuata,reusir,slaag,ukuphinda usebenzise,5.0,Positif,Verbe,succeed
kubula,echec,mislukking,kwehlulekile,-5.0,Negatif,Mot,failure
ditekemena,confiance,vertroue,ukwethembana,4.0,Positif,Mot,trust
kuseka,sourire,glimlag,ukumamatheka,6.0,Positif,Verbe,smile
bisonji,Larmes,Trane,Izinyembezi,-3.0,Negatif,Mot,Tears
ditekemena,espoir,hoop,ithemba,2.0,Positif,Mot,hope
kuvuluka,souvenir,geheue,isikhumbuzo,3.0,Positif,Mot,memory
kubengakutekemena,desespoir,wanhoop,ukuphelelwa yithemba,-7.0,Negatif,Mot,despair
moyimukola,courage,moed,isibindi,1.0,Positif,Mot,courage
tungunuka,continuer,gaan voort,Qhubeka,1.0,Positif,Verbe,continue
mudikadila,liberter,vryheid,khulula,1.0,Positif,Mot,freedom
kukudimuna,trasformer,transformeer,i-trasformer,1.0,Positif,Verbe,transform
kukola,grandir,groei,khulisa,1.0,Positif,Verbe,to grow
kulongesha,enseigne,leer,sayina,1.0,Positif,Mot,taught
tshisumi,perceverance,waarnemer,umbono,1.0,Positif,Mot,perseverance
kubenga,refuser,weier,Enqaba,-2.0,Negatif,Verbe,refuse
kubela,reprimande,berispelik,khuza,-4.0,Negatif,Mot,reprimand
kulomba,demander,vra,buza,4.0,Positif,Verbe,ask
bundu,honte,skaamte,amahloni,-3.0,Negatif,Mot,shame
lupepela,air,lug,umoya,2.0,Positif,Mot,air
buloba,monde,wêreld,umhlaba,2.0,Positif,Mot,world
anumpidieu,immediatement,onmiddellik,ngokushesha,2.0,Positif,Mot,immediately
bualubudimuakuezeka,possible,moontlik,kungenzeka,2.0,Positif,Mot,possible
bualubudikabuyimuakuezeka,impossible,onmoontlik,akunakwenzeka,-2.0,Negatif,Mot,impossible
buabualukayi,pourquoi,hoekom,kungani,0.0,Negatif,Mot,Why
biakana,parfaite,perfek,ayinankinga,4.0,Positif,Mot,perfect
muenacilema,egoiste,selfsugtig,ubugovu,-5.0,Negatif,Mot,self-centered
umueka,visible,sigbaar,iyabonakala,6.0,Positif,Mot,visible
kayilulamatu,infidele,ontrou,ukungathembeki,-3.0,Negatif,Mot,unfaithful
lulamatu,fidele,getrou,-thembekile,3.0,Positif,Mot,faithful
disengelela,supplication,smeking,ukunxusa,3.0,Positif,Mot,supplication
dipingana,retour,terugkeer,emuva,3.0,Positif,Mot,back
dikudimuna,variation,variasie,ukuhlukahluka,3.0,Positif,Mot,variation
dikuatshisha,contribuer,bydra,faka isandla,3.0,Positif,Verbe,contribute
dikanyina,menace,t bedreiging,usongo,-5.0,Negatif,Mot,threat
dijimina,disparaitre,verdwyn,shabalala,-6.0,Negatif,Mot,disappear
difuilalusa,pardon,vergifnis,ngiyaxolisa,1.0,Positif,Mot,pardon
dibela,discipline,dissipline,isiyalo,1.0,Positif,Mot,discipline
dibingishibua,justification,regverdiging,ukuthethelela,1.0,Positif,Mot,justification
kutangila,surveillance,toesig,ukuqapha,1.0,Positif,Mot,monitoring
mukawu,jalousie,jaloesie,umona,-8.0,Negatif,Mot,jealousy
kuanyishibua,satisfaction,tevredenheid,ukwaneliseka,4.0,Positif,Mot,satisfaction
dinyingalala,regret,spyt,ukuzisola,-8.0,Negatif,Mot,regret
disanka,enthousiasme,entoesiasme,intshiseko,4.0,Positif,Mot,enthusiasm
kushikija,determination,vasberadenheid,ukuzimisela,4.0,Positif,Mot,determination
kukina,hair,hare,izinwele,-5.0,Negatif,Mot,hate
dielekana,inquietude,bekommernis,ukukhathazeka,-4.0,Negatif,Mot,worry
dilenga,bonne,goeie,kuhle,3.0,Positif,Mot,Good
dituku,journée,dag,usuku,3.0,Positif,Mot,daytime
muedi,barbe,baard,intshebe,3.0,Positif,Mot,beard
