CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Tsonga_Translation
Bunsenji,Imbecilité,Imbecility,Imbecility,-3.0,Negatif,Mot,Imbecility,Vuphukuphuku
Bantu,gens,Mense,abantu,1.0,Positif,Mot,people,vanhu
Bansatu,Saints,Heiliges,Osanta,9.0,Positif,Mot,Saints,Vakwetsimi
Banjelu,Anges,Engele,Izingelosi,1.0,Positif,Mot,Angels,Tintsumi
Buinvi,Vol,Diefstal,Indiza,-9.0,Negatif,Mot,Flight,Xihahampfhula
Buikila,Ferme,Ferm,Ipulazi,-8.0,Negatif,Mot,Farm,Purasi
Butaka,Sexe,Seks,Ubulili,3.0,Positif,Mot,Sex,Rimbewu
Bulalu,Lit,Bed,Umbhede,2.0,Positif,Mot,Bed,Mubedo
Bufuka,Fertile,Vrugbare,Ivundile,6.0,Positif,Mot,Fertile,Ndzhongo
Buatu,Bateau,Boot,Isikebhe,5.0,Positif,Mot,Boat,Xikwekwetsu
Bukula,Farine,Meel,Inhlama,8.0,Positif,Mot,Flour,Fulawuri
Kuanyisha,Admirer,Bewonder,Yazisa,9.0,Positif,Verbe,Admire,Navela
Kupiana,Adopter,Neem,Yamukela,1.0,Positif,Verbe,Adopt,Wundla
Kuvundula,Agiter,Roer,Shake,-8.0,Negatif,Verbe,Shake,Dzinginisa
Kuambila,Annoncer,Kondig aan,Memezela,4.0,Positif,Verbe,Announce,Tivisa
Kubabidila,Anticiper,Verwag,Lindela,5.0,Positif,Verbe,Anticipate,Langutela
Kusanga,Assembler,Samesteller,Hlanganani,9.0,Positif,Verbe,Assemble,Hlengeletani
Mushipu,Automne,Samesteller,Ukwindla,-5.0,Negatif,Mot,Autumn,Xixikana
Lukinu,Haine,Haat,Inzondo,-8.0,Negatif,Mot,Hate,Venga
Kukoma,Repasser,Yster,I-ayini,3.0,Positif,Verbe,Ironing,Ku ayina
Lusa,Pitié,Jammerte,Isihe,4.0,Positif,Mot,Pity,Ntwela vusiwana
Kutela,Enumerer,Lys,Bala,6.0,Positif,Verbe,List,Nxaxamelo
Kututa,Frapper,Slaan,Shaya,-5.0,Negatif,Verbe,Hit,Ku ba
Kuenda,Marcher,Loop,Ukuhamba ngezinyawo,7.0,Positif,Verbe,To walk,Ku famba
Kuseka,Rigoler,Lag,Hleka,3.0,Positif,Verbe,To laugh,Ku hleka
Kupeta,Trouver,Vind,Thola,7.0,Positif,Verbe,Find,Kuma
Kukumbaja,Accomplir,Bereik,Feza,9.0,Positif,Verbe,Accomplish,Fikelela
Kuhuja,Remplir,Vul,Gcwalisa,1.0,Positif,Verbe,Fill,Tata
Mulayi,Promesse,Belofte,Thembisa,6.0,Positif,Mot,Promise,Tshembhisa
Kupesha,Donner,Gee,Nikeza,1.0,Positif,Verbe,Give,Nyika
Kuja,Danser,Dans,Ukudansa,1.0,Positif,Verbe,To dance,Ku cina
Kuimba,Chanter,Sing,Cula,5.0,Positif,Verbe,Sing,Yimbelela
Kupangila,Rater,Mej.,Miss,-9.0,Negatif,Verbe,Miss,Hupa
Kupangila,Manquer,Gebrek,Miss,-9.0,Negatif,Verbe,Miss,Hupa
Tshikosu,Raccourcis,Kortpaaie,Izinqamuleli,4.0,Positif,Mot,Shortcuts,Swiphemu swo koma
Kututa,Fouetter,Sweep,I-Whip,-8.0,Negatif,Verbe,Whisk,Whisk
Dimanya,Savoir,Weet,Ulwazi,6.0,Positif,Verbe,Know,Tiva
Kulala,Dormir,Slaap,Ukulala,2.0,Positif,Verbe,Sleep,Etlela
Kubika,Reveiller,Word wakker,Vuka,1.0,Positif,Verbe,Wake,Pfuka
Kukanga,Fermer,Sluit,Vala,4.0,Positif,Verbe,Close,Pfala
Kulomba,Demander,Vra,Buza,5.0,Positif,Verbe,Ask,Vutisa
Kualuja,Remettre,Hanteer,Thumela,2.0,Positif,Verbe,To put back,Ku tlherisela endzhaku
Kuteka,Deposer,Afsit,Idiphozithi,1.0,Positif,Verbe,Deposit,Dipoziti
Kulamba,Preparer,Voorberei,Lungiselela,3.0,Positif,Verbe,Prepare,Lulamisa
Kutua,Manupuler,Hanteer,Ukusebenzisa kabi,3.0,Positif,Verbe,Handle,Khoma
Luntandala,Internet,Internet,I-inthanethi,2.0,Positif,Mot,Internet,Internet
Kutshiangunya,Mancher,Bestuur,Umkhono,3.0,Positif,Verbe,Mancher,Mancher
Kuduilulula,Ruminer,Herkouer,I-Ruminate,4.0,Positif,Verbe,Ruminate,Ruminate ya xirhendzevutani
Kunyema,Courir,Hardloop,Ukugijima,1.0,Positif,Verbe,Run,Tsutsuma
kuipata,Chasser,Jag,Ukuzingela,-7.0,Negatif,Verbe,Hunt,Hlota
Kunvua,Comprendre,Verstaan,Qonda,2.0,Positif,Verbe,To understand,Ku twisisa
Kukupula,Essuyer,Vee,Sula,1.0,Positif,Verbe,To wipe,Ku sula
Mundindimbi,Ombre,Skaduwee,Isithunzi,1.0,Positif,Mot,Shadow,Ndzhuti
Muedi,Barbe,Baard,Intshebe,1.0,Positif,Mot,Beard,Malevhu
Nsuki,Cheveux,Hare,Izinwele,2.0,Positif,Mot,Hair,Nsisi
Kudiabakena,Lamanter,Manate,I-Lamanter,-5.0,Negatif,Verbe,Manter,Manter
Kuzakala,Trambler,Trap,I-Trambler,-9.0,Negatif,Verbe,Trambler,Muhlaseri
kulaba,frotter,vryf,gcoba,4.0,Positif,Verbe,rub,rhaba
kutukakaja,separer,skei,hlukanisa,4.0,Positif,Verbe,separate,hambanisa
kuakadila,embrasser,Omhels,kiss,4.0,Positif,Mot,to kiss,ku tswontswana
kutentakaja,entasser,Stapel,i-cram,4.0,Positif,Verbe,pile up,ku hlengeletana
kubuidikija,couvrir,bedek,ikhava,4.0,Positif,Verbe,cover,phutsela
kuibaka,construire,bou,yakha,4.0,Positif,Verbe,build,aka
kuitaba,accepter,aanvaar,Yamukela,4.0,Positif,Verbe,accept,amukela
kubenga,refuser,weier,Enqaba,-2.0,Negatif,Verbe,refuse,ala
kudifuanyikijila,imaginer,verbeel jou,cabanga,2.0,Positif,Verbe,imagine,anakanya
tshisokomenu,refuge,skuiling,indawo yokukhosela,2.0,Positif,Verbe,refuge,vutumbelo
kunzulula,ouvrir,oop,Vula,2.0,Positif,Verbe,open,pfuleka
kujandula,decouvrir,ontdek,thola,2.0,Positif,Verbe,discover,ku kuma
kuvuluka,rappeler,herinner,Phinda udayele,2.0,Positif,Verbe,remind,tsundzuxa
kupuamoyo,oublier,vergeet,khohlwa,2.0,Positif,Verbe,forget,rivala
kufunda,ecrire,skryf,bhala,2.0,Positif,Verbe,to write,ku tsala
kusumba,acheter,koop,thenga,2.0,Positif,Verbe,buy,xava
nvunda,tourbillon,warrelwind,i-tourbillon,-4.0,Negatif,Mot,whirlpool,xidzedze xa xirhendzevutani
nkuba,foudre,weerlig,umbani,-4.0,Negatif,Mot,lightning,rihati
dikubakuba,tonnere,donderweer,i-tonnere,-4.0,Negatif,Mot,thunder,dzinda
tshiululu,nuage,wolk,ifu,1.0,Positif,Mot,cloud,papa
malemba,orage,storm,ukuduma kwezulu,4.0,Positif,Mot,thunderstorm,ku dzindza ka tilo
kufunda,accuser,beskuldig,ukumangalela,-2.0,Negatif,Verbe,accuse,ku hehla
kusungulula,discrimination,diskriminasie,ukubandlulula,-3.0,Negatif,Mot,discrimination,xihlawuhlawu
kuikisha,reposer,rus,ukuphumula,1.0,Positif,Verbe,to rest,ku wisa
kulomba,mendier,bedel,ukunxusa,-5.0,Negatif,Verbe,beg,kombela
mudiavi,gourmant,gulsig,abahahayo,2.0,Positif,Mot,gourmet,gourmet
kuadija,etaler,versprei,i-spreader,2.0,Positif,Verbe,spread,hangalaka
kututula,epoussetter,stof,uthuli,2.0,Positif,Verbe,dust off,ntshuri wu huma
kulumbuluisha,juger,regter,ijaji,2.0,Positif,Verbe,judge,ahlula
ndumbulula,juge,oordeel,ijaji,2.0,Positif,Mot,judge,ahlula
tshimpumpu,grippe,griep,umkhuhlane,-3.0,Negatif,Mot,flu,mukhuhlwana
mbangidi,commencement,begin,qala,6.0,Positif,Mot,beginning,masungulo
kuambula,reprendre,hervat,qhubeka futhi,3.0,Positif,Verbe,to resume,ku tlhela u sungula
ngena,enfer,hel,isihogo,-9.0,Negatif,Mot,hell,tihele
kubuela,entrer,gaan binne,faka,1.0,Positif,Verbe,enter,nghena
muntu,personne,persone,umuntu,1.0,Positif,Mot,person,munhu
kupatuka,sortir,uitgang,phuma,1.0,Positif,Verbe,to go out,ku huma
dididishi,fenetre,venster,iwindi,1.0,Positif,Mot,window,fasitere
muishi,fumée,rook,intuthu,-1.0,Negatif,Mot,smoke,dzaha
muiishi,pilon,stamper,isitikha sesigubhu,2.0,Positif,Mot,pestle,pestle
lupepela,air,lug,umoya,4.0,Positif,Mot,air,moya
mukuna,montagne,berg,intaba,4.0,Positif,Mot,mountain,ntshava
kulaamba,ramper,kruip,khasa,4.0,Positif,Verbe,crawl,kasa
Kulamba,preparer,voorberei,lungiselela,4.0,Positif,Verbe,prepare,lulamisa
kubombeka,tramper,boemelaar,umshini wokunyathela,4.0,Positif,Verbe,soak,tsakamisa
kukosa,trancher,sny,isiqeshana,4.0,Positif,Verbe,slice,xilayi
kupanda,dechirer,skeur,i-dechirer,-3.0,Negatif,Verbe,rip,davula
kupemba,moucher,blaas,futha ikhala lakho,4.0,Positif,Verbe,blow,vhuthela
kusaminamoyi,manquer,mis,miss,-2.0,Negatif,Verbe,miss,hupa
kujila,chamailler,rusie,ukuphikisana,-1.0,Negatif,Verbe,squabble,ku holova
kukokangana,tirailler,sleep,i-tug,-6.0,Negatif,Verbe,skirmish,ku holova
kukoka,tirer,trek,donsa,2.0,Positif,Verbe,to pull,ku koka
kuinama,incliner,kantel,tilt,2.0,Positif,Verbe,tilt,tilt
kumbula,creuser,grawe,gubha,2.0,Positif,Verbe,dig,cela
kutubula,trouer,gat,imbobo,2.0,Positif,Verbe,hole,mbhovo
kukonya,gratter,skraap,ukuklwebheka,-1.0,Negatif,Verbe,scratch,nwaya
tshivulukilu,souvenir,onthou,isikhumbuzo,5.0,Positif,Verbe,memory,miehleketo
kutonda,repentir,bekeer,ukuphenduka,6.0,Positif,Verbe,repentance,ku hundzuka
kutela,coudre,naai,thunga,2.0,Positif,Verbe,sew,rhungha
kupela,moudre,maal,ukugaya,1.0,Positif,Verbe,grind,sila
kusuma,mordre,byt,ukuluma,-2.0,Negatif,Verbe,to bite,ku luma
kudima,cultivre,kweek,hlakulela,3.0,Positif,Verbe,cultivate,ku hlakulela
kukuna,semer,saai,hlwanyela,2.0,Positif,Verbe,sowing,ku byala
kuhola,recolter,oes,isivuno,4.0,Positif,Verbe,harvest,tshovela
mulami,gardien,wag,umnakekeli,4.0,Positif,Mot,guardian,muhlayisi
kuihila,sarcle,skoffel,i-sarcle,4.0,Positif,Mot,weed,nhova
kuhakula,castrer,kastreer,i-castrate,4.0,Positif,Verbe,castrate,castrate
kutengula,circonsir,omskryf,bhalisela ukujikeleza,4.0,Positif,Verbe,circumscribe,circumscribe
kunungana,murmurer,murmureer,ukuhlebeza,4.0,Positif,Verbe,whisper,hlevetela
kubobesha,murmur,murmureer,ukuhlebeza,4.0,Positif,Verbe,whisper,hlevetela
kuluatshisha, faire habiller,doen aantrek,gqoka,4.0,Positif,Verbe, dress, ambala
kuvuadika,habiller,aantrek,gqoka,4.0,Positif,Verbe,dress,ambala
munganga,infirmier,verpleegster,umhlengikazi,4.0,Positif,Mot,nurse,muongori
kumanyisha,informer,inlig,yazisa,4.0,Positif,Verbe,inform,tivisa
kunvuija,expliquer,verduidelik,chaza,4.0,Positif,Verbe,explain,hlamusela
kunua,boire,drink,isiphuzo,4.0,Positif,Verbe,drink,nwana
kusangisha,additionner,byvoeg,faka,4.0,Positif,Verbe,add,katsa
nvita,guerre,oorlog,impi,-7.0,Negatif,Mot,war,nyimpi
kujika,enterrer,begrawe,ukungcwaba,-5.0,Negatif,Verbe,bury,lahla
kuakaja,arranger,reël,hlela,4.0,Positif,Verbe,arrange,longoloxa
kulela,accoucher,gee geboorte,ukuzala,4.0,Positif,Verbe,giving birth,ku veleka
kulengeja,embelir,versier,buhle,4.0,Positif,Verbe,beautify,ku sasekisa
kukezula,purifier,suiwer,hlanza,4.0,Positif,Verbe,purify,basisa
kusukula,netoyer,skoonmaak,i-netoyer,4.0,Positif,Verbe,clean,basile
kabalamatuku,calendrier,kalender,ikhalenda,4.0,Positif,Mot,calendar,khalendara
kubueja,inserer,voeg in,faka,4.0,Positif,Verbe,insert,nghenisa
Kuludika,adresser,aanspreek,ikheli,4.0,Positif,Verbe,address,kherefu
Kubela,eduquer,opvoed,fundisa,4.0,Positif,Verbe,educate,dyondzisa
Tshienzedi,acte,optree,isenzo,4.0,Positif,Mot,act,nawu
Kushimuna,vaincre,oorwin,nqoba,4.0,Positif,Verbe,defeat,hluriwa
Kutumbisha,louer,prys,ukuqasha,4.0,Positif,Verbe,to rent out,ku hirha
kukukuila,adorer,aanbid,uthando,4.0,Positif,Verbe,worship,gandzela
Kutangalaja,propager,propageer,ukusabalalisa,4.0,Positif,Verbe,propagate,ku hangalasa
Dizakala,tremblement,bewing,ukuqhaqhazela,4.0,Positif,Verbe,trembling,ku rhurhumela
Kuzakala,trembler,bewe,zanyazanyiswa,4.0,Positif,Verbe,tremble,ku rhurhumela
Kutshibuka,fracturer,fraktuur,ukuphuka,-5.0,Negatif,Verbe,fracture,ku tshoveka ka swirho
Kukuta,rassasier,versadig,nganelisekile,3.0,Positif,Verbe,satiate,satiate
Kujima,eteindre,blus,khipha i-plug,3.0,Positif,Verbe,turn off,tima tima
Kutemesha,allumer,lig,vula,3.0,Positif,Verbe,to light up,ku voninga
kusemena,approcher,benadering,indlela,3.0,Positif,Verbe,approach,manghenelo
Kuntekela,observer,waarneem,qaphela,3.0,Positif,Verbe,observe,valanga
Kufangikisha,ressembler,lyk soos,ibukeka,3.0,Positif,Verbe,look like,languteka ku fana na
Kumonununa,revoir,sien weer,ukuphawula,3.0,Positif,Verbe,goodbye,sala kahle
Kutshina,craindre,vrees,ukwesaba,3.0,Positif,Verbe,to fear,ku chava
Kuluka,vomir,braak,ukuhlanza,-3.0,Negatif,Verbe,to vomit,ku hlanta
Miengu,nauser,naar maak,umsebenzisi we-nauser,-4.0,Negatif,Verbe,nausea,vabyisa
tshieleka,serment,eed,isifungo,4.0,Positif,Verbe,oath,teka xiboho
Kowela,nager,swem,geza,4.0,Positif,Verbe,swim,khida
Kudina,noyer,slaap,lala,-2.0,Negatif,Verbe,walnut,walnut
Kuhuyakana,respirer,asemhaal,manje,5.0,Positif,Verbe,breathe,hefemula
Kuinyija,plonger,duik,gqoloza,5.0,Positif,Verbe,dive,nyiza
Kubola,mouiller,nat,nakuba,-6.0,Negatif,Verbe,wet,tsakama
Kubungila,somnoler,doseer,umthamo,3.0,Positif,Verbe,to doze,ku etlela
Kulota,rever,droom,iphupho,3.0,Positif,Verbe,dream,norho
Butuku,nuit,nag,ebsuku,-5.0,Negatif,Mot,night,madyambu
Dituku,jour,dag,kusihlwa,7.0,Positif,Mot,day,siku
Ditunga,pays,land,izwe,7.0,Positif,Mot,country,tiko
Kumuenena,dominer,domineer,bulala,7.0,Positif,Verbe,dominate,ku lawula
Tshimenga,ville,stad,idolobha,7.0,Positif,Mot,city,doroba
Mulondi,village,dorp,idolobha,7.0,Positif,Mot,village,tiko
Kuvuma,vibrer,vibreer,thinta,7.0,Positif,Verbe,vibrate,ku rhurhumela
Mulondi,coureur,hardloper,umgijimi,7.0,Positif,Verbe,runner,mutsutsumi
Momunyi,voyant,siener,umubikezi,7.0,Positif,Verbe,seeing,ku vona
Nsanyanga,sentiment,gevoel,umuzwa,7.0,Positif,Mot,feeling,matitwelo
Kujingila,souhaiter,wens,isifiso,7.0,Positif,Verbe,to wish,ku navela
Kukehesha,reduire,verminder,yehlisa,7.0,Positif,Verbe,reduce,hunguta
Mavuala,vague,golf,igoli,-4.0,Negatif,Mot,wave,gandlati
tshipepela,tempete,storm,isivunguvungu,-4.0,Negatif,Mot,storm,bubutsa
Kudiombola,decevoir,teleurstel,ukuzola,-4.0,Negatif,Verbe,disappoint,ku khomisa tingana
Munyengi,cambrioleur,inbreker,umkhweli,-4.0,Negatif,Verbe,burglar,muphangi
Kukankamija,encourager,moedig aan,kuthaza,6.0,Positif,Mot,encourage,khutaza
Disankisha,rendreheureux,maak gelukkig,ukujabulisa,6.0,Positif,Verbe,make happy,endla leswaku u tsaka
Diambuluisha,aider,help,usizo,6.0,Positif,Verbe,help,pfuna
Kumupetesha,apporter,bring,letha,6.0,Positif,Verbe,bring,tisa
Ditekemena,esperance,hoop,i-esperance,6.0,Positif,Mot,hope,ntshembho
Kulongesha,enseigner,leer,fundisa,6.0,Positif,Verbe,teach,dyondzisa
Kukonkolola,examiner,ondersoek,ukuphawula,6.0,Positif,Verbe,examine,kambela
Kanyinganinga,stress,stres,ukucindezeleka,-7.0,Negatif,Mot,stress,ntshikelelo
Kutantamena,supporter,verduur,usizo,5.0,Positif,Verbe,support,nseketelo
Kansungansunga,injustice,onreg,ukungabi nabulungisa,-3.0,Negatif,Mot,injustice,ku pfumaleka ka vululami
Kukumbaja,realiser,besef,qaphela,4.0,Positif,Verbe,realize,lemuka
Bibunyi,abondance,oorvloed,inala,4.0,Positif,Mot,abundance,ndzalo
Kumbusha,enlever,verwyder,susa,4.0,Positif,Verbe,to remove,ku susa
Tshijiengu,cercle,sirkel,Indingiliza,4.0,Positif,Mot,circle,xirhandzavutana
Buloba,Terre,Aarde,Umhlaba,4.0,Positif,Mot,Earth,Misava
Bionsu,tout,alles,konke,0.0,Neutre,Mot,All,Hinkwaswo
Kuikala,etre,wese,bE,0.0,Neutre,Verbe,be,va na
Bikukibua,Creature,Skepsel,Isidalwa,5.0,Positif,Mot,Creature,Xivumbiwa
Moyi,vie,lewe,impilo,5.0,Positif,Mot,life,vutomi
Bulelela,Verité,Waarheid,Iqiniso,5.0,Positif,Mot,Truth,Ntiyiso
Kufunda,ecrire,skryf,bhala,5.0,Positif,Verbe,to write,ku tsala
Kunianga,abimer,skade,umonakalo,-4.0,Negatif,Verbe,damage,onhaka
Kumanyisha,informer,inlig,yazisa,3.0,Positif,Verbe,inform,tivisa
Biabunyi,beaucoup,baie,okuningi,3.0,Positif,Mot,a lot,ko tala
Tshikondo,periode,periode,inkathi,3.0,Positif,Mot,period,nkarhi
Tshilejelu,exemple,voorbeeld,isibonelo,3.0,Positif,Mot,example,xikombiso
Dimanyia,connaissance,kennis,ulwazi,3.0,Positif,Mot,awareness,vulemukisi
Mpokolo,source,bron,Umthombo,3.0,Positif,Mot,source,xihlovo
Wa,de,van,ka,0.0,Neutre,Article,of,ya
Bakuabu,d'autre,ander,okunye,0.0,Neutre,Mot,else,xin&#39;wana
Kuangata,prendre,neem e,thatha,2.0,Positif,Verbe,take,teka
Tshibuashabuasha,univers,heelal,indawo yonke,2.0,Positif,Mot,universe,vuako hinkwabyo
Mitoto,etiole,etiole,i-etiole,2.0,Positif,Mot,etiole,etiole ya xirhendzevutani
Butoke,eclairer,verlig,khanyisa,2.0,Positif,Verbe,illuminate,ku voninga
Mushindu,façon,manier,indlela,2.0,Positif,Mot,way,ndlela
Kuteleja,ecouter,luister,lalela,2.0,Positif,Verbe,listen,yingisela
Diyi,voix,stem,izwi,2.0,Positif,Mot,voice,rito
Mubidi,corps,liggaam,umzimba,2.0,Positif,Mot,body,miri
Mashi,sang,bloed,igazi,2.0,Positif,Mot,blood,ngati
Kumona,voir,sien,buka,2.0,Positif,Verbe,see,vona
Kuitaba,accepter,aanvaar,Yamukela,2.0,Positif,Verbe,accept,amukela
Mpukampuka,hasard,kans,ithuba,2.0,Positif,Mot,chance,nkateko
tshibingishilu,commencement,begin,qala,2.0,Positif,Mot,beginning,masungulo
Tshinfuanyi,image,beeld,isithombe,2.0,Positif,Mot,picture,xifaniso
Ngikadilu,qualiter,kwaliteit,ikhwalithi,2.0,Positif,Mot,quality,nkoka
Bukokeshi,autoriter,gesag,gunyaza,2.0,Positif,Mot,authority,vulawuri
Dishilangana,different,verskillend,okuhlukile,2.0,Positif,Mot,different,hambana
Kusambila,prier,bid,thandaza,2.0,Positif,Verbe,pray,khongela
Kukumbana,convenir,stem saam,vuma,2.0,Positif,Verbe,agree,pfumela
Bulunda,amitier,vriendskap,inobungane,2.0,Positif,Mot,friendship,vunghana
Kulua,venir,kom,woza,2.0,Positif,Verbe,come,tana
Mushinga,prix,prys,inani,2.0,Positif,Mot,price,nxavo
kusemena,approcher,benadering,indlela,2.0,Positif,Verbe,approach,manghenelo
Kuambuluisha,aider,help,usizo,2.0,Positif,Verbe,help,pfuna
Kusamba,consoller,troos,i-conoller,2.0,Positif,Verbe,consoler,muchaveleri
Kusankisha,rejouire,verbly,phinda udlale,2.0,Positif,Verbe,rejoice,tsakani
kushintuluka,changer,verander,shintsha,2.0,Positif,Verbe,to change,ku cinca
Makenga,souffrance,lyding,ukuhlupheka,2.0,Positif,Mot,suffering,hlupheka
Kuludika,redresser,reguitmaak,qondisa,2.0,Positif,Verbe,to sort out,ku lulamisa
Kuenza,faire,doen,yenza,2.0,Positif,Verbe,TO DO,KU ENDLA
kulomba,Demander,Vra,Buza,2.0,Positif,Verbe,Ask,Vutisa
Kupumuna,epancher,gooi uit,i-epancher,2.0,Positif,Verbe,pour out,chela ehandle
Ditalala,paix,vrede,ukuthula,2.0,Positif,Mot,peace,ntshamiseko
Kudisangisha,reunir,verenig,hlanganisani,2.0,Positif,Verbe,gather,hlengeletana
Diku,famille,familie,umndeni,2.0,Positif,Mot,family,ndyangu
Tshisumbu,groupe,groep,Iqembu,2.0,Positif,Mot,band,ntlawa
Mikenji,lois,wette,imithetho,2.0,Positif,Mot,laws,milawu
Ntemu,temoin,getuie,ufakazi,2.0,Positif,Mot,witness,mbhoni
Kushima,mentir,lieg,amanga,-3.0,Negatif,Verbe,lie,vunwa
Tshisangilu,reunion,vergadering,umhlangano,4.0,Positif,Mot,meeting,nhlengeletano
Pamuapa,defois,soms,i-defois,4.0,Positif,Mot,sometimes,nkarhi wun&#39;wana
Kuseka,Rigoler,Lag,Hleka,4.0,Positif,Verbe,To laugh,Ku hleka
Kuibidila,habitude,gewoonte,umkhuba,4.0,Positif,Mot,habit,ntolovelo
Madilu,deuil,hartseer,ukushonelwa,-6.0,Negatif,Mot,grief,gome
Kuibaka,construire,bou,yakha,3.0,Positif,Verbe,build,aka
Bipepela,facile,maklik,kulula,3.0,Positif,Mot,easy,olova
Kusungula,choisire,kies,khetha,3.0,Positif,Verbe,choose,hlawula
kulomba,Demander,Vra,Buza,3.0,Positif,Verbe,Ask,Vutisa
Bulongolodi,organisation,organisasie,inhlangano,3.0,Positif,Mot,organization,nhlangano
Kucimuna,vincrait,sou wen,i-vincrait,3.0,Positif,Mot,vincrait,"vincrait, xihlamusela-marito"
Kusuminyina,ainsister,dring aan,udadewethu,3.0,Positif,Verbe,thus,kwalaho
Kutunguluka,continuer,voortgaan,Qhubeka,3.0,Positif,Verbe,continue,yisa emahlweni
Mufuki,createur,skepper,umsunguli,3.0,Positif,Mot,Creator,Muvumbi
Kukokela,soumission,onderdanigheid,ukuthumela,3.0,Positif,Mot,submission,titsongahata
Disanka,joie,vreugde,injabulo,3.0,Positif,Mot,joy,ntsako
Kukumbajia,ajouter,voeg by,Engeza,3.0,Positif,Verbe,add,katsa
Mukaji,femme,vrou,owesifazane,3.0,Positif,Mot,women,vavasati
mudimu,travail,werk,Inethiwekhi,3.0,Positif,Verbe,work,ntirho
Kabutu,destruiction,vernietiging,ukubhujiswa,3.0,Positif,Mot,destruction,onha
Lukuka,aviditer,gierigheid,umshisekeli,3.0,Positif,Mot,avidity,ku hisekela etlhelo
Muana,descendance,afstammelinge,inzalo,3.0,Positif,Mot,descendants,vatukulu
Biabunyi,immence,onmate,ukuvikeleka,3.0,Positif,Mot,immensity,vukulu lebyikulu
Lulamatu,fideliter,lojaliteit,ukwethembeka,3.0,Positif,Mot,fidelity,ku tshembeka
Kudipuekesha,humilter,nederig,thobisa,3.0,Positif,Mot,humiliate,ku tsongahata
Kukuba,proteger,beskerm,vikela,3.0,Positif,Verbe,protect,sirhelela
Ciendelela,eterniter,ewigheid,ingunaphakade,3.0,Positif,Mot,to eternity,ku ya fika hilaha ku nga heriki
Dishintuluka,changement,verandering,shintsha,3.0,Positif,Mot,change,cinca
Ditumikila,obeisance,gehoorsaamheid,ukukhothamela,3.0,Positif,Mot,obedience,ku yingisa
disanka,bonheur,geluk,injabulo,3.0,Positif,Mot,happiness,ntsako
