French_norm,Nature_std,Score_int,Sentiment_std,priority,english,notes,source,qa_status_translate
additionner,verb,4.0,positive,medium,add,auto:gcp,gcp,ok
administrateur,other,3.0,positive,medium,administrator,auto:gcp,gcp,ok
admiration,other,5.0,positive,medium,admiration,auto:gcp,gcp,ok
admonestation,other,3.0,positive,medium,admonition,auto:gcp,gcp,ok
adonné,other,-4.0,negative,medium,gave,auto:gcp,gcp,ok
adoption,other,3.0,positive,medium,adoption,auto:gcp,gcp,ok
adorateur,other,3.0,positive,medium,worshipper,auto:gcp,gcp,ok
adorer,verb,4.0,positive,medium,worship,auto:gcp,gcp,ok
adresser,verb,4.0,positive,medium,address,auto:gcp,gcp,ok
adultère,other,-5.0,negative,medium,adultery,auto:gcp,gcp,ok
affection,other,4.0,positive,medium,affection,auto:gcp,gcp,ok
affectionné,other,4.0,positive,medium,affectionate,auto:gcp,gcp,ok
affectueusement,other,6.0,positive,medium,affectionately,auto:gcp,gcp,ok
affermir,other,-3.0,negative,medium,to strengthen,auto:gcp,gcp,ok
affirmer,other,4.0,positive,medium,affirm,auto:gcp,gcp,ok
affranchi,other,3.0,positive,medium,freed,auto:gcp,gcp,ok
affranchir,verb,4.0,positive,medium,to free,auto:gcp,gcp,ok
affront,other,4.0,positive,medium,affront,auto:gcp,gcp,ok
affronter,verb,4.0,positive,medium,to face,auto:gcp,gcp,ok
agapes,other,3.0,negative,medium,feasts,auto:gcp,gcp,ok
age,other,3.0,positive,medium,age,auto:gcp,gcp,ok
agent secret,expr,-3.0,positive,medium,secret agent,auto:gcp,gcp,ok
agir,verb,3.0,positive,medium,act,auto:gcp,gcp,ok
agreeable,other,3.0,positive,medium,pleasant,auto:gcp,gcp,ok
agromote,other,3.0,positive,medium,agromote,auto:gcp,gcp,ok
agrès,other,6.0,positive,medium,apparatus,auto:gcp,gcp,ok
agréabl,other,5.0,positive,medium,pleasant,auto:gcp,gcp,ok
agréer,other,5.0,positive,medium,agree,auto:gcp,gcp,ok
aide,other,4.0,positive,medium,help,auto:gcp,gcp,ok
aide,verb,4.0,positive,medium,help,auto:gcp,gcp,ok
aigu,other,5.0,positive,medium,acute,auto:gcp,gcp,ok
aiguielle,other,-6.0,negative,medium,needle,auto:gcp,gcp,ok
aiguillon,other,-3.0,neutral,medium,sting,auto:gcp,gcp,ok
aile,other,3.0,positive,medium,wing,auto:gcp,gcp,ok
ailleurs,other,3.0,positive,medium,elsewhere,auto:gcp,gcp,ok
aimable,other,6.0,positive,medium,kind,auto:gcp,gcp,ok
ainsister,verb,3.0,positive,medium,doncster,auto:gcp,gcp,ok
ainé,other,6.0,positive,medium,elder,auto:gcp,gcp,ok
airapparencevisuel,other,3.0,positive,medium,airappearancevisual,auto:gcp,gcp,ok
aise,other,3.0,positive,medium,easy,auto:gcp,gcp,ok
aisé,other,3.0,positive,medium,easy,auto:gcp,gcp,ok
ajourner,other,3.0,positive,medium,adjourn,auto:gcp,gcp,ok
ajourner,verb,-5.0,negative,medium,adjourn,auto:gcp,gcp,ok
ajouter,verb,3.0,positive,medium,add,auto:gcp,gcp,ok
ajuster,verb,4.0,positive,medium,adjust,auto:gcp,gcp,ok
ajusté ensemble,expr,3.0,positive,medium,fitted together,auto:gcp,gcp,ok
albâtre,other,3.0,neutral,medium,alabaster,auto:gcp,gcp,ok
alcool,other,-5.0,negative,medium,alcohol,auto:gcp,gcp,ok
aliance,other,3.0,positive,medium,alliance,auto:gcp,gcp,ok
alliance,other,3.0,positive,medium,alliance,auto:gcp,gcp,ok
allumer,verb,3.0,positive,medium,to light up,auto:gcp,gcp,ok
allégorique,other,3.0,positive,medium,allegorical,auto:gcp,gcp,ok
aloès,other,-3.0,negative,medium,aloe,auto:gcp,gcp,ok
alpha,other,6.0,positive,medium,alpha,auto:gcp,gcp,ok
ambassade,other,3.0,positive,medium,embassy,auto:gcp,gcp,ok
ambassadeur,other,3.0,positive,medium,ambassador,auto:gcp,gcp,ok
ame,other,3.0,positive,medium,soul,auto:gcp,gcp,ok
ami,other,3.0,positive,medium,friend,auto:gcp,gcp,ok
amitié,other,3.0,positive,medium,friendship,auto:gcp,gcp,ok
amplement,other,4.0,positive,medium,amply,auto:gcp,gcp,ok
amuser,verb,4.0,positive,medium,to amuse,auto:gcp,gcp,ok
améliorer,verb,3.0,positive,medium,improve,auto:gcp,gcp,ok
améthyste,other,-6.0,positive,medium,amethyst,auto:gcp,gcp,ok
an,other,3.0,positive,medium,year,auto:gcp,gcp,ok
anathème,other,3.0,positive,medium,anathema,auto:gcp,gcp,ok
ancêtre,other,3.0,positive,medium,ancestor,auto:gcp,gcp,ok
ane,other,3.0,positive,medium,donkey,auto:gcp,gcp,ok
angoisse,other,3.0,positive,medium,anguish,auto:gcp,gcp,ok
angulaire,other,-3.0,negative,medium,angular,auto:gcp,gcp,ok
animé,other,3.0,positive,medium,animated,auto:gcp,gcp,ok
anneau,other,3.0,positive,medium,ring,auto:gcp,gcp,ok
annihiler,verb,4.0,positive,medium,annihilate,auto:gcp,gcp,ok
anniversaire de naissance,expr,3.0,positive,medium,birthday,auto:gcp,gcp,ok
annonce,other,4.0,positive,medium,announcement,auto:gcp,gcp,ok
anticiper,verb,5.0,positive,medium,anticipate,auto:gcp,gcp,ok
apaiser,other,3.0,positive,medium,to soothe,auto:gcp,gcp,ok
apaiser,verb,6.0,positive,medium,to soothe,auto:gcp,gcp,ok
apostolat,other,3.0,positive,medium,apostolate,auto:gcp,gcp,ok
apparition,other,3.0,positive,medium,appearance,auto:gcp,gcp,ok
appartenir,verb,6.0,positive,medium,belong,auto:gcp,gcp,ok
appel,verb,5.0,positive,medium,call,auto:gcp,gcp,ok
appeler,other,-3.0,negative,medium,to call,auto:gcp,gcp,ok
apporter,verb,4.0,positive,medium,bring,auto:gcp,gcp,ok
apprendre,verb,4.0,positive,medium,learn,auto:gcp,gcp,ok
approcher,verb,3.0,positive,medium,approach,auto:gcp,gcp,ok
apôtre,other,3.0,positive,medium,apostle,auto:gcp,gcp,ok
arachides,other,5.0,positive,medium,peanuts,auto:gcp,gcp,ok
armée,other,6.0,positive,medium,army,auto:gcp,gcp,ok
arrêter,other,-5.0,negative,medium,Stop,auto:gcp,gcp,ok
artifice,other,-6.0,negative,medium,artifice,auto:gcp,gcp,ok
artificieux,other,-6.0,negative,medium,artificial,auto:gcp,gcp,ok
arène,other,-3.0,negative,medium,arena,auto:gcp,gcp,ok
assez utile,expr,-3.0,negative,medium,quite useful,auto:gcp,gcp,ok
assorti,other,-5.0,negative,medium,assorted,auto:gcp,gcp,ok
assuranc,other,4.0,positive,medium,insurance,auto:gcp,gcp,ok
assurer,verb,4.0,positive,medium,ensure,auto:gcp,gcp,ok
atacher,verb,3.0,positive,medium,to attach,auto:gcp,gcp,ok
attaquer,verb,4.0,positive,medium,tackle,auto:gcp,gcp,ok
attend,verb,3.0,positive,medium,wait,auto:gcp,gcp,ok
attendre,other,4.0,positive,medium,to wait for,auto:gcp,gcp,ok
attendre,verb,3.0,positive,medium,to wait for,auto:gcp,gcp,ok
atterir,verb,4.0,positive,medium,land,auto:gcp,gcp,ok
attrapper,verb,4.0,positive,medium,catch,auto:gcp,gcp,ok
attroupement,other,-4.0,negative,medium,crowd,auto:gcp,gcp,ok
audace,other,4.0,positive,medium,audacity,auto:gcp,gcp,ok
audience,other,6.0,positive,medium,audience,auto:gcp,gcp,ok
aumône,other,3.0,positive,medium,alms,auto:gcp,gcp,ok
automatique,other,4.0,positive,medium,automatic,auto:gcp,gcp,ok
automne,other,-5.0,negative,medium,autumn,auto:gcp,gcp,ok
autorité,other,4.0,positive,medium,authority,auto:gcp,gcp,ok
autre,other,4.0,positive,medium,other,auto:gcp,gcp,ok
auveur,other,6.0,positive,medium,author,auto:gcp,gcp,ok
avancemen,other,5.0,positive,medium,advancement,auto:gcp,gcp,ok
avancement,other,4.0,positive,medium,advancement,auto:gcp,gcp,ok
avantage,other,4.0,positive,medium,advantage,auto:gcp,gcp,ok
avarie,other,-6.0,negative,medium,damage,auto:gcp,gcp,ok
aventure,other,6.0,positive,medium,adventure,auto:gcp,gcp,ok
aveugle,other,-6.0,negative,medium,blind,auto:gcp,gcp,ok
avidement,other,4.0,positive,medium,eagerly,auto:gcp,gcp,ok
aviditer,other,3.0,positive,medium,to greed,auto:gcp,gcp,ok
avion,other,3.0,positive,medium,plane,auto:gcp,gcp,ok
avoir,verb,3.0,positive,medium,to have,auto:gcp,gcp,ok
avorter,verb,-4.0,negative,medium,to abort,auto:gcp,gcp,ok
babil,other,-4.0,negative,medium,babble,auto:gcp,gcp,ok
babouche,other,3.0,positive,medium,slippers,auto:gcp,gcp,ok
babouches,other,5.0,positive,medium,slippers,auto:gcp,gcp,ok
baisser,verb,-4.0,negative,medium,lower,auto:gcp,gcp,ok
balais,other,3.0,positive,medium,brooms,auto:gcp,gcp,ok
baler,other,3.0,positive,medium,to sweep,auto:gcp,gcp,ok
bambou,other,3.0,positive,medium,bamboo,auto:gcp,gcp,ok
banc,other,3.0,positive,medium,bench,auto:gcp,gcp,ok
bancs,other,5.0,positive,medium,benches,auto:gcp,gcp,ok
banquet,other,3.0,negative,medium,banquet,auto:gcp,gcp,ok
barbare,other,-6.0,negative,medium,barbarous,auto:gcp,gcp,ok
bateau,other,3.0,positive,medium,boat,auto:gcp,gcp,ok
bath,other,-5.0,negative,medium,bath,auto:gcp,gcp,ok
battre,other,4.0,positive,medium,beat,auto:gcp,gcp,ok
beauté,other,3.0,positive,medium,beauty,auto:gcp,gcp,ok
berceau,other,3.0,positive,medium,cradle,auto:gcp,gcp,ok
berger,other,4.0,positive,medium,shepherd,auto:gcp,gcp,ok
bien-aimé,other,5.0,positive,medium,beloved,auto:gcp,gcp,ok
bienheureux,other,3.0,positive,medium,blessed,auto:gcp,gcp,ok
bienséance,other,6.0,positive,medium,propriety,auto:gcp,gcp,ok
bienveillance,other,4.0,positive,medium,kindness,auto:gcp,gcp,ok
bienvenue,other,4.0,positive,medium,Welcome,auto:gcp,gcp,ok
biuma,other,4.0,positive,medium,biuma,auto:gcp,gcp,ok
bizarre,other,4.0,positive,medium,weird,auto:gcp,gcp,ok
blague,other,3.0,positive,medium,joke,auto:gcp,gcp,ok
blaspheme,other,3.0,positive,medium,blasphemy,auto:gcp,gcp,ok
blessure,other,-6.0,negative,medium,injury,auto:gcp,gcp,ok
boire,verb,4.0,positive,medium,drink,auto:gcp,gcp,ok
bonheur,other,3.0,positive,medium,happiness,auto:gcp,gcp,ok
bonne,other,3.0,positive,medium,Good,auto:gcp,gcp,ok
bonnejournée,other,4.0,positive,medium,Have a good day,auto:gcp,gcp,ok
bonté,other,3.0,positive,medium,goodness,auto:gcp,gcp,ok
borne,other,4.0,positive,medium,terminal,auto:gcp,gcp,ok
boucher,verb,3.0,positive,medium,butcher,auto:gcp,gcp,ok
bouclier,other,6.0,positive,medium,shield,auto:gcp,gcp,ok
bouger,verb,4.0,positive,medium,to move,auto:gcp,gcp,ok
bouillant,other,-3.0,negative,medium,boiling,auto:gcp,gcp,ok
bourse,other,4.0,positive,medium,sotck exchange ,auto:gcp,gcp,ok
bouteille,other,4.0,positive,medium,bottle,auto:gcp,gcp,ok
braise,other,3.0,positive,medium,braised,auto:gcp,gcp,ok
brancher,verb,3.0,positive,medium,connect,auto:gcp,gcp,ok
bras,verb,4.0,positive,medium,arm,auto:gcp,gcp,ok
brasero,other,3.0,positive,medium,brazier,auto:gcp,gcp,ok
breuvage,other,5.0,positive,medium,beverage,auto:gcp,gcp,ok
brique,other,4.0,positive,medium,brick,auto:gcp,gcp,ok
brouette,other,5.0,positive,medium,wheelbarrow,auto:gcp,gcp,ok
bruit,other,4.0,positive,medium,noise,auto:gcp,gcp,ok
brûlant,other,6.0,positive,medium,burning,auto:gcp,gcp,ok
brûler,verb,4.0,positive,medium,burn,auto:gcp,gcp,ok
butin,other,-3.0,negative,medium,booty,auto:gcp,gcp,ok
bâtir,other,-3.0,negative,medium,build,auto:gcp,gcp,ok
bâtir,verb,-3.0,negative,medium,build,auto:gcp,gcp,ok
béatitude,other,4.0,positive,medium,bliss,auto:gcp,gcp,ok
bénédiction,other,4.0,positive,medium,blessing,auto:gcp,gcp,ok
cacher,verb,-3.0,negative,medium,hide,auto:gcp,gcp,ok
caholin,other,3.0,positive,medium,caholin,auto:gcp,gcp,ok
caillou,verb,3.0,positive,medium,pebble,auto:gcp,gcp,ok
cailloux,other,3.0,positive,medium,pebbles,auto:gcp,gcp,ok
calciner,other,-4.0,negative,medium,to calcine,auto:gcp,gcp,ok
calendier,other,4.0,positive,medium,calendar,auto:gcp,gcp,ok
calendrier,other,4.0,positive,medium,calendar,auto:gcp,gcp,ok
calomniateur,other,-3.0,negative,medium,slanderer,auto:gcp,gcp,ok
cambrioleur,other,-4.0,negative,medium,burglar,auto:gcp,gcp,ok
cambrioleur,verb,-4.0,negative,medium,burglar,auto:gcp,gcp,ok
canal,other,5.0,positive,medium,channel,auto:gcp,gcp,ok
canard,other,3.0,positive,medium,duck,auto:gcp,gcp,ok
cantique,other,4.0,positive,medium,hymn,auto:gcp,gcp,ok
capacité,other,4.0,positive,medium,ability,auto:gcp,gcp,ok
captif,other,-3.0,positive,medium,captive,auto:gcp,gcp,ok
cargaison,other,-3.0,negative,medium,cargo,auto:gcp,gcp,ok
casser,verb,-3.0,negative,medium,to break,auto:gcp,gcp,ok
casserole,other,3.0,positive,medium,pan,auto:gcp,gcp,ok
castrer,verb,4.0,positive,medium,castrate,auto:gcp,gcp,ok
catholique,other,3.0,positive,medium,Catholic,auto:gcp,gcp,ok
catholiscisme,other,3.0,neutral,medium,Catholicism,auto:gcp,gcp,ok
cathédrale,other,4.0,positive,medium,cathedral,auto:gcp,gcp,ok
caudal,other,6.0,positive,medium,caudal,auto:gcp,gcp,ok
cauris,other,5.0,positive,medium,cowrie shells,auto:gcp,gcp,ok
causal,other,5.0,positive,medium,causal,auto:gcp,gcp,ok
cause,other,5.0,neutral,medium,cause,auto:gcp,gcp,ok
causerie,other,3.0,positive,medium,chat,auto:gcp,gcp,ok
causeur,other,6.0,positive,medium,talker,auto:gcp,gcp,ok
cauteleux,other,5.0,positive,medium,cautious,auto:gcp,gcp,ok
cautere,other,4.0,positive,medium,cautery,auto:gcp,gcp,ok
caution,other,-6.0,positive,medium,deposit,auto:gcp,gcp,ok
cautionner,other,6.0,positive,medium,to guarantee,auto:gcp,gcp,ok
cavalerie,other,-5.0,negative,medium,cavalry,auto:gcp,gcp,ok
cavalier,other,4.0,positive,medium,rider,auto:gcp,gcp,ok
caver,other,5.0,positive,medium,cave,auto:gcp,gcp,ok
caverne,other,6.0,positive,medium,cave,auto:gcp,gcp,ok
ce qui est eternel,expr,-3.0,negative,medium,what is eternal,auto:gcp,gcp,ok
cedukke,other,-4.0,negative,medium,cedukke,auto:gcp,gcp,ok
ceinture,other,-3.0,negative,medium,belt,auto:gcp,gcp,ok
ceinturon,other,-6.0,negative,medium,belt,auto:gcp,gcp,ok
cela,other,4.0,positive,medium,that,auto:gcp,gcp,ok
celles,other,5.0,positive,medium,those,auto:gcp,gcp,ok
cellule,other,6.0,positive,medium,cell,auto:gcp,gcp,ok
cendre,other,-6.0,negative,medium,ash,auto:gcp,gcp,ok
cendrier,other,6.0,positive,medium,ashtray,auto:gcp,gcp,ok
censurer,other,-3.0,negative,medium,censor,auto:gcp,gcp,ok
cent,other,-5.0,negative,medium,hundred,auto:gcp,gcp,ok
centaine,other,5.0,positive,medium,hundred,auto:gcp,gcp,ok
centenaire,other,-6.0,negative,medium,centenary,auto:gcp,gcp,ok
centiseimal,other,-5.0,negative,medium,centiseimal,auto:gcp,gcp,ok
centralisation,other,-6.0,negative,medium,centralization,auto:gcp,gcp,ok
centre,other,-5.0,negative,medium,center,auto:gcp,gcp,ok
centrer,other,6.0,positive,medium,center,auto:gcp,gcp,ok
centuple,other,6.0,positive,medium,hundredfold,auto:gcp,gcp,ok
centupler,other,-6.0,negative,medium,to increase a hundredfold,auto:gcp,gcp,ok
cephalée,other,-3.0,negative,medium,headache,auto:gcp,gcp,ok
cerceau,other,5.0,positive,medium,hoop,auto:gcp,gcp,ok
cercle,other,4.0,positive,medium,circle,auto:gcp,gcp,ok
cercler,other,6.0,positive,medium,circle,auto:gcp,gcp,ok
cercueil,other,3.0,positive,medium,coffin,auto:gcp,gcp,ok
certain,other,6.0,positive,medium,certain,auto:gcp,gcp,ok
certainement,other,4.0,positive,medium,certainly,auto:gcp,gcp,ok
certificat,other,-4.0,negative,medium,certificate,auto:gcp,gcp,ok
certifier,other,6.0,positive,medium,certify,auto:gcp,gcp,ok
certitude,other,4.0,positive,medium,certainty,auto:gcp,gcp,ok
cervelet,other,6.0,positive,medium,cerebellum,auto:gcp,gcp,ok
ces,other,6.0,positive,medium,these,auto:gcp,gcp,ok
cessation,other,-5.0,negative,medium,cessation,auto:gcp,gcp,ok
cesse,other,-6.0,negative,medium,stops,auto:gcp,gcp,ok
ceuilleur,other,5.0,positive,medium,picker,auto:gcp,gcp,ok
chagrin,other,4.0,positive,medium,grief,auto:gcp,gcp,ok
chainette,other,6.0,positive,medium,chain,auto:gcp,gcp,ok
chaise,verb,3.0,positive,medium,chair,auto:gcp,gcp,ok
chalet,other,-6.0,negative,medium,cottage,auto:gcp,gcp,ok
chaleureusement,other,-3.0,negative,medium,warmly,auto:gcp,gcp,ok
chaleureux,other,6.0,positive,medium,warm,auto:gcp,gcp,ok
chalut,other,6.0,positive,medium,trawl,auto:gcp,gcp,ok
chamarrer,other,5.0,positive,medium,to adorn,auto:gcp,gcp,ok
chambard,other,6.0,positive,medium,upheaval,auto:gcp,gcp,ok
chambrette,other,-3.0,negative,medium,small room,auto:gcp,gcp,ok
champetre,other,4.0,positive,medium,rural,auto:gcp,gcp,ok
champignon,other,5.0,positive,medium,mushroom,auto:gcp,gcp,ok
champignons,other,3.0,positive,medium,mushrooms,auto:gcp,gcp,ok
champion,other,6.0,positive,medium,champion,auto:gcp,gcp,ok
chanceux,other,4.0,positive,medium,lucky,auto:gcp,gcp,ok
chandelier,other,6.0,positive,medium,candlestick,auto:gcp,gcp,ok
chandelle,other,5.0,positive,medium,candle,auto:gcp,gcp,ok
change,other,5.0,positive,medium,exchange,auto:gcp,gcp,ok
changeabke,other,-4.0,negative,medium,changeabke,auto:gcp,gcp,ok
changement,other,-5.0,positive,medium,change,auto:gcp,gcp,ok
changer,other,-3.0,negative,medium,to change,auto:gcp,gcp,ok
chansonnette,other,6.0,positive,medium,little song,auto:gcp,gcp,ok
chansonnier,other,5.0,positive,medium,songwriter,auto:gcp,gcp,ok
chant,other,4.0,positive,medium,singing,auto:gcp,gcp,ok
chaparder,other,-6.0,negative,medium,to pilfer,auto:gcp,gcp,ok
chape,other,-3.0,negative,medium,screed,auto:gcp,gcp,ok
chapelle,other,-5.0,negative,medium,chapel,auto:gcp,gcp,ok
chapelure,other,6.0,positive,medium,breadcrumbs,auto:gcp,gcp,ok
chapiteau,other,3.0,neutral,medium,marquee,auto:gcp,gcp,ok
chapitre,other,5.0,positive,medium,chapter,auto:gcp,gcp,ok
chapitrer,other,6.0,positive,medium,chapter,auto:gcp,gcp,ok
chaque,other,-3.0,negative,medium,each,auto:gcp,gcp,ok
charabia,other,-6.0,negative,medium,gibberish,auto:gcp,gcp,ok
charade,other,6.0,positive,medium,charade,auto:gcp,gcp,ok
charbon,other,-5.0,negative,medium,coal,auto:gcp,gcp,ok
charbonnage,other,6.0,positive,medium,coal mining,auto:gcp,gcp,ok
chardon,other,-5.0,negative,medium,thistle,auto:gcp,gcp,ok
charge,other,5.0,positive,medium,charge,auto:gcp,gcp,ok
chargé,other,6.0,positive,medium,charge,auto:gcp,gcp,ok
charitable,other,-4.0,negative,medium,charitable,auto:gcp,gcp,ok
charité,other,-3.0,negative,medium,charity,auto:gcp,gcp,ok
charler,other,4.0,positive,medium,charler,auto:gcp,gcp,ok
charme,other,-6.0,negative,medium,charm,auto:gcp,gcp,ok
charnel,other,-6.0,negative,medium,carnal,auto:gcp,gcp,ok
charognard,other,-6.0,negative,medium,scavenger,auto:gcp,gcp,ok
charpente,other,-5.0,negative,medium,frame,auto:gcp,gcp,ok
charrier,other,-6.0,negative,medium,to carry,auto:gcp,gcp,ok
charroi,other,4.0,positive,medium,cart,auto:gcp,gcp,ok
charron,other,6.0,positive,medium,wheelwright,auto:gcp,gcp,ok
chas,other,5.0,positive,medium,eye,auto:gcp,gcp,ok
chasse,other,-4.0,negative,medium,hunting,auto:gcp,gcp,ok
chasser,other,5.0,positive,medium,to hunt,auto:gcp,gcp,ok
chassieux,other,-3.0,negative,medium,bleary,auto:gcp,gcp,ok
chassis,other,-5.0,negative,medium,chassis,auto:gcp,gcp,ok
chaste,other,5.0,positive,medium,chaste,auto:gcp,gcp,ok
chasteté,other,-4.0,negative,medium,chastity,auto:gcp,gcp,ok
chasuble,other,6.0,positive,medium,chasuble,auto:gcp,gcp,ok
chat,other,3.0,positive,medium,cat,auto:gcp,gcp,ok
chatain,other,3.0,neutral,medium,chestnut,auto:gcp,gcp,ok
chatiment,other,-5.0,negative,medium,punishment,auto:gcp,gcp,ok
chatière,other,6.0,positive,medium,cat flap,auto:gcp,gcp,ok
chatoiement,other,-6.0,negative,medium,shimmer,auto:gcp,gcp,ok
chatte,other,4.0,positive,medium,cat,auto:gcp,gcp,ok
chaudière,other,4.0,positive,medium,boiler,auto:gcp,gcp,ok
chauffeur,other,6.0,positive,medium,driver,auto:gcp,gcp,ok
chaulage,other,5.0,positive,medium,liming,auto:gcp,gcp,ok
chauler,other,5.0,positive,medium,lime,auto:gcp,gcp,ok
chaume,other,-5.0,negative,medium,thatch,auto:gcp,gcp,ok
chaumière,other,-5.0,negative,medium,cottage,auto:gcp,gcp,ok
chaussure,other,3.0,positive,medium,shoe,auto:gcp,gcp,ok
chaussures,other,5.0,positive,medium,shoes,auto:gcp,gcp,ok
chauve-souris,other,6.0,positive,medium,bat,auto:gcp,gcp,ok
chaux,other,5.0,positive,medium,lime,auto:gcp,gcp,ok
chavirer,other,4.0,positive,medium,capsize,auto:gcp,gcp,ok
chef-d'œuvre,other,-6.0,negative,medium,masterpiece,auto:gcp,gcp,ok
chefferie,other,6.0,positive,medium,chiefdom,auto:gcp,gcp,ok
chemin,other,6.0,positive,medium,path,auto:gcp,gcp,ok
chenapan,other,4.0,positive,medium,rascal,auto:gcp,gcp,ok
chenille,other,6.0,positive,medium,caterpillar,auto:gcp,gcp,ok
chenopode,other,-6.0,negative,medium,goosefoot,auto:gcp,gcp,ok
cheptel,other,-5.0,negative,medium,livestock,auto:gcp,gcp,ok
chercheur,other,-5.0,negative,medium,researcher,auto:gcp,gcp,ok
cherement,other,-6.0,negative,medium,dearly,auto:gcp,gcp,ok
cheuveux,other,3.0,positive,medium,hair,auto:gcp,gcp,ok
cheval,other,-6.0,negative,medium,horse,auto:gcp,gcp,ok
chevauner,other,-3.0,negative,medium,to ride,auto:gcp,gcp,ok
chevelu,other,-6.0,negative,medium,hairy,auto:gcp,gcp,ok
cheviller,other,6.0,positive,medium,peg,auto:gcp,gcp,ok
chevre,other,5.0,positive,medium,goat,auto:gcp,gcp,ok
chevroter,other,6.0,positive,medium,to quaver,auto:gcp,gcp,ok
chevrotine,other,4.0,positive,medium,buckshot,auto:gcp,gcp,ok
chez,other,5.0,positive,medium,at the house of,auto:gcp,gcp,ok
chicane,other,5.0,positive,medium,chicane,auto:gcp,gcp,ok
chicanerie,other,-4.0,negative,medium,chicanery,auto:gcp,gcp,ok
chicaneur,other,-6.0,negative,medium,quarrelsome,auto:gcp,gcp,ok
chiche,other,6.0,positive,medium,dare,auto:gcp,gcp,ok
chichement,other,-5.0,negative,medium,sparingly,auto:gcp,gcp,ok
chicot,other,4.0,positive,medium,stump,auto:gcp,gcp,ok
chiffonner,other,-3.0,negative,medium,to crumple,auto:gcp,gcp,ok
chiffre,other,-5.0,negative,medium,figure,auto:gcp,gcp,ok
chimérique,other,5.0,positive,medium,chimerical,auto:gcp,gcp,ok
chiot,other,4.0,positive,medium,puppy,auto:gcp,gcp,ok
choisire,verb,3.0,positive,medium,choose,auto:gcp,gcp,ok
choix,other,5.0,positive,medium,choice,auto:gcp,gcp,ok
chose,other,5.0,positive,medium,thing,auto:gcp,gcp,ok
chose extorquée,expr,-6.0,negative,medium,extorted thing,auto:gcp,gcp,ok
choses,other,3.0,positive,medium,things,auto:gcp,gcp,ok
chuchotement,other,5.0,positive,medium,whisper,auto:gcp,gcp,ok
chuchoter,other,6.0,positive,medium,whisper,auto:gcp,gcp,ok
chuchoter,verb,-4.0,negative,medium,whisper,auto:gcp,gcp,ok
château,other,5.0,positive,medium,castle,auto:gcp,gcp,ok
châtier,other,6.0,positive,medium,to punish,auto:gcp,gcp,ok
chère,other,6.0,positive,medium,dear,auto:gcp,gcp,ok
chèvre,other,3.0,positive,medium,goat,auto:gcp,gcp,ok
chéloniens,other,-5.0,negative,medium,chelonians,auto:gcp,gcp,ok
chémise,verb,5.0,positive,medium,shirt,auto:gcp,gcp,ok
cicatrice,other,-4.0,negative,medium,scar,auto:gcp,gcp,ok
cicatriser,other,-3.0,negative,medium,heal,auto:gcp,gcp,ok
