CILUBA,French,French_norm,Score,Score_int,Sentiment,Sentiment_std,Nature,Nature_std,qa_status,english,notes,source,qa_status_translate
Bansatu,Saints,saints,9.0,9.0,Positif,positive,Mot,other,ok,saints,auto:gcp,gcp,ok
Banjelu,Anges,anges,1.0,1.0,Positif,positive,Mot,other,ok,angels,auto:gcp,gcp,ok
Buinvi,Vol,vol,-9.0,-9.0,Negatif,negative,Mot,other,ok,flight,auto:gcp,gcp,ok
Buikila,Ferme,ferme,-8.0,-8.0,Negatif,negative,Mot,other,ok,farm,auto:gcp,gcp,ok
Butaka,Sexe,sexe,3.0,3.0,Positif,positive,Mot,other,ok,sex,auto:gcp,gcp,ok
Bulalu,Lit,lit,2.0,2.0,Positif,positive,Mot,other,ok,bed,auto:gcp,gcp,ok
Bufuka,Fertile,fertile,6.0,6.0,Positif,positive,Mot,other,ok,fertile,auto:gcp,gcp,ok
Buatu,Bateau,bateau,5.0,5.0,Positif,positive,Mot,other,ok,boat,auto:gcp,gcp,ok
Bukula,Farine,farine,8.0,8.0,Positif,positive,Mot,other,ok,flour,auto:gcp,gcp,ok
Kuanyisha,Admirer,admirer,9.0,9.0,Positif,positive,Verbe,verb,ok,admire,auto:gcp,gcp,ok
Kupiana,Adopter,adopter,1.0,1.0,Positif,positive,Verbe,verb,ok,adopt,auto:gcp,gcp,ok
Kuvundula,Agiter,agiter,-8.0,-8.0,Negatif,negative,Verbe,verb,ok,shake,auto:gcp,gcp,ok
Kuambila,Annoncer,annoncer,4.0,4.0,Positif,positive,Verbe,verb,ok,announce,auto:gcp,gcp,ok
Kubabidila,Anticiper,anticiper,5.0,5.0,Positif,positive,Verbe,verb,ok,anticipate,auto:gcp,gcp,ok
Kusanga,Assembler,assembler,9.0,9.0,Positif,positive,Verbe,verb,ok,assemble,auto:gcp,gcp,ok
Mushipu,Automne,automne,-5.0,-5.0,Negatif,negative,Mot,other,ok,autumn,auto:gcp,gcp,ok
Lukinu,Haine,haine,-8.0,-8.0,Negatif,negative,Mot,other,ok,hate,auto:gcp,gcp,ok
Kukoma,Repasser,repasser,3.0,3.0,Positif,positive,Verbe,verb,ok,iron,auto:gcp,gcp,ok
Lusa,Pitié,pitié,4.0,4.0,Positif,positive,Mot,other,ok,pity,auto:gcp,gcp,ok
Kutela,Enumerer,enumerer,6.0,6.0,Positif,positive,Verbe,verb,ok,list,auto:gcp,gcp,ok
Kututa,Frapper,frapper,-5.0,-5.0,Negatif,negative,Verbe,verb,ok,hit,auto:gcp,gcp,ok
Kuenda,Marcher,marcher,7.0,7.0,Positif,positive,Verbe,verb,ok,to walk,auto:gcp,gcp,ok
Kuseka,Rigoler,rigoler,3.0,3.0,Positif,positive,Verbe,verb,ok,to laugh,auto:gcp,gcp,ok
Kupeta,Trouver,trouver,7.0,7.0,Positif,positive,Verbe,verb,ok,find,auto:gcp,gcp,ok
Kukumbaja,Accomplir,accomplir,9.0,9.0,Positif,positive,Verbe,verb,ok,accomplish,auto:gcp,gcp,ok
Kuhuja,Remplir,remplir,1.0,1.0,Positif,positive,Verbe,verb,ok,fill,auto:gcp,gcp,ok
Mulayi,Promesse,promesse,6.0,6.0,Positif,positive,Mot,other,ok,promise,auto:gcp,gcp,ok
Kupesha,Donner,donner,1.0,1.0,Positif,positive,Verbe,verb,ok,give,auto:gcp,gcp,ok
Kuja,Danser,danser,1.0,1.0,Positif,positive,Verbe,verb,ok,to dance,auto:gcp,gcp,ok
Kuimba,Chanter,chanter,5.0,5.0,Positif,positive,Verbe,verb,ok,sing,auto:gcp,gcp,ok
Kupangila,Rater,rater,-9.0,-9.0,Negatif,negative,Verbe,verb,ok,miss,auto:gcp,gcp,ok
Kupangila,Manquer,manquer,-9.0,-9.0,Negatif,negative,Verbe,verb,ok,miss,auto:gcp,gcp,ok
Tshikosu,Raccourcis,raccourcis,4.0,4.0,Positif,positive,Mot,other,ok,shortcuts,auto:gcp,gcp,ok
Kututa,Fouetter,fouetter,-8.0,-8.0,Negatif,negative,Verbe,verb,ok,whip,auto:gcp,gcp,ok
Dimanya,Savoir,savoir,6.0,6.0,Positif,positive,Verbe,verb,ok,know,auto:gcp,gcp,ok
Kulala,Dormir,dormir,2.0,2.0,Positif,positive,Verbe,verb,ok,sleep,auto:gcp,gcp,ok
Kubika,Reveiller,reveiller,1.0,1.0,Positif,positive,Verbe,verb,ok,wake,auto:gcp,gcp,ok
Kukanga,Fermer,fermer,4.0,4.0,Positif,positive,Verbe,verb,ok,close,auto:gcp,gcp,ok
Kulomba,Demander,demander,5.0,5.0,Positif,positive,Verbe,verb,ok,ask,auto:gcp,gcp,ok
Kualuja,Remettre,remettre,2.0,2.0,Positif,positive,Verbe,verb,ok,to put back,auto:gcp,gcp,ok
Kuteka,Deposer,deposer,1.0,1.0,Positif,positive,Verbe,verb,ok,deposit,auto:gcp,gcp,ok
Kulamba,Preparer,preparer,3.0,3.0,Positif,positive,Verbe,verb,ok,prepare,auto:gcp,gcp,ok
Kutua,Manupuler,manupuler,3.0,3.0,Positif,positive,Verbe,verb,ok,manipulate,auto:gcp,gcp,ok
Luntandala,Internet,internet,2.0,2.0,Positif,positive,Mot,other,ok,Internet,auto:gcp,gcp,ok
Kutshiangunya,Mancher,mancher,3.0,3.0,Positif,positive,Verbe,verb,ok,to handle,auto:gcp,gcp,ok
Kuduilulula,Ruminer,ruminer,4.0,4.0,Positif,positive,Verbe,verb,ok,to ruminate,auto:gcp,gcp,ok
Kunyema,Courir,courir,1.0,1.0,Positif,positive,Verbe,verb,ok,run,auto:gcp,gcp,ok
kuipata,Chasser,chasser,-7.0,-7.0,Negatif,negative,Verbe,verb,ok,to hunt,auto:gcp,gcp,ok
Kunvua,Comprendre,comprendre,2.0,2.0,Positif,positive,Verbe,verb,ok,to understand,auto:gcp,gcp,ok
Kukupula,Essuyer,essuyer,1.0,1.0,Positif,positive,Verbe,verb,ok,to wipe,auto:gcp,gcp,ok
Mundindimbi,Ombre,ombre,1.0,1.0,Positif,positive,Mot,other,ok,shadow,auto:gcp,gcp,ok
Muedi,Barbe,barbe,1.0,1.0,Positif,positive,Mot,other,ok,beard,auto:gcp,gcp,ok
Nsuki,Cheveux,cheveux,2.0,2.0,Positif,positive,Mot,other,ok,hair,auto:gcp,gcp,ok
Kudiabakena,Lamanter,lamanter,-5.0,-5.0,Negatif,negative,Verbe,verb,ok,manatee,auto:gcp,gcp,ok
Kuzakala,Trambler,trambler,-9.0,-9.0,Negatif,negative,Verbe,verb,ok,trambler,auto:gcp,gcp,ok
kulaba,frotter,frotter,4.0,4.0,Positif,positive,Verbe,verb,ok,rub,auto:gcp,gcp,ok
kutukakaja,separer,separer,4.0,4.0,Positif,positive,Verbe,verb,ok,separate,auto:gcp,gcp,ok
kuakadila,embrasser,embrasser,4.0,4.0,Positif,positive,Mot,other,ok,to kiss,auto:gcp,gcp,ok
kutentakaja,entasser,entasser,4.0,4.0,Positif,positive,Verbe,verb,ok,pile up,auto:gcp,gcp,ok
kubuidikija,couvrir,couvrir,4.0,4.0,Positif,positive,Verbe,verb,ok,cover,auto:gcp,gcp,ok
kuibaka,construire,construire,4.0,4.0,Positif,positive,Verbe,verb,ok,build,auto:gcp,gcp,ok
kuitaba,accepter,accepter,4.0,4.0,Positif,positive,Verbe,verb,ok,accept,auto:gcp,gcp,ok
kubenga,refuser,refuser,-2.0,-2.0,Negatif,negative,Verbe,verb,ok,refuse,auto:gcp,gcp,ok
kudifuanyikijila,imaginer,imaginer,2.0,2.0,Positif,positive,Verbe,verb,ok,imagine,auto:gcp,gcp,ok
tshisokomenu,refuge,refuge,2.0,2.0,Positif,positive,Verbe,verb,ok,refuge,auto:gcp,gcp,ok
kunzulula,ouvrir,ouvrir,2.0,2.0,Positif,positive,Verbe,verb,ok,open,auto:gcp,gcp,ok
kujandula,decouvrir,decouvrir,2.0,2.0,Positif,positive,Verbe,verb,ok,discover,auto:gcp,gcp,ok
kuvuluka,rappeler,rappeler,2.0,2.0,Positif,positive,Verbe,verb,ok,remind,auto:gcp,gcp,ok
kupuamoyo,oublier,oublier,2.0,2.0,Positif,positive,Verbe,verb,ok,forget,auto:gcp,gcp,ok
kufunda,ecrire,ecrire,2.0,2.0,Positif,positive,Verbe,verb,ok,to write,auto:gcp,gcp,ok
kusumba,acheter,acheter,2.0,2.0,Positif,positive,Verbe,verb,ok,buy,auto:gcp,gcp,ok
nvunda,tourbillon,tourbillon,-4.0,-4.0,Negatif,negative,Mot,other,ok,whirlwind,auto:gcp,gcp,ok
nkuba,foudre,foudre,-4.0,-4.0,Negatif,negative,Mot,other,ok,lightning,auto:gcp,gcp,ok
dikubakuba,tonnere,tonnere,-4.0,-4.0,Negatif,negative,Mot,other,ok,thunder,auto:gcp,gcp,ok
tshiululu,nuage,nuage,1.0,1.0,Positif,positive,Mot,other,ok,cloud,auto:gcp,gcp,ok
malemba,orage,orage,4.0,4.0,Positif,positive,Mot,other,ok,thunderstorm,auto:gcp,gcp,ok
kufunda,accuser,accuser,-2.0,-2.0,Negatif,negative,Verbe,verb,ok,accuse,auto:gcp,gcp,ok
kusungulula,discrimination,discrimination,-3.0,-3.0,Negatif,negative,Mot,other,ok,discrimination,auto:gcp,gcp,ok
kuikisha,reposer,reposer,1.0,1.0,Positif,positive,Verbe,verb,ok,to rest,auto:gcp,gcp,ok
kulomba,mendier,mendier,-5.0,-5.0,Negatif,negative,Verbe,verb,ok,beg,auto:gcp,gcp,ok
mudiavi,gourmant,gourmant,2.0,2.0,Positif,positive,Mot,other,ok,gourmet,auto:gcp,gcp,ok
kuadija,etaler,etaler,2.0,2.0,Positif,positive,Verbe,verb,ok,spread,auto:gcp,gcp,ok
kututula,epoussetter,epoussetter,2.0,2.0,Positif,positive,Verbe,verb,ok,dust,auto:gcp,gcp,ok
kulumbuluisha,juger,juger,2.0,2.0,Positif,positive,Verbe,verb,ok,judge,auto:gcp,gcp,ok
ndumbulula,juge,juge,2.0,2.0,Positif,positive,Mot,other,ok,judge,auto:gcp,gcp,ok
tshimpumpu,grippe,grippe,-3.0,-3.0,Negatif,negative,Mot,other,ok,flu,auto:gcp,gcp,ok
mbangidi,commencement,commencement,6.0,6.0,Positif,positive,Mot,other,ok,beginning,auto:gcp,gcp,ok
kuambula,reprendre,reprendre,3.0,3.0,Positif,positive,Verbe,verb,ok,to resume,auto:gcp,gcp,ok
ngena,enfer,enfer,-9.0,-9.0,Negatif,negative,Mot,other,ok,hell,auto:gcp,gcp,ok
kubuela,entrer,entrer,1.0,1.0,Positif,positive,Verbe,verb,ok,enter,auto:gcp,gcp,ok
muntu,personne,personne,1.0,1.0,Positif,positive,Mot,other,ok,person,auto:gcp,gcp,ok
kupatuka,sortir,sortir,1.0,1.0,Positif,positive,Verbe,verb,ok,to go out,auto:gcp,gcp,ok
dididishi,fenetre,fenetre,1.0,1.0,Positif,positive,Mot,other,ok,window,auto:gcp,gcp,ok
muishi,fumée,fumée,-1.0,-1.0,Negatif,negative,Mot,other,ok,smoke,auto:gcp,gcp,ok
muiishi,pilon,pilon,2.0,2.0,Positif,positive,Mot,other,ok,pestle,auto:gcp,gcp,ok
lupepela,air,air,4.0,4.0,Positif,positive,Mot,other,ok,air,auto:gcp,gcp,ok
mukuna,montagne,montagne,4.0,4.0,Positif,positive,Mot,other,ok,mountain,auto:gcp,gcp,ok
kulaamba,ramper,ramper,4.0,4.0,Positif,positive,Verbe,verb,ok,crawl,auto:gcp,gcp,ok
Kulamba,preparer,preparer,4.0,4.0,Positif,positive,Verbe,verb,ok,prepare,auto:gcp,gcp,ok
kubombeka,tramper,tramper,4.0,4.0,Positif,positive,Verbe,verb,ok,tramp,auto:gcp,gcp,ok
kukosa,trancher,trancher,4.0,4.0,Positif,positive,Verbe,verb,ok,slice,auto:gcp,gcp,ok
kupanda,dechirer,dechirer,-3.0,-3.0,Negatif,negative,Verbe,verb,ok,rip,auto:gcp,gcp,ok
kupemba,moucher,moucher,4.0,4.0,Positif,positive,Verbe,verb,ok,blow your nose,auto:gcp,gcp,ok
kusaminamoyi,manquer,manquer,-2.0,-2.0,Negatif,negative,Verbe,verb,ok,miss,auto:gcp,gcp,ok
kujila,chamailler,chamailler,-1.0,-1.0,Negatif,negative,Verbe,verb,ok,to bicker,auto:gcp,gcp,ok
kukokangana,tirailler,tirailler,-6.0,-6.0,Negatif,negative,Verbe,verb,ok,to tug,auto:gcp,gcp,ok
kukoka,tirer,tirer,2.0,2.0,Positif,positive,Verbe,verb,ok,to pull,auto:gcp,gcp,ok
kuinama,incliner,incliner,2.0,2.0,Positif,positive,Verbe,verb,ok,tilt,auto:gcp,gcp,ok
kumbula,creuser,creuser,2.0,2.0,Positif,positive,Verbe,verb,ok,dig,auto:gcp,gcp,ok
kutubula,trouer,trouer,2.0,2.0,Positif,positive,Verbe,verb,ok,to pierce,auto:gcp,gcp,ok
kukonya,gratter,gratter,-1.0,-1.0,Negatif,negative,Verbe,verb,ok,scratch,auto:gcp,gcp,ok
tshivulukilu,souvenir,souvenir,5.0,5.0,Positif,positive,Verbe,verb,ok,memory,auto:gcp,gcp,ok
kutonda,repentir,repentir,6.0,6.0,Positif,positive,Verbe,verb,ok,repentance,auto:gcp,gcp,ok
kutela,coudre,coudre,2.0,2.0,Positif,positive,Verbe,verb,ok,sew,auto:gcp,gcp,ok
kupela,moudre,moudre,1.0,1.0,Positif,positive,Verbe,verb,ok,grind,auto:gcp,gcp,ok
kusuma,mordre,mordre,-2.0,-2.0,Negatif,negative,Verbe,verb,ok,to bite,auto:gcp,gcp,ok
kudima,cultivre,cultivre,3.0,3.0,Positif,positive,Verbe,verb,ok,cultivate,auto:gcp,gcp,ok
kukuna,semer,semer,2.0,2.0,Positif,positive,Verbe,verb,ok,to sow,auto:gcp,gcp,ok
kuhola,recolter,recolter,4.0,4.0,Positif,positive,Verbe,verb,ok,harvest,auto:gcp,gcp,ok
mulami,gardien,gardien,4.0,4.0,Positif,positive,Mot,other,ok,guardian,auto:gcp,gcp,ok
kuihila,sarcle,sarcle,4.0,4.0,Positif,positive,Mot,other,ok,weed,auto:gcp,gcp,ok
kuhakula,castrer,castrer,4.0,4.0,Positif,positive,Verbe,verb,ok,castrate,auto:gcp,gcp,ok
kutengula,circonsir,circonsir,4.0,4.0,Positif,positive,Verbe,verb,ok,to circumscribe,auto:gcp,gcp,ok
kunungana,murmurer,murmurer,4.0,4.0,Positif,positive,Verbe,verb,ok,whisper,auto:gcp,gcp,ok
kubobesha,murmur,murmur,4.0,4.0,Positif,positive,Verbe,verb,ok,whisper,auto:gcp,gcp,ok
kuluatshisha, faire habiller,faire habiller,4.0,4.0,Positif,positive,Verbe,verb,ok,nan,,,
kuvuadika,habiller,habiller,4.0,4.0,Positif,positive,Verbe,verb,ok,dress,auto:gcp,gcp,ok
munganga,infirmier,infirmier,4.0,4.0,Positif,positive,Mot,other,ok,nurse,auto:gcp,gcp,ok
kumanyisha,informer,informer,4.0,4.0,Positif,positive,Verbe,verb,ok,inform,auto:gcp,gcp,ok
kunvuija,expliquer,expliquer,4.0,4.0,Positif,positive,Verbe,verb,ok,explain,auto:gcp,gcp,ok
kunua,boire,boire,4.0,4.0,Positif,positive,Verbe,verb,ok,drink,auto:gcp,gcp,ok
kusangisha,additionner,additionner,4.0,4.0,Positif,positive,Verbe,verb,ok,add,auto:gcp,gcp,ok
nvita,guerre,guerre,-7.0,-7.0,Negatif,negative,Mot,other,ok,war,auto:gcp,gcp,ok
kujika,enterrer,enterrer,-5.0,-5.0,Negatif,negative,Verbe,verb,ok,bury,auto:gcp,gcp,ok
kuakaja,arranger,arranger,4.0,4.0,Positif,positive,Verbe,verb,ok,arrange,auto:gcp,gcp,ok
kulela,accoucher,accoucher,4.0,4.0,Positif,positive,Verbe,verb,ok,give birth,auto:gcp,gcp,ok
kulengeja,embelir,embelir,4.0,4.0,Positif,positive,Verbe,verb,ok,to beautify,auto:gcp,gcp,ok
kukezula,purifier,purifier,4.0,4.0,Positif,positive,Verbe,verb,ok,purify,auto:gcp,gcp,ok
kusukula,netoyer,netoyer,4.0,4.0,Positif,positive,Verbe,verb,ok,clean,auto:gcp,gcp,ok
kabalamatuku,calendrier,calendrier,4.0,4.0,Positif,positive,Mot,other,ok,calendar,auto:gcp,gcp,ok
kubueja,inserer,inserer,4.0,4.0,Positif,positive,Verbe,verb,ok,insert,auto:gcp,gcp,ok
Kuludika,adresser,adresser,4.0,4.0,Positif,positive,Verbe,verb,ok,address,auto:gcp,gcp,ok
Kubela,eduquer,eduquer,4.0,4.0,Positif,positive,Verbe,verb,ok,educate,auto:gcp,gcp,ok
Tshienzedi,acte,acte,4.0,4.0,Positif,positive,Mot,other,ok,act,auto:gcp,gcp,ok
Kushimuna,vaincre,vaincre,4.0,4.0,Positif,positive,Verbe,verb,ok,to overcome,auto:gcp,gcp,ok
Kutumbisha,louer,louer,4.0,4.0,Positif,positive,Verbe,verb,ok,to rent out,auto:gcp,gcp,ok
kukukuila,adorer,adorer,4.0,4.0,Positif,positive,Verbe,verb,ok,worship,auto:gcp,gcp,ok
Kutangalaja,propager,propager,4.0,4.0,Positif,positive,Verbe,verb,ok,spread,auto:gcp,gcp,ok
Dizakala,tremblement,tremblement,4.0,4.0,Positif,positive,Verbe,verb,ok,tremor,auto:gcp,gcp,ok
Kuzakala,trembler,trembler,4.0,4.0,Positif,positive,Verbe,verb,ok,tremble,auto:gcp,gcp,ok
Kutshibuka,fracturer,fracturer,-5.0,-5.0,Negatif,negative,Verbe,verb,ok,fracture,auto:gcp,gcp,ok
Kukuta,rassasier,rassasier,3.0,3.0,Positif,positive,Verbe,verb,ok,to satiate,auto:gcp,gcp,ok
Kujima,eteindre,eteindre,3.0,3.0,Positif,positive,Verbe,verb,ok,turn off,auto:gcp,gcp,ok
Kutemesha,allumer,allumer,3.0,3.0,Positif,positive,Verbe,verb,ok,to light up,auto:gcp,gcp,ok
kusemena,approcher,approcher,3.0,3.0,Positif,positive,Verbe,verb,ok,approach,auto:gcp,gcp,ok
Kuntekela,observer,observer,3.0,3.0,Positif,positive,Verbe,verb,ok,observe,auto:gcp,gcp,ok
Kufangikisha,ressembler,ressembler,3.0,3.0,Positif,positive,Verbe,verb,ok,look like,auto:gcp,gcp,ok
Kumonununa,revoir,revoir,3.0,3.0,Positif,positive,Verbe,verb,ok,goodbye,auto:gcp,gcp,ok
Kutshina,craindre,craindre,3.0,3.0,Positif,positive,Verbe,verb,ok,to fear,auto:gcp,gcp,ok
Kuluka,vomir,vomir,-3.0,-3.0,Negatif,negative,Verbe,verb,ok,to vomit,auto:gcp,gcp,ok
Miengu,nauser,nauser,-4.0,-4.0,Negatif,negative,Verbe,verb,ok,nauseate,auto:gcp,gcp,ok
tshieleka,serment,serment,4.0,4.0,Positif,positive,Verbe,verb,ok,oath,auto:gcp,gcp,ok
Kowela,nager,nager,4.0,4.0,Positif,positive,Verbe,verb,ok,swim,auto:gcp,gcp,ok
Kudina,noyer,noyer,-2.0,-2.0,Negatif,negative,Verbe,verb,ok,walnut,auto:gcp,gcp,ok
Kuhuyakana,respirer,respirer,5.0,5.0,Positif,positive,Verbe,verb,ok,breathe,auto:gcp,gcp,ok
Kuinyija,plonger,plonger,5.0,5.0,Positif,positive,Verbe,verb,ok,dive,auto:gcp,gcp,ok
Kubola,mouiller,mouiller,-6.0,-6.0,Negatif,negative,Verbe,verb,ok,wet,auto:gcp,gcp,ok
Kubungila,somnoler,somnoler,3.0,3.0,Positif,positive,Verbe,verb,ok,to doze,auto:gcp,gcp,ok
Kulota,rever,rever,3.0,3.0,Positif,positive,Verbe,verb,ok,dream,auto:gcp,gcp,ok
Butuku,nuit,nuit,-5.0,-5.0,Negatif,negative,Mot,other,ok,night,auto:gcp,gcp,ok
Dituku,jour,jour,7.0,7.0,Positif,positive,Mot,other,ok,day,auto:gcp,gcp,ok
Ditunga,pays,pays,7.0,7.0,Positif,positive,Mot,other,ok,country,auto:gcp,gcp,ok
Kumuenena,dominer,dominer,7.0,7.0,Positif,positive,Verbe,verb,ok,dominate,auto:gcp,gcp,ok
Tshimenga,ville,ville,7.0,7.0,Positif,positive,Mot,other,ok,city,auto:gcp,gcp,ok
Mulondi,village,village,7.0,7.0,Positif,positive,Mot,other,ok,village,auto:gcp,gcp,ok
Kuvuma,vibrer,vibrer,7.0,7.0,Positif,positive,Verbe,verb,ok,vibrate,auto:gcp,gcp,ok
Mulondi,coureur,coureur,7.0,7.0,Positif,positive,Verbe,verb,ok,runner,auto:gcp,gcp,ok
Momunyi,voyant,voyant,7.0,7.0,Positif,positive,Verbe,verb,ok,seer,auto:gcp,gcp,ok
Nsanyanga,sentiment,sentiment,7.0,7.0,Positif,positive,Mot,other,ok,feeling,auto:gcp,gcp,ok
Kujingila,souhaiter,souhaiter,7.0,7.0,Positif,positive,Verbe,verb,ok,to wish,auto:gcp,gcp,ok
Kukehesha,reduire,reduire,7.0,7.0,Positif,positive,Verbe,verb,ok,reduce,auto:gcp,gcp,ok
Mavuala,vague,vague,-4.0,-4.0,Negatif,negative,Mot,other,ok,wave,auto:gcp,gcp,ok
tshipepela,tempete,tempete,-4.0,-4.0,Negatif,negative,Mot,other,ok,storm,auto:gcp,gcp,ok
Kudiombola,decevoir,decevoir,-4.0,-4.0,Negatif,negative,Verbe,verb,ok,disappoint,auto:gcp,gcp,ok
Munyengi,cambrioleur,cambrioleur,-4.0,-4.0,Negatif,negative,Verbe,verb,ok,burglar,auto:gcp,gcp,ok
Kukankamija,encourager,encourager,6.0,6.0,Positif,positive,Mot,other,ok,encourage,auto:gcp,gcp,ok
Disankisha,rendreheureux,rendreheureux,6.0,6.0,Positif,positive,Verbe,verb,ok,make happy,auto:gcp,gcp,ok
Diambuluisha,aider,aider,6.0,6.0,Positif,positive,Verbe,verb,ok,help,auto:gcp,gcp,ok
Kumupetesha,apporter,apporter,6.0,6.0,Positif,positive,Verbe,verb,ok,bring,auto:gcp,gcp,ok
Ditekemena,esperance,esperance,6.0,6.0,Positif,positive,Mot,other,ok,hope,auto:gcp,gcp,ok
Kulongesha,enseigner,enseigner,6.0,6.0,Positif,positive,Verbe,verb,ok,teach,auto:gcp,gcp,ok
Kukonkolola,examiner,examiner,6.0,6.0,Positif,positive,Verbe,verb,ok,examine,auto:gcp,gcp,ok
Kanyinganinga,stress,stress,-7.0,-7.0,Negatif,negative,Mot,other,ok,stress,auto:gcp,gcp,ok
Kutantamena,supporter,supporter,5.0,5.0,Positif,positive,Verbe,verb,ok,support,auto:gcp,gcp,ok
Kansungansunga,injustice,injustice,-3.0,-3.0,Negatif,negative,Mot,other,ok,injustice,auto:gcp,gcp,ok
Kukumbaja,realiser,realiser,4.0,4.0,Positif,positive,Verbe,verb,ok,realize,auto:gcp,gcp,ok
Bibunyi,abondance,abondance,4.0,4.0,Positif,positive,Mot,other,ok,abundance,auto:gcp,gcp,ok
Kumbusha,enlever,enlever,4.0,4.0,Positif,positive,Verbe,verb,ok,to remove,auto:gcp,gcp,ok
Tshijiengu,cercle,cercle,4.0,4.0,Positif,positive,Mot,other,ok,circle,auto:gcp,gcp,ok
Buloba,Terre,terre,4.0,4.0,Positif,positive,Mot,other,ok,earth,auto:gcp,gcp,ok
Bionsu,tout,tout,0.0,0.0,Neutre,neutral,Mot,other,ok,All,auto:gcp,gcp,ok
Kuikala,etre,etre,0.0,0.0,Neutre,neutral,Verbe,verb,ok,be,auto:gcp,gcp,ok
Bikukibua,Creature,creature,5.0,5.0,Positif,positive,Mot,other,ok,creature,auto:gcp,gcp,ok
Moyi,vie,vie,5.0,5.0,Positif,positive,Mot,other,ok,life,auto:gcp,gcp,ok
Bulelela,Verité,verité,5.0,5.0,Positif,positive,Mot,other,ok,truth,auto:gcp,gcp,ok
Kufunda,ecrire,ecrire,5.0,5.0,Positif,positive,Verbe,verb,ok,to write,auto:gcp,gcp,ok
