CILUBA,French,French_norm,Score,Score_int,Sentiment,Sentiment_std,Nature,Nature_std,qa_status
Kuhuja,Remplir,remplir,1.0,1.0,Positif,positive,Verbe,verb,ok
Mulayi,Promesse,promesse,6.0,6.0,Positif,positive,Mot,other,ok
Kupesha,Donner,donner,1.0,1.0,Positif,positive,Verbe,verb,ok
Kuja,Danser,danser,1.0,1.0,Positif,positive,Verbe,verb,ok
Kuimba,Chanter,chanter,5.0,5.0,Positif,positive,Verbe,verb,ok
Kupangila,Rater,rater,-9.0,-9.0,Negatif,negative,Verbe,verb,ok
Kupangila,Manquer,manquer,-9.0,-9.0,Negatif,negative,Verbe,verb,ok
Tshikosu,Raccourcis,raccourcis,4.0,4.0,Positif,positive,Mot,other,ok
Kututa,Fouetter,fouetter,-8.0,-8.0,Negatif,negative,Verbe,verb,ok
Dimanya,Savoir,savoir,6.0,6.0,Positif,positive,Verbe,verb,ok
Kulala,Dormir,dormir,2.0,2.0,Positif,positive,Verbe,verb,ok
Kubika,Reveiller,reveiller,1.0,1.0,Positif,positive,Verbe,verb,ok
Kukanga,Fermer,fermer,4.0,4.0,Positif,positive,Verbe,verb,ok
Kulomba,Demander,demander,5.0,5.0,Positif,positive,Verbe,verb,ok
Kualuja,Remettre,remettre,2.0,2.0,Positif,positive,Verbe,verb,ok
Kuteka,Deposer,deposer,1.0,1.0,Positif,positive,Verbe,verb,ok
Kulamba,Preparer,preparer,3.0,3.0,Positif,positive,Verbe,verb,ok
Kutua,Manupuler,manupuler,3.0,3.0,Positif,positive,Verbe,verb,ok
Luntandala,Internet,internet,2.0,2.0,Positif,positive,Mot,other,ok
Kutshiangunya,Mancher,mancher,3.0,3.0,Positif,positive,Verbe,verb,ok
Kuduilulula,Ruminer,ruminer,4.0,4.0,Positif,positive,Verbe,verb,ok
Kunyema,Courir,courir,1.0,1.0,Positif,positive,Verbe,verb,ok
kuipata,Chasser,chasser,-7.0,-7.0,Negatif,negative,Verbe,verb,ok
Kunvua,Comprendre,comprendre,2.0,2.0,Positif,positive,Verbe,verb,ok
Kukupula,Essuyer,essuyer,1.0,1.0,Positif,positive,Verbe,verb,ok
Mundindimbi,Ombre,ombre,1.0,1.0,Positif,positive,Mot,other,ok
Muedi,Barbe,barbe,1.0,1.0,Positif,positive,Mot,other,ok
Nsuki,Cheveux,cheveux,2.0,2.0,Positif,positive,Mot,other,ok
Kudiabakena,Lamanter,lamanter,-5.0,-5.0,Negatif,negative,Verbe,verb,ok
Kuzakala,Trambler,trambler,-9.0,-9.0,Negatif,negative,Verbe,verb,ok
kulaba,frotter,frotter,4.0,4.0,Positif,positive,Verbe,verb,ok
kutukakaja,separer,separer,4.0,4.0,Positif,positive,Verbe,verb,ok
kuakadila,embrasser,embrasser,4.0,4.0,Positif,positive,Mot,other,ok
kutentakaja,entasser,entasser,4.0,4.0,Positif,positive,Verbe,verb,ok
kubuidikija,couvrir,couvrir,4.0,4.0,Positif,positive,Verbe,verb,ok
kuibaka,construire,construire,4.0,4.0,Positif,positive,Verbe,verb,ok
kuitaba,accepter,accepter,4.0,4.0,Positif,positive,Verbe,verb,ok
kubenga,refuser,refuser,-2.0,-2.0,Negatif,negative,Verbe,verb,ok
kudifuanyikijila,imaginer,imaginer,2.0,2.0,Positif,positive,Verbe,verb,ok
tshisokomenu,refuge,refuge,2.0,2.0,Positif,positive,Verbe,verb,ok
kunzulula,ouvrir,ouvrir,2.0,2.0,Positif,positive,Verbe,verb,ok
kujandula,decouvrir,decouvrir,2.0,2.0,Positif,positive,Verbe,verb,ok
kuvuluka,rappeler,rappeler,2.0,2.0,Positif,positive,Verbe,verb,ok
kupuamoyo,oublier,oublier,2.0,2.0,Positif,positive,Verbe,verb,ok
kufunda,ecrire,ecrire,2.0,2.0,Positif,positive,Verbe,verb,ok
kusumba,acheter,acheter,2.0,2.0,Positif,positive,Verbe,verb,ok
nvunda,tourbillon,tourbillon,-4.0,-4.0,Negatif,negative,Mot,other,ok
nkuba,foudre,foudre,-4.0,-4.0,Negatif,negative,Mot,other,ok
dikubakuba,tonnere,tonnere,-4.0,-4.0,Negatif,negative,Mot,other,ok
tshiululu,nuage,nuage,1.0,1.0,Positif,positive,Mot,other,ok
malemba,orage,orage,4.0,4.0,Positif,positive,Mot,other,ok
kufunda,accuser,accuser,-2.0,-2.0,Negatif,negative,Verbe,verb,ok
kusungulula,discrimination,discrimination,-3.0,-3.0,Negatif,negative,Mot,other,ok
kuikisha,reposer,reposer,1.0,1.0,Positif,positive,Verbe,verb,ok
kulomba,mendier,mendier,-5.0,-5.0,Negatif,negative,Verbe,verb,ok
mudiavi,gourmant,gourmant,2.0,2.0,Positif,positive,Mot,other,ok
kuadija,etaler,etaler,2.0,2.0,Positif,positive,Verbe,verb,ok
kututula,epoussetter,epoussetter,2.0,2.0,Positif,positive,Verbe,verb,ok
kulumbuluisha,juger,juger,2.0,2.0,Positif,positive,Verbe,verb,ok
ndumbulula,juge,juge,2.0,2.0,Positif,positive,Mot,other,ok
tshimpumpu,grippe,grippe,-3.0,-3.0,Negatif,negative,Mot,other,ok
mbangidi,commencement,commencement,6.0,6.0,Positif,positive,Mot,other,ok
kuambula,reprendre,reprendre,3.0,3.0,Positif,positive,Verbe,verb,ok
ngena,enfer,enfer,-9.0,-9.0,Negatif,negative,Mot,other,ok
kubuela,entrer,entrer,1.0,1.0,Positif,positive,Verbe,verb,ok
muntu,personne,personne,1.0,1.0,Positif,positive,Mot,other,ok
kupatuka,sortir,sortir,1.0,1.0,Positif,positive,Verbe,verb,ok
dididishi,fenetre,fenetre,1.0,1.0,Positif,positive,Mot,other,ok
muishi,fumée,fumée,-1.0,-1.0,Negatif,negative,Mot,other,ok
muiishi,pilon,pilon,2.0,2.0,Positif,positive,Mot,other,ok
lupepela,air,air,4.0,4.0,Positif,positive,Mot,other,ok
mukuna,montagne,montagne,4.0,4.0,Positif,positive,Mot,other,ok
kulaamba,ramper,ramper,4.0,4.0,Positif,positive,Verbe,verb,ok
Kulamba,preparer,preparer,4.0,4.0,Positif,positive,Verbe,verb,ok
kubombeka,tramper,tramper,4.0,4.0,Positif,positive,Verbe,verb,ok
kukosa,trancher,trancher,4.0,4.0,Positif,positive,Verbe,verb,ok
kupanda,dechirer,dechirer,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
kupemba,moucher,moucher,4.0,4.0,Positif,positive,Verbe,verb,ok
kusaminamoyi,manquer,manquer,-2.0,-2.0,Negatif,negative,Verbe,verb,ok
kujila,chamailler,chamailler,-1.0,-1.0,Negatif,negative,Verbe,verb,ok
kukokangana,tirailler,tirailler,-6.0,-6.0,Negatif,negative,Verbe,verb,ok
kukoka,tirer,tirer,2.0,2.0,Positif,positive,Verbe,verb,ok
kuinama,incliner,incliner,2.0,2.0,Positif,positive,Verbe,verb,ok
kumbula,creuser,creuser,2.0,2.0,Positif,positive,Verbe,verb,ok
kutubula,trouer,trouer,2.0,2.0,Positif,positive,Verbe,verb,ok
kukonya,gratter,gratter,-1.0,-1.0,Negatif,negative,Verbe,verb,ok
tshivulukilu,souvenir,souvenir,5.0,5.0,Positif,positive,Verbe,verb,ok
kutonda,repentir,repentir,6.0,6.0,Positif,positive,Verbe,verb,ok
kutela,coudre,coudre,2.0,2.0,Positif,positive,Verbe,verb,ok
kupela,moudre,moudre,1.0,1.0,Positif,positive,Verbe,verb,ok
kusuma,mordre,mordre,-2.0,-2.0,Negatif,negative,Verbe,verb,ok
kudima,cultivre,cultivre,3.0,3.0,Positif,positive,Verbe,verb,ok
kukuna,semer,semer,2.0,2.0,Positif,positive,Verbe,verb,ok
kuhola,recolter,recolter,4.0,4.0,Positif,positive,Verbe,verb,ok
mulami,gardien,gardien,4.0,4.0,Positif,positive,Mot,other,ok
kuihila,sarcle,sarcle,4.0,4.0,Positif,positive,Mot,other,ok
kuhakula,castrer,castrer,4.0,4.0,Positif,positive,Verbe,verb,ok
kutengula,circonsir,circonsir,4.0,4.0,Positif,positive,Verbe,verb,ok
kunungana,murmurer,murmurer,4.0,4.0,Positif,positive,Verbe,verb,ok
kubobesha,murmur,murmur,4.0,4.0,Positif,positive,Verbe,verb,ok
kuluatshisha, faire habiller,faire habiller,4.0,4.0,Positif,positive,Verbe,verb,ok
kuvuadika,habiller,habiller,4.0,4.0,Positif,positive,Verbe,verb,ok
munganga,infirmier,infirmier,4.0,4.0,Positif,positive,Mot,other,ok
kumanyisha,informer,informer,4.0,4.0,Positif,positive,Verbe,verb,ok
kunvuija,expliquer,expliquer,4.0,4.0,Positif,positive,Verbe,verb,ok
kunua,boire,boire,4.0,4.0,Positif,positive,Verbe,verb,ok
kusangisha,additionner,additionner,4.0,4.0,Positif,positive,Verbe,verb,ok
nvita,guerre,guerre,-7.0,-7.0,Negatif,negative,Mot,other,ok
kujika,enterrer,enterrer,-5.0,-5.0,Negatif,negative,Verbe,verb,ok
kuakaja,arranger,arranger,4.0,4.0,Positif,positive,Verbe,verb,ok
kulela,accoucher,accoucher,4.0,4.0,Positif,positive,Verbe,verb,ok
kulengeja,embelir,embelir,4.0,4.0,Positif,positive,Verbe,verb,ok
kukezula,purifier,purifier,4.0,4.0,Positif,positive,Verbe,verb,ok
kusukula,netoyer,netoyer,4.0,4.0,Positif,positive,Verbe,verb,ok
kabalamatuku,calendrier,calendrier,4.0,4.0,Positif,positive,Mot,other,ok
kubueja,inserer,inserer,4.0,4.0,Positif,positive,Verbe,verb,ok
Kuludika,adresser,adresser,4.0,4.0,Positif,positive,Verbe,verb,ok
Kubela,eduquer,eduquer,4.0,4.0,Positif,positive,Verbe,verb,ok
Tshienzedi,acte,acte,4.0,4.0,Positif,positive,Mot,other,ok
Kushimuna,vaincre,vaincre,4.0,4.0,Positif,positive,Verbe,verb,ok
Kutumbisha,louer,louer,4.0,4.0,Positif,positive,Verbe,verb,ok
kukukuila,adorer,adorer,4.0,4.0,Positif,positive,Verbe,verb,ok
Kutangalaja,propager,propager,4.0,4.0,Positif,positive,Verbe,verb,ok
Dizakala,tremblement,tremblement,4.0,4.0,Positif,positive,Verbe,verb,ok
Kuzakala,trembler,trembler,4.0,4.0,Positif,positive,Verbe,verb,ok
Kutshibuka,fracturer,fracturer,-5.0,-5.0,Negatif,negative,Verbe,verb,ok
Kukuta,rassasier,rassasier,3.0,3.0,Positif,positive,Verbe,verb,ok
Kujima,eteindre,eteindre,3.0,3.0,Positif,positive,Verbe,verb,ok
Kutemesha,allumer,allumer,3.0,3.0,Positif,positive,Verbe,verb,ok
kusemena,approcher,approcher,3.0,3.0,Positif,positive,Verbe,verb,ok
Kuntekela,observer,observer,3.0,3.0,Positif,positive,Verbe,verb,ok
Kufangikisha,ressembler,ressembler,3.0,3.0,Positif,positive,Verbe,verb,ok
Kumonununa,revoir,revoir,3.0,3.0,Positif,positive,Verbe,verb,ok
Kutshina,craindre,craindre,3.0,3.0,Positif,positive,Verbe,verb,ok
Kuluka,vomir,vomir,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
Miengu,nauser,nauser,-4.0,-4.0,Negatif,negative,Verbe,verb,ok
tshieleka,serment,serment,4.0,4.0,Positif,positive,Verbe,verb,ok
Kowela,nager,nager,4.0,4.0,Positif,positive,Verbe,verb,ok
Kudina,noyer,noyer,-2.0,-2.0,Negatif,negative,Verbe,verb,ok
Kuhuyakana,respirer,respirer,5.0,5.0,Positif,positive,Verbe,verb,ok
Kuinyija,plonger,plonger,5.0,5.0,Positif,positive,Verbe,verb,ok
Kubola,mouiller,mouiller,-6.0,-6.0,Negatif,negative,Verbe,verb,ok
Kubungila,somnoler,somnoler,3.0,3.0,Positif,positive,Verbe,verb,ok
Kulota,rever,rever,3.0,3.0,Positif,positive,Verbe,verb,ok
Butuku,nuit,nuit,-5.0,-5.0,Negatif,negative,Mot,other,ok
Dituku,jour,jour,7.0,7.0,Positif,positive,Mot,other,ok
Ditunga,pays,pays,7.0,7.0,Positif,positive,Mot,other,ok
Kumuenena,dominer,dominer,7.0,7.0,Positif,positive,Verbe,verb,ok
Tshimenga,ville,ville,7.0,7.0,Positif,positive,Mot,other,ok
Mulondi,village,village,7.0,7.0,Positif,positive,Mot,other,ok
Kuvuma,vibrer,vibrer,7.0,7.0,Positif,positive,Verbe,verb,ok
Mulondi,coureur,coureur,7.0,7.0,Positif,positive,Verbe,verb,ok
Momunyi,voyant,voyant,7.0,7.0,Positif,positive,Verbe,verb,ok
Nsanyanga,sentiment,sentiment,7.0,7.0,Positif,positive,Mot,other,ok
Kujingila,souhaiter,souhaiter,7.0,7.0,Positif,positive,Verbe,verb,ok
Kukehesha,reduire,reduire,7.0,7.0,Positif,positive,Verbe,verb,ok
Mavuala,vague,vague,-4.0,-4.0,Negatif,negative,Mot,other,ok
tshipepela,tempete,tempete,-4.0,-4.0,Negatif,negative,Mot,other,ok
Kudiombola,decevoir,decevoir,-4.0,-4.0,Negatif,negative,Verbe,verb,ok
Munyengi,cambrioleur,cambrioleur,-4.0,-4.0,Negatif,negative,Verbe,verb,ok
Kukankamija,encourager,encourager,6.0,6.0,Positif,positive,Mot,other,ok
Disankisha,rendreheureux,rendreheureux,6.0,6.0,Positif,positive,Verbe,verb,ok
Diambuluisha,aider,aider,6.0,6.0,Positif,positive,Verbe,verb,ok
Kumupetesha,apporter,apporter,6.0,6.0,Positif,positive,Verbe,verb,ok
Ditekemena,esperance,esperance,6.0,6.0,Positif,positive,Mot,other,ok
Kulongesha,enseigner,enseigner,6.0,6.0,Positif,positive,Verbe,verb,ok
Kukonkolola,examiner,examiner,6.0,6.0,Positif,positive,Verbe,verb,ok
Kanyinganinga,stress,stress,-7.0,-7.0,Negatif,negative,Mot,other,ok
Kutantamena,supporter,supporter,5.0,5.0,Positif,positive,Verbe,verb,ok
Kansungansunga,injustice,injustice,-3.0,-3.0,Negatif,negative,Mot,other,ok
Kukumbaja,realiser,realiser,4.0,4.0,Positif,positive,Verbe,verb,ok
Bibunyi,abondance,abondance,4.0,4.0,Positif,positive,Mot,other,ok
Kumbusha,enlever,enlever,4.0,4.0,Positif,positive,Verbe,verb,ok
Tshijiengu,cercle,cercle,4.0,4.0,Positif,positive,Mot,other,ok
Buloba,Terre,terre,4.0,4.0,Positif,positive,Mot,other,ok
Bionsu,tout,tout,0.0,0.0,Neutre,neutral,Mot,other,ok
Kuikala,etre,etre,0.0,0.0,Neutre,neutral,Verbe,verb,ok
Bikukibua,Creature,creature,5.0,5.0,Positif,positive,Mot,other,ok
Moyi,vie,vie,5.0,5.0,Positif,positive,Mot,other,ok
Bulelela,Verité,verité,5.0,5.0,Positif,positive,Mot,other,ok
Kufunda,ecrire,ecrire,5.0,5.0,Positif,positive,Verbe,verb,ok
Kunianga,abimer,abimer,-4.0,-4.0,Negatif,negative,Verbe,verb,ok
Kumanyisha,informer,informer,3.0,3.0,Positif,positive,Verbe,verb,ok
Biabunyi,beaucoup,beaucoup,3.0,3.0,Positif,positive,Mot,other,ok
Tshikondo,periode,periode,3.0,3.0,Positif,positive,Mot,other,ok
Tshilejelu,exemple,exemple,3.0,3.0,Positif,positive,Mot,other,ok
Dimanyia,connaissance,connaissance,3.0,3.0,Positif,positive,Mot,other,ok
Mpokolo,source,source,3.0,3.0,Positif,positive,Mot,other,ok
Wa,de,de,0.0,0.0,Neutre,neutral,Article,article,ok
Bakuabu,d'autre,d'autre,0.0,0.0,Neutre,neutral,Mot,other,ok
Kuangata,prendre,prendre,2.0,2.0,Positif,positive,Verbe,verb,ok
Tshibuashabuasha,univers,univers,2.0,2.0,Positif,positive,Mot,other,ok
Mitoto,etiole,etiole,2.0,2.0,Positif,positive,Mot,other,ok
Butoke,eclairer,eclairer,2.0,2.0,Positif,positive,Verbe,verb,ok
Mushindu,façon,façon,2.0,2.0,Positif,positive,Mot,other,ok
Kuteleja,ecouter,ecouter,2.0,2.0,Positif,positive,Verbe,verb,ok
Diyi,voix,voix,2.0,2.0,Positif,positive,Mot,other,ok
Mubidi,corps,corps,2.0,2.0,Positif,positive,Mot,other,ok
Mashi,sang,sang,2.0,2.0,Positif,positive,Mot,other,ok
Kumona,voir,voir,2.0,2.0,Positif,positive,Verbe,verb,ok
Kuitaba,accepter,accepter,2.0,2.0,Positif,positive,Verbe,verb,ok
Mpukampuka,hasard,hasard,2.0,2.0,Positif,positive,Mot,other,ok
tshibingishilu,commencement,commencement,2.0,2.0,Positif,positive,Mot,other,ok
Tshinfuanyi,image,image,2.0,2.0,Positif,positive,Mot,other,ok
Ngikadilu,qualiter,qualiter,2.0,2.0,Positif,positive,Mot,other,ok
Bukokeshi,autoriter,autoriter,2.0,2.0,Positif,positive,Mot,other,ok
Dishilangana,different,different,2.0,2.0,Positif,positive,Mot,other,ok
Kusambila,prier,prier,2.0,2.0,Positif,positive,Verbe,verb,ok
Kukumbana,convenir,convenir,2.0,2.0,Positif,positive,Verbe,verb,ok
Bulunda,amitier,amitier,2.0,2.0,Positif,positive,Mot,other,ok
Kulua,venir,venir,2.0,2.0,Positif,positive,Verbe,verb,ok
Mushinga,prix,prix,2.0,2.0,Positif,positive,Mot,other,ok
kusemena,approcher,approcher,2.0,2.0,Positif,positive,Verbe,verb,ok
Kuambuluisha,aider,aider,2.0,2.0,Positif,positive,Verbe,verb,ok
Kusamba,consoller,consoller,2.0,2.0,Positif,positive,Verbe,verb,ok
Kusankisha,rejouire,rejouire,2.0,2.0,Positif,positive,Verbe,verb,ok
kushintuluka,changer,changer,2.0,2.0,Positif,positive,Verbe,verb,ok
Makenga,souffrance,souffrance,2.0,2.0,Positif,positive,Mot,other,ok
Kuludika,redresser,redresser,2.0,2.0,Positif,positive,Verbe,verb,ok
Kuenza,faire,faire,2.0,2.0,Positif,positive,Verbe,verb,ok
kulomba,Demander,demander,2.0,2.0,Positif,positive,Verbe,verb,ok
Kupumuna,epancher,epancher,2.0,2.0,Positif,positive,Verbe,verb,ok
Ditalala,paix,paix,2.0,2.0,Positif,positive,Mot,other,ok
Kudisangisha,reunir,reunir,2.0,2.0,Positif,positive,Verbe,verb,ok
Diku,famille,famille,2.0,2.0,Positif,positive,Mot,other,ok
Tshisumbu,groupe,groupe,2.0,2.0,Positif,positive,Mot,other,ok
Mikenji,lois,lois,2.0,2.0,Positif,positive,Mot,other,ok
Ntemu,temoin,temoin,2.0,2.0,Positif,positive,Mot,other,ok
Kushima,mentir,mentir,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
Tshisangilu,reunion,reunion,4.0,4.0,Positif,positive,Mot,other,ok
Pamuapa,defois,defois,4.0,4.0,Positif,positive,Mot,other,ok
Kuseka,Rigoler,rigoler,4.0,4.0,Positif,positive,Verbe,verb,ok
Kuibidila,habitude,habitude,4.0,4.0,Positif,positive,Mot,other,ok
Madilu,deuil,deuil,-6.0,-6.0,Negatif,negative,Mot,other,ok
Kuibaka,construire,construire,3.0,3.0,Positif,positive,Verbe,verb,ok
Bipepela,facile,facile,3.0,3.0,Positif,positive,Mot,other,ok
Kusungula,choisire,choisire,3.0,3.0,Positif,positive,Verbe,verb,ok
kulomba,Demander,demander,3.0,3.0,Positif,positive,Verbe,verb,ok
Bulongolodi,organisation,organisation,3.0,3.0,Positif,positive,Mot,other,ok
Kucimuna,vincrait,vincrait,3.0,3.0,Positif,positive,Mot,other,ok
Kusuminyina,ainsister,ainsister,3.0,3.0,Positif,positive,Verbe,verb,ok
Kutunguluka,continuer,continuer,3.0,3.0,Positif,positive,Verbe,verb,ok
Mufuki,createur,createur,3.0,3.0,Positif,positive,Mot,other,ok
Kukokela,soumission,soumission,3.0,3.0,Positif,positive,Mot,other,ok
Disanka,joie,joie,3.0,3.0,Positif,positive,Mot,other,ok
Kukumbajia,ajouter,ajouter,3.0,3.0,Positif,positive,Verbe,verb,ok
Mukaji,femme,femme,3.0,3.0,Positif,positive,Mot,other,ok
mudimu,travail,travail,3.0,3.0,Positif,positive,Verbe,verb,ok
Kabutu,destruiction,destruiction,3.0,3.0,Positif,positive,Mot,other,ok
Lukuka,aviditer,aviditer,3.0,3.0,Positif,positive,Mot,other,ok
Muana,descendance,descendance,3.0,3.0,Positif,positive,Mot,other,ok
Biabunyi,immence,immence,3.0,3.0,Positif,positive,Mot,other,ok
Lulamatu,fideliter,fideliter,3.0,3.0,Positif,positive,Mot,other,ok
Kudipuekesha,humilter,humilter,3.0,3.0,Positif,positive,Mot,other,ok
Kukuba,proteger,proteger,3.0,3.0,Positif,positive,Verbe,verb,ok
Ciendelela,eterniter,eterniter,3.0,3.0,Positif,positive,Mot,other,ok
Dishintuluka,changement,changement,3.0,3.0,Positif,positive,Mot,other,ok
Ditumikila,obeisance,obeisance,3.0,3.0,Positif,positive,Mot,other,ok
disanka,bonheur,bonheur,3.0,3.0,Positif,positive,Mot,other,ok
dibungama,tristesse,tristesse,-1.0,-1.0,Negatif,negative,Mot,other,ok
tshinji,colere,colere,-4.0,-4.0,Negatif,negative,Mot,other,ok
bowa,peur,peur,-6.0,-6.0,Negatif,negative,Mot,other,ok
ditalala,paix,paix,5.0,5.0,Positif,positive,Mot,other,ok
kukuata,reusir,reusir,5.0,5.0,Positif,positive,Verbe,verb,ok
kubula,echec,echec,-5.0,-5.0,Negatif,negative,Mot,other,ok
ditekemena,confiance,confiance,4.0,4.0,Positif,positive,Mot,other,ok
kuseka,sourire,sourire,6.0,6.0,Positif,positive,Verbe,verb,ok
bisonji,Larmes,larmes,-3.0,-3.0,Negatif,negative,Mot,other,ok
ditekemena,espoir,espoir,2.0,2.0,Positif,positive,Mot,other,ok
kuvuluka,souvenir,souvenir,3.0,3.0,Positif,positive,Mot,other,ok
kubengakutekemena,desespoir,desespoir,-7.0,-7.0,Negatif,negative,Mot,other,ok
moyimukola,courage,courage,1.0,1.0,Positif,positive,Mot,other,ok
tungunuka,continuer,continuer,1.0,1.0,Positif,positive,Verbe,verb,ok
mudikadila,liberter,liberter,1.0,1.0,Positif,positive,Mot,other,ok
kukudimuna,trasformer,trasformer,1.0,1.0,Positif,positive,Verbe,verb,ok
kukola,grandir,grandir,1.0,1.0,Positif,positive,Verbe,verb,ok
kulongesha,enseigne,enseigne,1.0,1.0,Positif,positive,Mot,other,ok
tshisumi,perceverance,perceverance,1.0,1.0,Positif,positive,Mot,other,ok
kubenga,refuser,refuser,-2.0,-2.0,Negatif,negative,Verbe,verb,ok
kubela,reprimande,reprimande,-4.0,-4.0,Negatif,negative,Mot,other,ok
kulomba,demander,demander,4.0,4.0,Positif,positive,Verbe,verb,ok
bundu,honte,honte,-3.0,-3.0,Negatif,negative,Mot,other,ok
lupepela,air,air,2.0,2.0,Positif,positive,Mot,other,ok
buloba,monde,monde,2.0,2.0,Positif,positive,Mot,other,ok
anumpidieu,immediatement,immediatement,2.0,2.0,Positif,positive,Mot,other,ok
bualubudimuakuezeka,possible,possible,2.0,2.0,Positif,positive,Mot,other,ok
bualubudikabuyimuakuezeka,impossible,impossible,-2.0,-2.0,Negatif,negative,Mot,other,ok
buabualukayi,pourquoi,pourquoi,0.0,0.0,Negatif,negative,Mot,other,ok
