CILUBA,French,Score,Sentiment,Nature,
kubula,echec,-5,Negatif,Mot,
ditekemena,confiance,4,Positif,Mot,
kuseka,sourire,6,Positif,Verbe,
bisonji,Larmes,-3,Negatif,Mot,
ditekemena,espoir,2,Positif,Mot,
kuvuluka,souvenir,3,Positif,Mot,
kubengakutekemena,desespoir,-7,Negatif,Mot,
moyimukola,courage,1,Positif,Mot,
tungunuka,continuer,1,Positif,Verbe,
mudikadila,liberter,1,Positif,Mot,
kukudimuna,trasformer,1,Positif,Verbe,
kukola,grandir,1,Positif,Verbe,
kulongesha,enseigne,1,Positif,Mot,
tshisumi,perceverance,1,Positif,Mot,
kubenga,refuser,-2,Negatif,Verbe,
kubela,reprimande,-4,Negatif,Mot,
kulomba,demander,4,Positif,Verbe,
bundu,honte,-3,Negatif,Mot,
lupepela,air,2,Positif,Mot,
buloba,monde,2,Positif,Mot,
anumpidieu,immediatement,2,Positif,Mot,
bualubudimuakuezeka,possible,2,Positif,Mot,
bualubudikabuyimuakuezeka,impossible,-2,Negatif,Mot,
buabualukayi,pourquoi,0,Negatif,Mot,
biakana,parfaite,4,Positif,Mot,
muenacilema,egoiste,-5,Negatif,Mot,
umueka,visible,6,Positif,Mot,
kayilulamatu,infidele,-3,Negatif,Mot,
lulamatu,fidele,3,Positif,Mot,
disengelela,supplication,3,Positif,Mot,
dipingana,retour,3,Positif,Mot,
dikudimuna,variation,3,Positif,Mot,
dikuatshisha,contribuer,3,Positif,Verbe,
dikanyina,menace,-5,Negatif,Mot,
dijimina,disparaitre,-6,Negatif,Mot,
difuilalusa,pardon,1,Positif,Mot,
dibela,discipline,1,Positif,Mot,
dibingishibua,justification,1,Positif,Mot,
kutangila,surveillance,1,Positif,Mot,
mukawu,jalousie,-8,Negatif,Mot,
kuanyishibua,satisfaction,4,Positif,Mot,
dinyingalala,regret,-8,Negatif,Mot,
disanka,enthousiasme,4,Positif,Mot,
kushikija,determination,4,Positif,Mot,
kukina,hair,-5,Negatif,Mot,
dielekana,inquietude,-4,Negatif,Mot,
dilenga,bonne,3,Positif,Mot,
dituku,journée,3,Positif,Mot,
muedi,barbe,3,Positif,Mot,
mukana,bouche,3,Positif,Mot,
diboko,bras,3,Positif,Mot,
bongo,cerveau,3,Positif,Mot,
kasuki,cheveu,3,Positif,Mot,
kampombe,cheville,3,Positif,Mot,
lukofi,cil,3,Positif,Mot,
muoyo,cœur,3,Positif,Mot,
nuongo,colonnevertébrale,3,Positif,Mot,
mubidi,corps,3,Positif,Mot,
libadi,cote,3,Positif,Mot,
nshingu,cou,3,Positif,Mot,
lukenyibu,coude,3,Positif,Mot,
tshibalubalu,crane,3,Positif,Mot,
tshibelo,cuisse,3,Positif,Mot,
dinu,dent,3,Positif,Mot,
munu,doigt,3,Positif,Mot,
nyima,dos,3,Positif,Mot,
dikaya,épaule,3,Positif,Mot,
tshifu,estomac,3,Positif,Mot,
ditaku,fesse,3,Positif,Mot,
mutshima,foie,3,Positif,Mot,
mpala,front,3,Positif,Mot,
tsinu,genou,3,Positif,Mot,
diminu,gorge,3,Positif,Mot,
kunyema,courrir,3,Positif,Verbe,
kudila,pleurer,-7,Negatif,Verbe,
kusambila,prier,5,Positif,Verbe,
kudima,cultiver,5,Positif,Verbe,
kusalula,labourer,5,Positif,Verbe,
luteta,graine,5,Positif,Mot,
munya,soleil,5,Positif,Mot,
budimi,champ,5,Positif,Mot,
bowa,champignon,5,Positif,Mot,
buanga,fêtiche,-1,Negatif,Mot,
manga,medicaments,2,Positif,Mot,
kudia,manger,2,Positif,Verbe,
tshisanji,radio,2,Positif,Mot,
tshisangilu,ristourne,2,Positif,Mot,
kasengulu,tamis,2,Positif,Mot,
njiwu,danger,-6,Negatif,Verbe,
kulongolola,arranger,3,Positif,Verbe,
bunyi,Motbre,3,Positif,Mot,
kukezula,purifier,3,Positif,Verbe,
kubikakulufu,ressuciter,1,Positif,Verbe,
bangilu,debut,1,Positif,Mot,
kubika,sereveiller,1,Positif,Verbe,
kulala,dormir,1,Positif,Verbe,
nshinga,fil,1,Positif,Mot,
bubi,mal,-1,Negatif,Mot,
disanka,joie,4,Positif,Mot,
buta,sandre,3,Positif,Mot,
tshingoma,arme,-4,Negatif,Mot,
nkuasa,chaise,2,Positif,Mot,
diba,montre,2,Positif,Mot,
ngondo,lune,2,Positif,Mot,
ditu,journer,2,Positif,Mot,
nyama,animal,2,Positif,Mot,
lumingu,semaine,2,Positif,Mot,
nsangilu,assemblée,2,Positif,Mot,
biheta,résulat,2,Positif,Mot,
mateta,examen,2,Positif,Mot,
kunyema,fuir,2,Positif,Verbe,
kusama,maladie,-2,Negatif,Mot,
ludimi,langue,4,Positif,Mot,
matshi,oreille,4,Positif,Mot,
nshingu,cou,4,Positif,Mot,
muaku,Mot,4,Positif,Mot,
lupepela,air,4,Positif,Mot,
kusomba,s'asseoire,4,Positif,Verbe,
ngondo,mois,4,Positif,Mot,
kulua,venir,4,Positif,Verbe,
kuya,partir,4,Positif,Verbe,
tshibasa,banc,4,Positif,Mot,
dibeji,papier,4,Positif,Mot,
kabudimbua,sachet,4,Positif,Mot,
kabudimbua,macadame,4,Positif,Mot,
njila,route,4,Positif,Mot,
benketshi,sceau,4,Positif,Mot,
kusamuna,louer,4,Positif,Verbe,
kukukuila,adorer,4,Positif,Verbe,
kosha,brûler,4,Positif,Verbe,
luwongu,ravin,4,Positif,Mot,
bulalu,lit,4,Positif,Mot,
mitshi,arbre,4,Positif,Mot,
kushiya,laisser,4,Positif,Verbe,
dingeya,mangue,4,Positif,Mot,
tshimuma,fruit,4,Positif,Mot,
kabuta,malette,4,Positif,Mot,
bukula,farine,4,Positif,Mot,
kutokesha,blanchir,1,Positif,Verbe,
butoka,blancheur,1,Positif,Mot,
kufunda,ecrire,1,Positif,Verbe,
kunvua,entendre,1,Positif,Verbe,
kuteleja,ecouter,1,Positif,Verbe,
kusengelela,supplier,1,Positif,Verbe,
bitotshi,boue,1,Positif,Mot,
kulongesha,enseigner,1,Positif,Verbe,
kupatuka,sortir,1,Positif,Verbe,
kuvuala,porter,1,Positif,Verbe,
ndenji,bebiteur,1,Positif,Mot,
kunaya,jouer,1,Positif,Verbe,
mubangila,fiancer,1,Positif,Mot,
muanzankongolu,arcenciel,1,Positif,Mot,
nvula,pluie,1,Positif,Mot,
tumbela,arachide,1,Positif,Mot,
kubola,pourrir,-2,Negatif,Mot,
moyi,salutation,3,Positif,Mot,
dinu,dent,3,Positif,Mot,
luzadi,ongle,3,Positif,Mot,
mushiku,lèvre,3,Positif,Mot,
muedi,barbe,3,Positif,Mot,
tshina,troue,3,Positif,Mot,
lukita,tombeau,3,Positif,Mot,
musheta,cercueil,3,Positif,Mot,
kutanda,gronder,3,Positif,Verbe,
mukela,sel,3,Positif,Mot,
lukombu,baler,3,Positif,Mot,
kuasa,brancher,3,Positif,Verbe,
kulela,accoucher,3,Positif,Verbe,
kulonga,etudier,3,Positif,Verbe,
kuvuala,s'abiller,3,Positif,Verbe,
kuenda,marcher,3,Positif,Verbe,
kuamba,dire,3,Positif,Verbe,
kuakula,parler,3,Positif,Verbe,
kudia,manger,3,Positif,Verbe,
kusumba,acheter,3,Positif,Verbe,
kubanda,monter,3,Positif,Verbe,
kubenga,refuser,3,Positif,Verbe,
kupatuka,sortir,3,Positif,Verbe,
kusomba,s'assoir,3,Positif,Verbe,
kulenga,toucher,3,Positif,Verbe,
kutuala,emener,3,Positif,Verbe,
kuimansha,jetter,3,Positif,Verbe,
kubugna,plier,3,Positif,Verbe,
kuenza,fair,3,Positif,Verbe,
kulekala,laisser,3,Positif,Verbe,
kumvua,ecouter,3,Positif,Verbe,
kukuluka,tomber,-1,Negatif,Verbe,
kunanga,aimer,2,Positif,Verbe,
kulala,dormir,2,Positif,Verbe,
bulalu,lit,2,Positif,Verbe,
mupana,pantallon,2,Positif,Mot,
nkanzu,robe,2,Positif,Mot,
kulomba,demander,2,Positif,Verbe,
kuibila,frauder,3,Positif,Verbe,
kututa,tapper,6,Positif,Verbe,
mesa,table,5,Positif,Mot,
kupingana,rentrer,3,Positif,Verbe,
kusomba,s'assoire,3,Positif,Verbe,
kupeta,trouver,5,Positif,Verbe,
tatu,père,3,Positif,Mot,
mamu,mère,3,Positif,Mot,
mwana,enfant,3,Positif,Mot,
mukaji,femme,3,Positif,Mot,
mutelu,chemise,3,Positif,Mot,
lupangu,parcelle,3,Positif,Mot,
tshibuta,malette,3,Positif,Mot,
bilatu,chaussure,3,Positif,Mot,
moyo,cœur,3,Positif,Mot,
machi,sang,3,Positif,Mot,
mukolu,jambe,3,Positif,Mot,
disu,oeuil,3,Positif,Mot,
maboko,bras,3,Positif,Mot,
makasa,pierds,3,Positif,Mot,
minu,doigts,3,Positif,Mot,
mayi,œufs,3,Positif,Mot,
tshiadi,poitrine,3,Positif,Mot,
mongu,dot,3,Positif,Mot,
kaombu,talont,3,Positif,Mot,
mulume,mari,3,Positif,Mot,
mbuji,chèvre,3,Positif,Mot,
ngomba,vache,3,Positif,Mot,
nyunyi,oiseaux,3,Positif,Mot,
nyoka,serpent,3,Positif,Mot,
nguluba,porc,3,Positif,Mot,
dibata,canard,3,Positif,Mot,
mbotsha,kobail,3,Positif,Mot,
nzevu,elephant,3,Positif,Mot,
lomba,salamandre,3,Positif,Mot,
ntambua,lion,3,Positif,Mot,
kangenena,insecte,3,Positif,Mot,
tshitala,coque,3,Positif,Mot,
tshikuka,poule,3,Positif,Mot,
mayi,eau,3,Positif,Mot,
lupuichi,poussière,3,Positif,Mot,
mudilu,feu,3,Positif,Mot,
mvula,pluie,3,Positif,Mot,
mukidi,ravin,3,Positif,Mot,
tshiomba,manioc,3,Positif,Mot,
mafuta,ouil,3,Positif,Mot,
makala,braise,3,Positif,Mot,
mutshi,arbre,3,Positif,Mot,
dibwa,pierre,3,Positif,Mot,
mashinda,hèrbe,3,Positif,Mot,
nsoka,cailloux,3,Positif,Mot,
binu,jenoux,3,Positif,Mot,
nzubu,maison,3,Positif,Mot,
lumuenu,vittre,3,Positif,Mot,
tshiamua,piesse,3,Positif,Mot,
mpala,frond,3,Positif,Mot,
makuta,argent,3,Positif,Mot,
losa,riz,3,Positif,Mot,
binsonji,larme,3,Positif,Mot,
maleta,lettre,3,Positif,Mot,
nsuki,cheveux,3,Positif,Mot,
bualu,problème,3,Positif,Mot,
kuimba,chanter,3,Positif,Verbe,
musambu,chanson,3,Positif,Mot,
diulu,ciel,3,Positif,Mot,
muyiki,causerie,3,Positif,Mot,
kupueka,descendre,3,Positif,Verbe,
nzebwa,courant,3,Positif,Mot,
lulengu,paresse,3,Positif,Mot,
mabela,lait,3,Positif,Mot,
bulenga,bonté,3,Positif,Mot,
bulunda,amitié,3,Positif,Mot,
mulunda,ami,3,Positif,Mot,
muimvi,voleur,3,Positif,Mot,
Anyïma,Ame,3,Positif,Mot,
Bipeta,Résultats,3,Positif,Mot,
Bowa,Peur,1,Negatif,Mot,
Buakana,Bonté,3,Positif,Mot,
Bubi,Péché,1,Negatif,Mot,
Budikadidi,Liberté,3,Positif,Mot,
Buenzeji,Impact,1,Negatif,Mot,
Bukenka,Lumière,3,Positif,Mot,
Bukokeshi,Pouvoir,3,Positif,Mot,
Bukola,Force,3,Positif,Mot,
Bulanda,Pauvreté,1,Negatif,Mot,
Bulelela,Vérité,3,Positif,Mot,
Bundu,Honte,2,Negatif,Mot,
Butshimunyi,Victoire,3,Positif,Mot,
Butumbi,Gloire,3,Positif,Mot,
Diakabi,Malheur,-5,Negatif,Mot,
Diambuluisha,Aide,4,Positif,Mot,
Dibanditshibua,Elévation,4,Positif,Mot,
Dibenesha,Bénédiction,4,Positif,Mot,
Dibungama,Tristesse,-6,Negatif,Mot,
Difesto,Fête,4,Positif,Mot,
Difutu,Salaire,4,Positif,Mot,
Dijikula,Déclaration,4,Positif,Verbe,
Dijinga,Désir,4,Positif,Mot,
Dikankamika,Exhortation,4,Positif,Mot,
Dikima,Audace,4,Positif,Mot,
Dikokela,Soumission,4,Positif,Mot,
Dikumbana,Capacité,4,Positif,Mot,
Dilomba,Requête,4,Positif,Mot,
Dimanya,Connaissance,4,Positif,Mot,
Dimanyisha,Annonce,4,Positif,Mot,
Dipa,Don,4,Positif,Mot,
Dipangadika,Décision,4,Positif,Mot,
Disama,Maladie,-3,Negatif,Mot,
Disuludibua,Délivrance,1,Positif,Mot,
Ditabuja,Foi,1,Positif,Mot,
Ditawuluka,Séparation,1,Positif,Mot,
Ditekemena,Espérance,1,Positif,Mot,
Ditetshibua,Tentation,1,Positif,Mot,
Dituampanda,Assister,1,Positif,Verbe,
Dituamushinga,Considérer,1,Positif,Verbe,
Ditumikila,Obéissance,1,Positif,Mot,
Kabingila,Raison,1,Positif,Mot,
Kalasisa,Exercice,1,Positif,Mot,
Kalumbila,Objectif,1,Positif,Mot,
Kuambulula,Reprendre,1,Positif,Verbe,
Kudima,Cultiver,1,Positif,Verbe,
Kudiundisha,Elargir,1,Positif,Mot,
Kueyemena,Confier,1,Positif,Verbe,
Kuibaka,Construire,1,Positif,Verbe,
Kujandula,Découvrir,1,Positif,Verbe,
Kujimina,Disparaître,1,Positif,Verbe,
Kukukuila,Adorer,1,Positif,Verbe,
Kulenga,Toucher,1,Positif,Verbe,
Kuluka,Vomir,-2,Negatif,Verbe,
Kumanyinula,Reconnaitre,3,Positif,Mot,
Kumva,Comprendre,3,Positif,Mot,
Kunanukila,Persévérance,3,Positif,Mot,
